"Estado","Sede - Dirección","EB","EMS","Total Adscritos","Cantidad EB","Cantidad EMS","No. Docentes","No. TecDoc","No. ATP","No. Dir","No. Sup ","Fechas de aplicación","Mínimo","Máximo","Promedio","No. Docentes EB","No. TecDoc EB","No. ATP EB","No. Dir EB","No. Sup EBS","No. Docentes EMS","No. TecDoc EMS","No. ATP EMS","No. Dir EMS","No. Sup EMS","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","Min EB","Max EB","Mean EB","Min EMS","Max EMS","Mean EMS","No. Grupos"
"Baja California Sur","CALLE SALVATIERRA, S/N, COL. CENTRO, C.P. 23880","Sí","-","111","111","0","95","-","6","7","3","6","7","22","18","95","-","6","7","3","0","-","0","0","0","05/05/2018","16","19/05/2018","7","26/05/2018","22","27/05/2018","22","02/06/2018","22","03/06/2018","22","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","16","19/05/2018","7","26/05/2018","22","27/05/2018","22","02/06/2018","22","03/06/2018","22","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","19/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","7","22","18","0","0","0","1"
"Baja California Sur","BVLD. TECNOLÓGICO ESQ. CON GANDHI, S/N, COL. GUAYMITAS, C.P. 23483","Sí","Sí","650","548","102","426","40","52","92","40","10","17","91","65","381","0","52","75","40","45","40","0","17","0","05/05/2018","86","06/05/2018","81","13/05/2018","17","12/05/2018","85","19/05/2018","57","20/05/2018","51","26/05/2018","46","27/05/2018","91","02/06/2018","91","03/06/2018","45","-","-","-","-","05/05/2018","86","06/05/2018","81","13/05/2018","0","12/05/2018","0","19/05/2018","57","20/05/2018","51","26/05/2018","46","27/05/2018","91","02/06/2018","91","03/06/2018","45","-","-","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","17","12/05/2018","85","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","91","55","0","85","10","3"
"Baja California Sur","PROFR. MARCELO RUBIO RUÍZ, S/N, COL. AMPLIACIÓN 4 DE MARZO, C.P. 23641","Sí","Sí","438","357","81","316","26","22","41","33","10","24","56","44","275","0","22","27","33","41","26","0","14","0","05/05/2018","54","06/05/2018","28","13/05/2018","25","12/05/2018","56","19/05/2018","54","20/05/2018","51","26/05/2018","24","27/05/2018","56","02/06/2018","55","03/06/2018","35","-","-","-","-","05/05/2018","54","06/05/2018","28","13/05/2018","0","12/05/2018","0","19/05/2018","54","20/05/2018","51","26/05/2018","24","27/05/2018","56","02/06/2018","55","03/06/2018","35","-","-","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","25","12/05/2018","56","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","0","56","36","0","56","8","2"
"Baja California Sur","LOMA DE LOS FRAILES, S/N, LOC. SANTA ROSALÍA, C.P. 23920","Sí","Sí","193","165","28","137","4","17","22","13","7","10","47","28","118","0","17","17","13","19","4","0","5","0","05/05/2018","47","12/05/2018","28","19/05/2018","14","20/05/2018","23","26/05/2018","10","27/05/2018","32","02/06/2018","39","-","-","-","-","-","-","-","-","-","-","05/05/2018","47","12/05/2018","0","19/05/2018","14","20/05/2018","23","26/05/2018","10","27/05/2018","32","02/06/2018","39","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","28","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","0","47","24","0","28","4","2"
"Baja California Sur","BLVD. FORJADORES, No. 4720, COL. 8 DE OCTUBRE 2DA SECCIÓN, C.P. 23080","Sí","Sí","558","438","120","400","34","33","49","42","11","2","60","51","319","0","33","44","42","81","34","0","5","0","05/05/2018","60","06/05/2018","59","13/05/2018","60","12/05/2018","60","19/05/2018","60","20/05/2018","60","26/05/2018","60","27/05/2018","60","02/06/2018","60","03/06/2018","17","10/06/2018","2","-","-","05/05/2018","60","06/05/2018","59","13/05/2018","0","12/05/2018","0","19/05/2018","60","20/05/2018","60","26/05/2018","60","27/05/2018","60","02/06/2018","60","03/06/2018","17","10/06/2018","2","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","60","12/05/2018","60","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","10/06/2018","0","-","-","0","60","40","0","60","11","2"
"Campeche","AV. MAESTROS CAMPECHANOS, S/N, MULTUCHAC, C.P. 24095","Sí","Sí","2719","2010","709","1894","256","76","361","132","11","99","280","247","1377","89","76","336","132","517","167","0","25","0","05/05/2018","276","06/05/2018","268","13/05/2018","260","12/05/2018","260","14/05/2018","189","19/05/2018","277","20/05/2018","277","26/05/2018","271","27/05/2018","99","02/06/2018","280","03/06/2018","262","-","-","05/05/2018","276","06/05/2018","268","13/05/2018","0","12/05/2018","0","14/05/2018","0","19/05/2018","277","20/05/2018","277","26/05/2018","271","27/05/2018","99","02/06/2018","280","03/06/2018","262","-","-","05/05/2018","0","06/05/2018","0","13/05/2018","260","12/05/2018","260","14/05/2018","189","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","0","280","183","0","260","64","9"
"Coahuila","CALZ. DE LOS MAESTROS, No. 858, ZONA CENTRO, C.P. 25000","Sí","-","209","209","0","-","-","39","124","46","2","100","109","104","-","-","39","124","46","-","-","0","0","0","05/05/2018","109","06/05/2018","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","109","06/05/2018","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","109","104","0","0","0","2"
"Coahuila","CALLE 20, S/N, COL. AMPLIACIÓN MORELOS, C.P. 25017","Sí","-","209","209","0","149","-","9","40","11","7","29","30","30","149","-","9","40","11","0","-","0","0","0","05/05/2018","30","06/05/2018","30","19/05/2018","30","20/05/2018","30","26/05/2018","29","27/05/2018","30","02/06/2018","30","-","-","-","-","-","-","-","-","-","-","05/05/2018","30","06/05/2018","30","19/05/2018","30","20/05/2018","30","26/05/2018","29","27/05/2018","30","02/06/2018","30","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","29","30","30","0","0","0","1"
"Coahuila","MZ. 45, S/N, COL. MAGISTERIAL ESTATAL SECCIÓN 38, C.P. 25294","Sí","-","322","322","0","223","3","19","53","24","7","34","48","46","223","3","19","53","24","0","0","0","0","0","05/05/2018","48","06/05/2018","48","19/05/2018","48","20/05/2018","34","26/05/2018","48","27/05/2018","48","02/06/2018","48","-","-","-","-","-","-","-","-","-","-","05/05/2018","48","06/05/2018","48","19/05/2018","48","20/05/2018","34","26/05/2018","48","27/05/2018","48","02/06/2018","48","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","34","48","46","0","0","0","1"
"Coahuila","CALZ. JOSÉ VASCONCELOS, S/N, COL. LA MERCED II, C.P. 27276","Sí","-","89","89","0","30","-","1","34","24","3","29","30","30","30","-","1","34","24","0","-","0","0","0","05/05/2018","30","06/05/2018","29","19/05/2018","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","30","06/05/2018","29","19/05/2018","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","19/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29","30","30","0","0","0","2"
