Entidad,ID CTT,SNPA01,SNPA02,SNPA03,SNPA04,SNPA05,SNPA06,SNPA07,SNPA08,SNPA09,SNPA10,SNPA11,SNPA12,MI01,MI02,MI03,MI04,MI05,MI06,MI07,MI08,MI09,MI10,FEM01,FEM02,FEM03,FEM04,FEM05,FEM06,FEM07,FEM08
ZACATECAS,3424,0.540543283,0.617892558,0.611964339,0.5249564,0.534083413,0.554019228,0.610478575,0.594619812,0.439088556,0.566351409,0.577467381,0.480589276,0.621595665,0.631520511,0.615543118,0.598258446,0.645800748,0.558148023,0.630786351,0.618566908,0.653142732,0.645842959,0.618928341,0.612955713,0.621337882,0.522869258,0.619351973,0.57327704,0.472273306,0.523363646
ZACATECAS,3425,0.599886734,0.660165835,0.634220071,0.556609454,0.575381986,0.569314564,0.651494793,0.590383288,0.478301843,0.603813687,0.63688825,0.525498099,0.608441174,0.590215954,0.528576975,0.565886043,0.581837098,0.556862634,0.622837313,0.610754366,0.633033792,0.622634656,0.590927724,0.577391458,0.582665327,0.497346617,0.569635064,0.516980742,0.431151471,0.455544439
ZACATECAS,3426,0.681536202,0.680164367,0.644041609,0.665477599,0.585090757,0.624469523,0.640260006,0.63382985,0.50662259,0.655694645,0.582419509,0.46721115,0.573916072,0.577953042,0.569639946,0.561598959,0.604492079,0.570039233,0.604121863,0.596359292,0.612826438,0.603745592,0.585883968,0.555487204,0.580515538,0.526242428,0.570393004,0.508524439,0.484385889,0.429514468
ZACATECAS,3427,0.471543193,0.546676424,0.540675569,0.429198977,0.441144597,0.448651417,0.535023231,0.497154266,0.217864091,0.524322197,0.48156505,0.452289566,0.611237296,0.585003376,0.636340685,0.605648179,0.657343404,0.594476614,0.661542158,0.645165854,0.576129502,0.669476061,0.539311791,0.514966995,0.551005189,0.460625519,0.543339645,0.515283072,0.374085871,0.409966543
ZACATECAS,3428,0.50478781,0.578030391,0.566416054,0.424206235,0.441464498,0.453627599,0.547583917,0.550564984,0.422522766,0.532218283,0.503038357,0.468640862,0.683131639,0.586251194,0.587481621,0.583137497,0.626466788,0.577541035,0.599810405,0.579335127,0.658337671,0.592023869,0.593524641,0.579025008,0.593695525,0.511193145,0.580902651,0.488719198,0.462820707,0.462172428
ZACATECAS,3429,0.655293745,0.661521536,0.643159889,0.63889614,0.544382259,0.560028484,0.66187602,0.632994847,0.43454714,0.601425231,0.65796501,0.523083784,0.501109508,0.528412776,0.574462905,0.568029387,0.529899654,0.56368217,0.569300229,0.562153458,0.544491269,0.547785194,0.637135038,0.58911376,0.631765784,0.579108944,0.623760124,0.596146051,0.468500122,0.500004465
ZACATECAS,3430,0.647837057,0.674673861,0.656278917,0.62067346,0.559243875,0.570374682,0.655536816,0.588495217,0.523482132,0.620753672,0.647918126,0.524694138,0.71036191,0.671128616,0.634713814,0.577408156,0.704203671,0.588582264,0.676828173,0.659243698,0.703367208,0.674186398,0.534726746,0.556253926,0.558400582,0.486786009,0.553948867,0.552599793,0.412256732,0.484373298
ZACATECAS,3431,0.589989403,0.640051476,0.633533702,0.526129991,0.568053232,0.574200851,0.621521353,0.609394344,0.585310191,0.594711149,0.535557035,0.549935868,0.585160081,0.610437988,0.590006932,0.604126697,0.617425925,0.568215843,0.635216505,0.622756893,0.570799693,0.631986792,0.65099968,0.627258584,0.645906527,0.59930687,0.617141679,0.597980626,0.542214357,0.52254422
ZACATECAS,3432,0.517544958,0.483090046,0.454348832,0.532646618,0.445737536,0.416775007,0.53183582,0.6000205,0.460854372,0.532836073,0.594660433,0.460436651,0.744929707,0.44179485,0.474451911,0.484186519,0.470840129,0.541944613,0.651231376,0.667884898,0.746696968,0.655505579,0.505092171,0.512331754,0.512305698,0.391921681,0.511185995,0.500297605,0.260562515,0.410850361
ZACATECAS,3433,0.456312037,0.532487311,0.520993761,0.424871,0.459910421,0.462337494,0.515384706,0.469167656,0.320804588,0.518719207,0.479178969,0.470128247,0.600917409,0.552749916,0.543310858,0.557017968,0.615833643,0.556631752,0.567968038,0.529384765,0.614882692,0.593286545,0.540512234,0.528944138,0.543380729,0.420183722,0.542002732,0.481113009,0.362526649,0.428843886
ZACATECAS,3434,0.367277545,0.477895538,0.479168933,0.268671517,0.350353043,0.387606923,0.499084606,0.481859682,0.405924082,0.480789676,0.315669638,0.49356769,0.579163741,0.54122231,0.472324456,0.5133322,0.490229253,0.539855123,0.598971756,0.587521662,0.613412357,0.603005301,0.482341595,0.503649089,0.503603122,0.393747368,0.5036468,0.504499632,0.292454498,0.438321228
ZACATECAS,3435,0.591084661,0.644235605,0.629443357,0.559748817,0.504550948,0.505062458,0.653363847,0.63433003,0.48698952,0.506439994,0.667845313,0.456560776,0.952030383,0.821515746,0.885774995,0.765119463,0.897270161,0.747086438,0.866912982,0.830636876,0.912578677,0.844152789,0.663122051,0.579846443,0.649973517,0.550949824,0.646762894,0.43726092,0.626190262,0.508747118
