trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
115,394,80,1773,10,right,0,7,3.413,Wed May 24 13:31:59 2017
116,1773,10,591,70,right,1,6,2.106,Wed May 24 13:32:01 2017
117,788,60,985,50,left,1,27,5.821,Wed May 24 13:32:08 2017
118,1379,30,985,50,left,0,17,3.553,Wed May 24 13:32:12 2017
119,985,50,394,80,left,0,29,2.748,Wed May 24 13:32:15 2017
120,1576,20,1773,10,left,1,1,63.545,Wed May 24 13:33:19 2017
121,1182,40,591,70,left,0,24,2.245,Wed May 24 13:33:22 2017
122,197,90,985,50,right,0,30,2.089,Wed May 24 13:33:24 2017
123,197,90,591,70,right,0,35,1.621,Wed May 24 13:33:26 2017
124,985,50,1576,20,left,1,11,4.586,Wed May 24 13:33:31 2017
125,1182,40,1576,20,left,1,10,4.383,Wed May 24 13:33:35 2017
126,394,80,197,90,left,0,36,3.038,Wed May 24 13:33:39 2017
127,197,90,1576,20,right,0,15,5.001,Wed May 24 13:33:44 2017
128,788,60,394,80,right,1,32,4.82,Wed May 24 13:33:50 2017
129,1379,30,591,70,right,1,19,4.781,Wed May 24 13:33:55 2017
130,1182,40,1379,30,right,0,16,4.043,Wed May 24 13:33:59 2017
131,1773,10,1576,20,right,1,1,3.076,Wed May 24 13:34:03 2017
132,197,90,1379,30,right,0,21,3.37,Wed May 24 13:34:07 2017
133,1576,20,1773,10,left,1,1,2.853,Wed May 24 13:34:10 2017
134,394,80,197,90,left,0,36,3.228,Wed May 24 13:34:14 2017
135,1182,40,1576,20,left,1,10,4.457,Wed May 24 13:34:19 2017
136,197,90,985,50,right,0,30,10.089,Wed May 24 13:34:30 2017
137,1773,10,1182,40,right,1,3,3.587,Wed May 24 13:34:34 2017
138,197,90,1182,40,right,0,26,4.643,Wed May 24 13:34:39 2017
139,1773,10,788,60,right,1,5,2.383,Wed May 24 13:34:42 2017
140,1773,10,985,50,right,1,4,1.637,Wed May 24 13:34:44 2017
141,1379,30,394,80,left,0,20,3.77,Wed May 24 13:34:48 2017
142,985,50,1182,40,left,1,22,7.192,Wed May 24 13:34:56 2017
143,1379,30,788,60,right,1,18,2.739,Wed May 24 13:34:59 2017
144,394,80,1182,40,right,0,25,1.295,Wed May 24 13:35:02 2017
145,1576,20,788,60,right,1,12,3.632,Wed May 24 13:35:06 2017
146,591,70,394,80,left,0,34,2.535,Wed May 24 13:35:09 2017
147,788,60,591,70,left,0,31,9.56,Wed May 24 13:35:19 2017
148,985,50,1773,10,left,1,4,2.722,Wed May 24 13:35:22 2017
149,1576,20,985,50,right,1,11,4.522,Wed May 24 13:35:27 2017
150,985,50,1182,40,right,0,22,3.055,Wed May 24 13:35:30 2017
151,591,70,1182,40,right,0,24,2.838,Wed May 24 13:35:34 2017
152,591,70,394,80,left,0,34,38.894,Wed May 24 13:36:14 2017
153,788,60,197,90,left,0,33,5.005,Wed May 24 13:36:19 2017
154,788,60,1182,40,right,0,23,2.17,Wed May 24 13:36:22 2017
155,197,90,591,70,right,0,35,2.469,Wed May 24 13:36:25 2017
156,1576,20,394,80,left,0,14,2.66,Wed May 24 13:36:28 2017
157,1182,40,985,50,left,0,22,5.214,Wed May 24 13:36:34 2017
158,197,90,394,80,right,0,36,3.643,Wed May 24 13:36:38 2017
159,1379,30,985,50,left,0,17,4.333,Wed May 24 13:36:43 2017
160,1576,20,197,90,left,0,15,2.003,Wed May 24 13:36:45 2017
161,591,70,197,90,left,0,35,9.971,Wed May 24 13:36:56 2017
162,1379,30,394,80,left,0,20,5.547,Wed May 24 13:37:02 2017
163,197,90,788,60,right,0,33,3.763,Wed May 24 13:37:07 2017
164,591,70,985,50,right,0,28,4.993,Wed May 24 13:37:12 2017
165,394,80,591,70,left,1,34,4.908,Wed May 24 13:37:18 2017
166,1182,40,788,60,left,0,23,2.307,Wed May 24 13:37:20 2017
167,1379,30,788,60,left,0,18,8.048,Wed May 24 13:37:32 2017
168,1379,30,591,70,right,1,19,23.88,Wed May 24 13:38:01 2017
169,591,70,1773,10,left,1,6,5.878,Wed May 24 13:38:08 2017
170,985,50,1182,40,right,0,22,3.287,Wed May 24 13:38:11 2017
171,788,60,197,90,left,0,33,3.785,Wed May 24 13:38:16 2017
172,1576,20,985,50,left,0,11,5.476,Wed May 24 13:38:22 2017
173,197,90,591,70,right,0,35,4.411,Wed May 24 13:38:28 2017
174,197,90,1379,30,right,0,21,4.785,Wed May 24 13:38:33 2017
175,1379,30,197,90,left,0,21,3.833,Wed May 24 13:38:38 2017
176,1379,30,394,80,left,0,20,4.909,Wed May 24 13:38:44 2017
177,197,90,394,80,right,0,36,4.573,Wed May 24 13:38:49 2017
178,1182,40,985,50,left,0,22,4.956,Wed May 24 13:38:55 2017
179,1379,30,591,70,left,0,19,4.575,Wed May 24 13:39:00 2017
180,1576,20,394,80,left,0,14,2.638,Wed May 24 13:39:03 2017
181,1773,10,1379,30,right,1,2,3.781,Wed May 24 13:39:07 2017
182,788,60,591,70,left,0,31,4.258,Wed May 24 13:39:14 2017
183,1182,40,1773,10,left,1,3,3.243,Wed May 24 13:39:18 2017
184,197,90,985,50,right,0,30,3.602,Wed May 24 13:39:22 2017
185,1576,20,985,50,right,1,11,2.846,Wed May 24 13:39:25 2017
186,1182,40,788,60,left,0,23,3.702,Wed May 24 13:39:30 2017
187,985,50,394,80,right,1,29,2.307,Wed May 24 13:39:34 2017
188,591,70,1379,30,right,0,19,13.397,Wed May 24 13:39:48 2017
189,197,90,591,70,right,0,35,2.474,Wed May 24 13:39:51 2017
190,197,90,1182,40,right,0,26,3.889,Wed May 24 13:39:55 2017
191,1773,10,1379,30,right,1,2,2.182,Wed May 24 13:39:58 2017
192,1773,10,394,80,left,0,7,3.518,Wed May 24 13:40:02 2017
193,1576,20,1182,40,left,0,10,4.998,Wed May 24 13:40:07 2017
194,1182,40,197,90,left,0,26,16.281,Wed May 24 13:40:24 2017
195,394,80,788,60,right,0,32,2.459,Wed May 24 13:40:27 2017
196,1379,30,1773,10,left,1,2,3.103,Wed May 24 13:40:32 2017
197,788,60,1773,10,left,1,5,2.964,Wed May 24 13:40:35 2017
198,1576,20,197,90,left,0,15,3.657,Wed May 24 13:40:40 2017
199,1576,20,394,80,left,0,14,6.308,Wed May 24 13:40:47 2017
200,788,60,1576,20,right,0,12,4.476,Wed May 24 13:40:52 2017
201,394,80,788,60,right,0,32,3.793,Wed May 24 13:40:56 2017
202,985,50,1182,40,right,0,22,9.167,Wed May 24 13:41:06 2017
203,591,70,1576,20,left,1,13,7.091,Wed May 24 13:41:13 2017
204,985,50,788,60,left,0,27,9.722,Wed May 24 13:41:23 2017
205,394,80,1379,30,right,0,20,8.905,Wed May 24 13:41:33 2017
206,1773,10,197,90,left,0,8,7.443,Wed May 24 13:41:40 2017
207,394,80,1576,20,right,0,14,3.162,Wed May 24 13:41:44 2017
208,1379,30,197,90,left,0,21,2.626,Wed May 24 13:41:47 2017
209,788,60,1576,20,right,0,12,2.368,Wed May 24 13:41:50 2017
210,1576,20,197,90,left,0,15,3.467,Wed May 24 13:41:54 2017
211,985,50,1576,20,right,0,11,3.747,Wed May 24 13:41:58 2017
212,985,50,1379,30,right,0,17,5.297,Wed May 24 13:42:03 2017
213,197,90,1182,40,right,0,26,4.571,Wed May 24 13:42:09 2017
214,394,80,985,50,right,0,29,9.166,Wed May 24 13:42:18 2017
215,788,60,985,50,right,0,27,3.477,Wed May 24 13:42:22 2017
216,1773,10,788,60,right,1,5,2.738,Wed May 24 13:42:25 2017
217,985,50,1379,30,right,0,17,9.036,Wed May 24 13:42:35 2017
218,788,60,591,70,left,0,31,25.202,Wed May 24 13:43:00 2017
219,1773,10,1182,40,right,1,3,3.003,Wed May 24 13:43:04 2017
220,1182,40,591,70,left,0,24,3.663,Wed May 24 13:43:08 2017
221,394,80,1773,10,left,1,7,4.723,Wed May 24 13:43:13 2017
222,1182,40,788,60,left,0,23,3.108,Wed May 24 13:43:16 2017
223,197,90,591,70,right,0,35,3.06,Wed May 24 13:43:20 2017
224,1182,40,788,60,left,0,23,2.233,Wed May 24 13:43:22 2017
225,1576,20,394,80,left,0,14,3.884,Wed May 24 13:43:27 2017
226,197,90,591,70,right,0,35,5.022,Wed May 24 13:43:32 2017
227,1182,40,1576,20,left,1,10,5.487,Wed May 24 13:43:44 2017
228,788,60,394,80,right,1,32,4.183,Wed May 24 13:43:50 2017
229,394,80,985,50,right,0,29,6.835,Wed May 24 13:43:57 2017
230,1773,10,394,80,right,1,7,4.64,Wed May 24 13:44:02 2017
231,394,80,197,90,left,0,36,5.433,Wed May 24 13:44:08 2017
232,197,90,788,60,right,0,33,2.095,Wed May 24 13:44:11 2017
233,1773,10,788,60,right,1,5,10.378,Wed May 24 13:44:22 2017
234,1576,20,788,60,right,1,12,4.598,Wed May 24 13:44:27 2017
235,985,50,591,70,left,0,28,3.441,Wed May 24 13:44:30 2017
236,591,70,788,60,left,1,31,4.676,Wed May 24 13:44:36 2017
237,788,60,1773,10,left,1,5,2.555,Wed May 24 13:44:39 2017
238,591,70,1379,30,right,0,19,4.572,Wed May 24 13:44:44 2017
239,1182,40,1379,30,left,1,16,1.488,Wed May 24 13:44:46 2017
240,985,50,1773,10,left,1,4,3.388,Wed May 24 13:44:51 2017
241,394,80,1182,40,right,0,25,4.034,Wed May 24 13:44:55 2017
242,1379,30,1576,20,right,0,9,10.574,Wed May 24 13:45:06 2017
243,1576,20,1379,30,right,1,9,5.333,Wed May 24 13:45:12 2017
244,394,80,197,90,left,0,36,9.669,Wed May 24 13:45:22 2017
245,197,90,985,50,right,0,30,2.958,Wed May 24 13:45:26 2017
246,1576,20,591,70,left,0,13,2.649,Wed May 24 13:45:29 2017
247,1576,20,985,50,right,1,11,6.055,Wed May 24 13:45:36 2017
248,394,80,1379,30,right,0,20,3.493,Wed May 24 13:45:40 2017
249,788,60,985,50,left,1,27,8.016,Wed May 24 13:45:49 2017
250,1379,30,1182,40,right,1,16,6.771,Wed May 24 13:45:57 2017
251,1379,30,1182,40,left,0,16,4.711,Wed May 24 13:46:02 2017
252,1576,20,788,60,left,0,12,3.591,Wed May 24 13:46:06 2017
253,197,90,1182,40,right,0,26,3.108,Wed May 24 13:46:09 2017
254,788,60,1773,10,left,1,5,2.143,Wed May 24 13:46:12 2017
255,985,50,394,80,left,0,29,3.985,Wed May 24 13:46:17 2017
256,394,80,1773,10,left,1,7,3.86,Wed May 24 13:46:21 2017
257,1379,30,788,60,left,0,18,6.884,Wed May 24 13:46:28 2017
258,1576,20,197,90,left,0,15,2.171,Wed May 24 13:46:31 2017
