ITEM,Clave item,Opción,Score,Frecuencia,% del total,Punto Biserial,t(p),PV1Avg:1,PV1 SD:1
item 34,PMB09,d,0,3128,10.4,-0.19,-33.27(.000),-0.66,0.69
item 35,PMB10,M,0,354,1.2,-0.06,-10.49(.000),-0.67,0.78
item 35,PMB10,a,0,10695,35.7,-0.02,-2.68(.007),-0.22,0.83
item 35,PMB10,b,1,8988,30.0,0.28,50.27(.000),0.16,0.99
item 35,PMB10,c,0,6089,20.3,-0.12,-21.29(.000),-0.41,0.77
item 35,PMB10,d,0,3874,12.9,-0.19,-34.05(.000),-0.62,0.69
item 36,PMB11,M,0,181,0.6,-0.04,-7.72(.000),-0.70,0.80
item 36,PMB11,a,0,6788,22.6,-0.03,-5.10(.000),-0.26,0.86
item 36,PMB11,b,0,4891,16.3,-0.25,-44.28(.000),-0.66,0.65
item 36,PMB11,c,0,6675,22.3,-0.16,-27.63(.000),-0.45,0.71
item 36,PMB11,d,1,11465,38.2,0.36,65.89(.000),0.18,0.95
item 37,PMB12,M,0,281,0.9,-0.05,-8.06(.000),-0.58,0.86
item 37,PMB12,a,0,6502,21.7,-0.28,-50.96(.000),-0.65,0.66
item 37,PMB12,b,1,13743,45.8,0.38,71.19(.000),0.14,0.92
item 37,PMB12,c,0,3338,11.1,-0.14,-24.83(.000),-0.54,0.74
item 37,PMB12,d,0,6136,20.5,-0.06,-10.33(.000),-0.31,0.80
item 38,PMB13,M,0,168,0.6,-0.05,-7.95(.000),-0.74,0.83
item 38,PMB13,a,0,2218,7.4,-0.19,-34.14(.000),-0.77,0.63
item 38,PMB13,b,0,10273,34.2,-0.14,-24.47(.000),-0.37,0.74
item 38,PMB13,c,1,14221,47.4,0.38,72.21(.000),0.14,0.94
item 38,PMB13,d,0,3120,10.4,-0.23,-41.87(.000),-0.78,0.62
item 39,PMB14,M,0,292,1.0,-0.05,-8.70(.000),-0.65,0.81
item 39,PMB14,a,0,4666,15.6,-0.18,-31.39(.000),-0.55,0.72
item 39,PMB14,b,0,3883,12.9,-0.19,-33.97(.000),-0.61,0.71
item 39,PMB14,c,1,16465,54.9,0.32,59.44(.000),0.04,0.92
item 39,PMB14,d,0,4694,15.7,-0.08,-13.08(.000),-0.36,0.83
item 40,PMB15,M,0,184,0.6,-0.04,-6.83(.000),-0.64,0.83
item 40,PMB15,a,0,12667,42.2,-0.25,-44.10(.000),-0.44,0.71
item 40,PMB15,b,0,5759,19.2,-0.05,-8.83(.000),-0.30,0.82
item 40,PMB15,c,0,2739,9.1,-0.16,-28.77(.000),-0.64,0.73
item 40,PMB15,d,1,8651,28.8,0.42,81.16(.000),0.36,0.96
item 41,PMB16,M,0,367,1.2,-0.06,-9.85(.000),-0.65,0.80
item 41,PMB16,a,1,9199,30.7,0.47,91.22(.000),0.39,0.97
item 41,PMB16,b,0,3844,12.8,-0.14,-24.05(.000),-0.51,0.74
item 41,PMB16,c,0,2705,9.0,-0.17,-29.85(.000),-0.66,0.66
item 41,PMB16,d,0,13885,46.3,-0.23,-40.68(.000),-0.41,0.71
item 42,PMB17,M,0,205,0.7,-0.03,-5.45(.000),-0.56,0.84
item 42,PMB17,a,1,9711,32.4,0.35,65.55(.000),0.23,1.00
item 42,PMB17,b,0,9677,32.3,-0.11,-19.46(.000),-0.34,0.76
item 42,PMB17,c,0,7629,25.4,-0.19,-33.58(.000),-0.48,0.73
item 42,PMB17,d,0,2778,9.3,-0.1,-16.78(.000),-0.45,0.77
item 43,PMB18,M,0,315,1.1,-0.04,-7.69(.000),-0.56,0.81
