Sujeto,d_A,d_B,A_FA,FaR_A,B_FA,FaR_B,B_H,Hr_B,A_H,Hr_A,Mirror_Yes,R_AN,R_BN,R_BS,R_AS,Mirror_CR,M_BS,M_AS,RT_AS_1,RT_AN_1,RT_A_1,RT_BS_1,RT_BN_1,RT_B_1,RT_AS_2,RT_AN_2,RT_A_2,RT_BS_2,RT_BN_2,RT_B_2,RT_AS_3,RT_AN_3,RT_A_3,RT_BS_3,RT_BN_3,RT_B_3
111,1.013,0.08,60,0.375,64,0.4,69,0.43125,121,0.75625,Sí,2.8625,2.9625,3.2125,4.73125,Sí,1.31868132,1.58974359,2.36097659,2.28091628,2.32094644,2.32756297,2.24794764,2.2877553,0.85991058,0.77982937,0.81986997,0.82668466,0.74708893,0.78688679,0.58491344,0.53780929,0.56136137,0.5847955,0.62992017,0.60735783
110,1.863,1.229,80,0.5,79,0.49375,142,0.8875,155,0.96875,No,3.5,3.45625,5.43125,5.83125,No,1.3333,1.8,1.9766136,2.0286201,2.00261685,2.02678311,2.03171838,2.02925074,0.47553991,0.52752302,0.50153147,0.52570232,0.53064036,0.52817134,0.67495943,0.69693696,0.6859482,0.47135205,0.599814,0.53558303
109,2.421,1.879,30,0.1875,44,0.275,144,0.9,150,0.9375,Sí,2.10625,2.54375,5.28125,5.45625,Sí,2.625,2.1,2.24071992,2.13552786,2.18812389,2.32075293,2.08402817,2.20239055,0.73965759,0.63447353,0.68706556,0.81980155,0.58305883,0.70143019,0.43314937,0.4883098,0.46072958,0.45568869,0.53901538,0.49735204
108,2.638,1.031,14,0.0875,47,0.29375,110,0.6875,144,0.9,Sí,1.45,2.475,4.43125,5.5125,Sí,1.3,1.3125,2.46679795,2.24263364,2.3547158,2.78399556,2.41080731,2.59740143,0.96570454,74156736,0.85363595,1.28300194,0.90984074,1.09642134,0.59548662,0.48712212,0.54130437,0.53659133,0.64124108,0.5889162
107,0.721,0.142,55,0.34375,70,0.4375,79,0.49375,100,0.625,Sí,2.76875,3.16875,3.46875,4.1875,Sí,1.45679012,1.57627119,4.02792856,3.72770269,3.87781562,4.12206758,3.63929103,3.8806793,2.52684561,2.22663214,2.37673888,2.62103696,2.13823161,2.37963429,1.46191146,1.44375897,1.45283522,1.42121292,1.44563174,1.43342233
106,3.176,1.114,28,0.175,39,0.24375,106,0.6625,158,0.9875,Sí,2.35,2.53125,4.3125,5.625,Sí,2.62962963,2.5,2.66208465,2.91695961,2.78952213,3.14478406,2.86771236,3.00624821,1.16099794,1.41591664,1.18845729,1.64384471,1.36676955,1.50530713,0.94748436,0.75517012,0.85132724,0.70818665,0.70901379,0.75860022
105,1.388,0.46,52,0.325,60,0.375,89,0.55625,132,0.825,Sí,2.25,2.925,3.8,5.08125,Sí,1.4084507,1.46428571,2.43877022,2.45138783,2.44507902,2.56033542,2.48086753,2.52060148,0.93769626,0.95031392,0.94400509,1.05940183,0.97996359,1.01968271,0.50343042,0.41324725,0.45833884,0.52596407,0.44578838,0.48587622
104,1.391,0.572,42,0.2625,59,0.36875,95,0.59375,124,0.775,Sí,2.81875,2.9875,3.99375,4.6,Sí,2.4,2.1388888,3.26453628,2.6535333,2.95903479,3.10973721,3.05934054,3.08403888,1.76352836,1.15251173,1.45802005,1.60872746,1.55734849,1.58303798,0.8193225,0.735177787,0.77625018,0.79034331,0.76904652,0.77969492
103,1.708,0.24,43,0.26875,60,0.375,75,0.46875,138,0.8625,Sí,2.375,2.88125,3.53125,5.325,Sí,1.51764706,1.86363636,2.17977507,2.06477618,2.12227563,2.34960697,2.19763616,2.27362157,0.67869846,0.56375266,0.62122556,0.84867183,0.69665779,0.77266481,1.0446797,1.10672793,1.07570382,1.16868666,1.01584921,1.09226793
102,1.803,0.733,74,0.4625,75,0.46875,119,0.74375,153,0.95625,Sí,3.73125,3.51875,4.825,5.75625,No,2.36585366,2.62194426,2.62812349,2.62503387,2.79774511,4.46235536,2.63005023,1.1291438,1.12092661,1.1270774,1.12400201,1.29684972,0.96143788,1.12911438,0.92753371,1.16689841,1.04721606,0.95886923,1.19411401,1.07649162
101,1.319,0.705,47,0.29375,54,0.3375,98,0.6125,125,0.78125,Sí,2.41875,2.64375,3.9625,4.83125,Sí,1.40322581,1.51428571,2.16772028,2.11658196,2.14215112,2.24472391,2.11355294,2.17913842,0.66666341,0.61551703,0.64109022,0.74376831,0.61262266,0.67819549,0.743887752,0.73698368,0.7404306,0.78275383,0.73072601,0.75673992
