Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
493,319,n,True,344,150,False,164,True,180,False,64,False,86,1,1.653092861,0.152779818,1.403434992,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
494,92,s,True,345,150,True,165,False,180,False,64,False,86,6,1.652238131,0.151772976,0.501283169,Verde,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
495,538,s,False,345,151,False,165,False,180,True,65,False,86,6,1.638299942,0.137145996,0.501293182,Purpura,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
496,370,s,True,346,151,True,166,False,180,False,65,False,86,6,1.64684701,0.145630836,0.601683855,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
497,265,s,False,346,152,False,166,False,180,True,66,False,86,6,1.646942139,0.145841122,0.40123105,Purpura,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
498,339,s,True,347,152,True,167,False,180,False,66,False,86,6,1.947757006,0.446663857,0.70247817,Azul,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
499,621,n,True,348,152,False,167,True,181,False,66,False,86,1,1.646692991,0.145368099,0.501284122,Purpura,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
500,346,n,False,348,153,False,167,False,181,False,66,True,87,1,1.650546789,0.149819851,0.60162878,Azul,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
501,504,n,True,349,153,False,167,True,182,False,66,False,87,1,1.647502899,0.14633894,0.200559855,Azul,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
502,404,s,True,350,153,True,168,False,182,False,66,False,87,6,1.651689053,0.150486946,0.701667786,Naranja,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
503,347,s,True,351,153,True,169,False,182,False,66,False,87,5,1.650612116,0.15011096,0.501439095,Verde,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
504,565,s,False,351,154,False,169,False,182,True,67,False,87,4,1.652220011,0.151171923,0.701951981,Naranja,muchos,ruido,2 BN,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
505,406,s,True,352,154,True,170,False,182,False,67,False,87,6,1.648619175,0.147496939,0.50128293,Purpura,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
506,387,s,True,353,154,True,171,False,182,False,67,False,87,5,1.748298883,0.247206926,0.902457952,Azul,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
507,529,s,False,353,155,False,171,False,182,True,68,False,87,6,1.647774935,0.146622896,0.501170874,Azul,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
508,243,s,False,353,156,False,171,False,182,True,69,False,87,6,1.651518106,0.150439024,0.501418114,Purpura,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
509,301,n,True,354,156,False,171,True,183,False,69,False,87,1,1.647468805,0.146389008,0.501314163,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
510,184,n,True,355,156,False,171,True,184,False,69,False,87,1,1.645987988,0.144886971,0.501238108,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
511,546,s,False,355,157,False,171,False,184,True,70,False,87,4,2.842190027,1.341081858,0.601592064,Naranja,muchos,ruido,2 BN,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
512,200,n,True,356,157,False,171,True,185,False,70,False,87,2,5.260559082,3.759490967,1.404074907,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
513,235,s,False,356,158,False,171,False,185,True,71,False,87,6,1.748378992,0.247308969,0.902660131,Naranja,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
514,144,s,True,357,158,True,172,False,185,False,71,False,87,6,1.648141861,0.146983862,0.801965952,Purpura,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
515,8,s,True,358,158,True,173,False,185,False,71,False,87,6,1.651588917,0.150534868,0.601465225,Naranja,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
516,322,s,True,359,158,True,174,False,185,False,71,False,87,6,1.649311066,0.149183035,0.601402044,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
517,88,s,True,360,158,True,175,False,185,False,71,False,87,6,1.852053165,0.350871086,0.601580143,Naranja,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
518,298,n,True,361,158,False,175,True,186,False,71,False,87,1,4.052515984,2.551481962,1.203177214,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
519,186,s,False,361,159,False,175,False,186,True,72,False,87,5,1.652724981,0.151544809,1.203065872,Azul,pocos,ruido,1 AN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
520,171,s,False,361,160,False,175,False,186,True,73,False,87,6,3.051460981,1.550332785,0.601547003,Naranja,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
521,625,s,False,361,161,False,175,False,186,True,74,False,87,4,1.647372007,0.146269798,2.005416155,Azul,muchos,ruido,2 BN,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
522,450,s,True,362,161,True,176,False,186,False,74,False,87,6,1.850895882,0.350291967,0.902479887,Naranja,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
523,491,s,False,362,162,False,176,False,186,True,75,False,87,6,1.648153067,0.146965027,0.401293039,Azul,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
524,100,s,True,363,162,True,177,False,186,False,75,False,87,5,1.751572132,0.250463963,2.004850149,Azul,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
525,438,s,True,364,162,True,178,False,186,False,75,False,87,6,1.647295952,0.146207809,1.002406836,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
526,521,s,False,364,163,False,178,False,186,True,76,False,87,4,1.648155212,0.146955967,0.701870203,Verde,muchos,ruido,2 BN,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1
527,161,s,False,364,164,False,178,False,186,True,77,False,87,5,1.65218401,0.151067019,0.401030064,Naranja,pocos,ruido,1 AN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
528,386,s,True,365,164,True,179,False,186,False,77,False,87,5,1.750771999,0.250280142,0.50129509,Verde,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
529,392,s,True,366,164,True,180,False,186,False,77,False,87,6,1.65096879,0.150492191,0.401079893,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
530,639,n,True,367,164,False,180,True,187,False,77,False,87,1,3.242198944,1.741076946,1.102504015,Naranja,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
531,405,s,True,368,164,True,181,False,187,False,77,False,87,5,2.253535986,0.75237298,0.501288891,Verde,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
532,483,s,False,368,165,False,181,False,187,True,78,False,87,6,2.051645041,0.551178932,1.002379894,Verde,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
533,93,s,True,369,165,True,182,False,187,False,78,False,87,6,1.951451063,0.450293064,0.702098846,Azul,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
534,248,n,True,370,165,False,182,True,188,False,78,False,87,1,2.750983,1.25059104,0.801810026,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
535,310,n,True,371,165,False,182,True,189,False,78,False,87,1,1.647304058,0.146129847,0.701591015,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
536,393,n,False,371,166,False,182,False,189,False,78,True,88,1,1.64677906,0.145662069,0.501464128,Purpura,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
537,4,s,True,372,166,True,183,False,189,False,78,False,88,5,1.652527094,0.151453018,0.300931931,Azul,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
538,212,n,True,373,166,False,183,True,190,False,78,False,88,2,2.348731041,0.847563982,0.802212,Azul,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
539,360,s,True,374,166,True,184,False,190,False,78,False,88,6,1.651781797,0.151302814,0.902282,Verde,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
540,82,s,True,375,166,True,185,False,190,False,78,False,88,5,2.955303907,1.454218864,1.503734827,Verde,pocos,senal,4 AS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
541,530,s,False,375,167,False,185,False,190,True,79,False,88,6,1.646852016,0.145745993,0.501104116,Naranja,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
542,42,n,False,375,168,False,185,False,190,False,79,True,89,2,9.566148996,8.065085888,1.002668142,Azul,pocos,senal,4 AS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
543,224,n,True,376,168,False,185,True,191,False,79,False,89,2,1.651896954,0.150773048,0.70157814,Purpura,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
544,296,n,True,377,168,False,185,True,192,False,79,False,89,1,1.653072119,0.151957989,1.103092909,Naranja,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
545,353,s,True,378,168,True,186,False,192,False,79,False,89,5,2.750432968,1.249250889,0.601463079,Naranja,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
