,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,P1,P2,P3
230,M,B,C,A,A,C,D,B,A,C,D,D,A,B,C
231,F,B,B,A,A,C,C,D,B,A,A,C,A,D,C
232,F,B,B,A,A,C,C,D,A,B,C,D,A,B,C
233,F,B,B,A,A,C,C,E,B,A,A,B,D,B,C
234,M,B,B,A,A,B,B,E,B,A,B,D,A,B,C
235,M,C,B,A,A,B,C,D,A,B,A,D,A,B,C
236,F,A,B,A,A,B,B,D,B,A,C,D,A,B,C
237,F,B,B,A,A,C,C,E,B,A,,B,A,D,C
238,F,B,B,A,A,D,C,E,B,A,B,D,A,B,C
239,M,B,B,A,A,C,A,E,A,C,D,D,A,B,C
240,F,B,B,A,A,B,B,E,B,A,B,C,A,B,C
241,M,B,B,A,A,B,C,E,A,B,D,B,A,B,C
242,F,C,C,A,A,C,C,B,B,A,B,B,A,B,C
243,M,B,B,A,A,B,C,C,B,D,B,C,A,B,C
244,M,A,A,A,A,C,D,C,A,C,A,B,A,C,B
245,F,B,B,A,A,C,B,B,B,A,A,D,A,B,C
246,F,A,B,A,A,C,D,D,B,A,B,B,A,C,B
247,M,B,B,A,A,B,C,B,A,B,D,D,A,B,C
248,M,B,B,B,A,B,B,E,B,A,D,D,A,B,C
249,M,C,B,A,A,A,B,A,B,A,B,C,A,B,C
250,M,B,B,A,A,A,B,B,B,A,B,B,A,B,C
251,F,B,B,A,A,C,D,C,B,A,B,D,A,D,C
252,M,B,B,A,A,C,B,A,B,A,C,C,A,B,C
253,M,A,B,A,A,C,C,A,B,A,B,D,A,C,C
254,M,B,B,A,A,C,A,A,B,A,B,D,A,B,C
255,M,B,B,A,A,B,B,E,B,A,C,D,B,B,B
256,M,A,B,A,A,B,C,E,B,A,A,D,A,B,C
257,M,A,B,A,A,B,C,E,B,A,C,D,A,C,C
258,M,B,B,A,A,C,B,C,A,C,B,D,A,B,C
259,M,B,B,A,A,C,A,A,B,A,C,C,A,B,C
260,M,A,C,A,A,B,C,D,A,B,A,D,A,C,C
261,M,A,B,A,A,C,D,D,A,D,E,D,A,B,C
262,M,A,B,A,A,A,B,E,B,A,A,A,A,B,C
263,M,A,B,A,A,C,B,E,B,A,C,D,A,B,C
264,M,A,B,A,A,C,B,E,B,A,B,B,A,B,C
265,M,A,B,A,A,C,D,E,A,C,B,D,A,B,C
266,M,A,B,A,A,B,B,E,B,A,B,D,A,D,B
267,M,B,B,A,A,C,C,C,B,A,B,D,D,B,B
268,M,A,B,,A,C,C,E,B,A,C,D,D,C,C
269,M,A,B,A,A,B,B,E,B,A,E,D,D,C,B
270,M,C,B,A,A,C,A,D,A,D,C,C,A,C,C
271,F,A,B,A,A,A,B,E,B,A,D,D,D,D,A
272,M,A,B,A,A,A,A,E,B,A,B,D,A,B,C
273,M,A,B,A,A,C,C,E,B,A,C,C,A,C,B
274,F,A,B,A,A,D,B,E,B,A,A,D,A,C,A
275,M,B,B,A,A,A,B,E,B,A,D,D,A,C,A
276,M,B,B,A,A,B,B,C,B,A,B,C,A,B,C
277,F,B,B,A,A,C,B,C,B,A,B,C,A,D,C
278,M,B,B,A,A,B,B,B,B,A,C,D,A,B,C
279,F,A,B,A,A,A,B,E,B,A,C,D,A,B,C
280,F,D,C,C,D,B,F,E,A,B,A,C,B,B,C
281,F,B,B,A,A,C,D,C,B,A,C,D,C,B,C
282,M,B,B,A,A,B,C,D,B,A,C,C,B,A,A
283,F,B,B,A,A,D,C,B,B,A,B,D,A,B,C
284,F,B,B,A,A,A,B,B,B,A,A,B,A,B,B
285,M,A,B,A,A,B,B,E,A,D,B,D,A,B,C
286,M,A,B,A,A,B,C,E,A,B,B,B,A,B,C
287,M,A,B,A,A,D,C,E,B,A,B,D,A,B,C
288,F,D,B,A,A,B,B,D,B,A,A,D,A,D,D
289,M,B,B,A,A,B,B,E,A,B,B,D,A,B,C
290,M,A,B,A,A,C,B,E,B,A,B,D,A,B,C
291,F,B,B,A,A,B,C,D,A,C,D,D,A,B,C
292,F,B,B,A,A,C,C,D,A,C,D,D,A,B,C
293,F,B,B,A,A,B,B,E,A,D,B,D,A,C,C
294,M,C,B,A,A,C,B,B,A,C,D,D,A,C,C
295,M,C,B,A,A,B,C,E,A,D,B,D,D,C,C
296,M,A,B,A,A,B,C,E,B,A,B,B,A,B,C
297,M,A,B,A,A,A,B,E,B,A,A,B,,,
298,F,B,B,A,A,A,A,E,A,C,C,B,A,A,A
299,M,B,B,A,A,C,B,C,A,C,C,D,D,C,C
300,M,C,B,A,A,C,B,C,A,B,B,C,A,C,C
301,M,A,B,A,A,B,B,E,A,B,A,C,A,B,C
302,M,B,B,A,A,C,C,E,B,A,D,D,A,B,C
303,M,C,B,A,A,B,C,D,A,B,C,C,A,C,B
304,M,A,B,A,A,A,B,E,B,A,B,D,A,B,A
305,M,B,B,A,A,B,B,E,B,A,D,D,A,B,C
306,M,A,B,A,A,B,B,E,B,A,B,C,A,B,C
307,M,C,B,A,A,B,D,B,A,B,C,D,A,B,C
308,F,B,B,A,A,C,B,C,A,B,B,B,D,B,C
309,F,B,B,A,A,C,B,E,B,A,A,D,A,A,C
310,F,C,B,A,A,A,A,E,A,B,A,D,A,A,B
311,F,A,B,A,A,C,B,E,A,D,C,C,A,B,C
312,M,A,B,A,A,D,B,E,B,A,D,C,A,B,C
313,F,B,B,A,A,A,B,E,A,B,B,B,D,B,C
314,,,,,,,,,,,,,A,B,C
315,M,C,A,A,A,B,A,D,B,A,A,D,D,C,B
316,F,A,B,A,A,A,B,E,B,A,B,B,A,C,C
317,M,A,B,A,A,C,C,E,B,A,C,D,D,B,C
318,M,B,B,A,A,B,B,A,B,A,C,C,A,C,B
319,M,B,B,A,A,B,B,E,B,A,D,B,D,B,C
320,M,B,B,A,A,A,B,E,B,A,B,D,A,B,C
321,M,B,B,A,A,C,C,C,A,B,C,D,A,B,B
322,M,A,B,A,A,C,B,E,B,A,D,D,A,B,C
323,M,B,B,A,A,A,,E,B,A,A,D,A,B,C
324,F,A,B,A,,B,,E,B,A,B,D,B,A,C
325,F,A,B,A,A,C,,E,B,A,B,D,,,
326,M,B,B,B,A,B,,E,B,A,B,B,,,C
328,F,A,B,A,A,C,,E,B,A,A,B,A,B,C
329,M,A,B,A,A,B,,E,B,A,B,D,A,B,C
330,M,A,B,A,A,A,,E,B,A,A,A,A,B,C
332,F,A,B,A,A,B,,E,B,A,B,D,D,B,C
333,M,B,B,A,A,B,,E,B,A,,D,A,B,B
334,F,A,B,A,A,A,,E,A,C,B,B,A,B,C
335,F,A,B,A,A,B,,E,B,A,B,C,A,C,B
336,M,B,B,A,A,B,,E,B,A,,C,A,B,C
337,M,B,B,A,A,B,,E,B,A,B,D,A,B,C
340,F,A,B,A,A,C,,E,A,C,A,B,A,A,C
343,F,B,B,A,A,A,,E,A,C,B,D,A,B,C
344,M,A,B,A,A,B,,E,A,B,A,C,A,B,C
346,M,B,B,A,A,A,,,B,A,A,D,A,B,C
347,F,A,B,A,A,B,,E,B,A,A,C,D,B,C
348,M,B,B,A,A,C,,E,B,A,A,D,A,B,C
349,M,A,B,A,A,C,D,E,B,A,C,D,A,C,C
351,M,A,B,A,A,C,,E,B,A,A,A,A,B,C
352,M,A,B,A,A,C,,E,B,A,A,D,A,B,C
353,,A,B,A,A,C,,E,B,A,,D,A,B,C
