,Alc1,Alc2,Alc3,Alc4,Alc5,Alc6,Alc7,Alc8,Alc9,Alc10,Alc11,Alc12,Alc13,Alc14,Alc15,Alc16,Alc17,Alc18,Alc19,Alc20,Alc21,Alc22,Alc23,Alc24,Alc25,Alc26,Alc27,Alc28,Alc29,Alc30,Alc31,Alc32,Alc33A,Alc33B,Alc33C,Alc33D,Alc33E,Alc34,Alc35,Alc36,Alc37,Alc38,Alc39,Alc40,Alc41,Alc42,Alc43,Alc44,Alc45,Alc46,Alc47,Alc48,Alc49,Alc50,Alc51,Alc52,Alc53,Alc54,Alc55A,Alc55B,Alc55C,Alc55D,Alc56,Alc57,Alc58,Alc59,Alc60,Alc61,Alc62,Alc63,Alc64,Alc65,Alc66,Alc67,Alc68,Alc69,Alc70
178,B,B,C,A,A,C,A,A,C,C,A,A,C,A,C,A,A,B,A,A,C,C,C,A,C,C,A,A,A,F,D,F,,,,,E,E,E,E,A,D,A,D,A,A,D,D,A,A,D,D,D,A,A,D,A,I,,B,,,B,C,B,B,B,D,D,A,A,A,A,A,A,A,A
179,A,C,B,B,B,B,B,B,C,C,C,C,C,C,B,C,C,C,B,C,B,C,B,B,B,B,C,B,B,B,B,B,A,,C,,,C,C,C,D,C,C,C,C,B,C,C,B,B,B,B,C,C,A,C,C,D,A,,,,C,C,C,C,C,C,B,A,B,A,B,C,C,D,C
180,A,B,B,B,B,B,C,B,B,B,B,B,C,B,C,C,C,B,B,B,C,C,C,B,B,B,B,C,C,B,B,B,A,,C,,,C,D,D,D,B,C,B,C,C,C,C,B,B,C,B,C,C,A,B,C,C,,,,D,B,B,C,C,C,C,B,A,B,D,B,C,B,B,C
181,B,A,B,D,A,B,A,A,C,D,A,A,D,A,A,C,A,A,B,,B,B,B,A,D,,,,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
182,A,D,B,D,D,D,D,D,C,A,B,D,B,C,A,B,D,D,D,D,D,C,A,D,B,C,A,D,C,A,A,D,,B,,,,A,E,C,B,C,D,D,D,C,A,D,B,B,,C,D,C,B,,D,F,,B,,,B,B,E,D,D,C,C,,D,E,C,E,F,E,D
183,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,,,C,,,C,B,D,C,C,C,C,C,C,C,C,C,C,C,C,B,D,B,B,B,B,,,C,,A,B,B,B,B,B,B,C,C,C,C,C,B,B,B
184,A,D,A,C,C,B,A,B,C,A,A,B,C,B,C,C,D,B,C,B,B,C,C,B,B,C,B,C,D,C,C,C,A,,C,,,C,B,D,A,C,B,C,D,B,C,C,B,B,B,B,C,D,B,B,C,D,A,,,,A,B,A,B,C,C,C,B,C,B,B,B,C,D,B
185,B,A,A,B,C,B,B,B,C,A,C,A,D,D,D,D,D,D,D,D,C,B,C,A,D,B,D,A,A,B,C,A,,,C,,,A,D,D,B,A,D,B,D,C,C,C,A,A,A,D,D,B,B,A,A,A,A,,,,A,A,A,A,A,C,E,F,F,B,C,B,D,B,A
186,A,B,D,C,B,B,A,B,C,D,D,B,C,B,B,D,C,C,C,A,C,D,D,D,B,D,B,C,B,C,B,A,A,B,C,,,C,B,D,B,B,D,C,D,D,D,D,D,D,D,D,D,D,B,D,B,F,,,,D,B,A,D,B,B,D,B,A,B,A,A,B,A,A,B
187,A,C,B,B,C,A,C,C,B,A,C,D,A,B,B,C,D,D,B,D,D,B,A,D,A,A,C,A,D,C,A,B,A,B,C,D,,C,D,D,C,B,C,A,C,D,B,A,D,D,A,B,B,D,A,B,D,D,A,,,,D,A,D,D,C,C,C,A,C,A,C,D,F,F,D
188,A,B,A,C,A,B,A,A,C,C,C,A,C,C,B,B,C,B,B,B,B,B,A,B,B,B,C,C,C,C,C,A,A,,C,,,C,B,C,B,C,D,C,B,C,C,C,C,C,C,B,D,D,A,B,C,G,A,,,,C,B,C,D,B,D,C,B,E,A,C,B,D,C,C
189,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,C,C,C,D,D,C,C,A,,,C,,,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,C,A,B,B,A,,,C,,B,C,B,B,B,C,C,C,C,C,C,C,C,C,C
191,A,B,A,C,B,B,A,D,C,D,A,B,C,D,A,D,B,A,B,A,B,D,D,A,A,D,C,C,B,C,C,A,A,,,,,B,B,B,C,B,C,A,B,D,D,C,A,D,C,D,A,C,A,B,D,D,A,,,,B,A,B,B,B,B,C,A,B,A,C,A,A,B,B
192,A,B,B,B,B,B,B,B,C,B,C,B,B,B,A,C,C,A,A,A,A,C,C,C,A,C,B,C,A,C,C,A,A,,C,,,C,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,C,H,A,,,,C,C,C,C,C,C,B,A,A,D,B,B,C,C,B
193,B,B,B,C,A,B,A,A,D,D,C,A,C,A,D,A,D,A,D,A,A,D,D,B,A,D,A,D,A,B,C,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
195,A,C,D,C,A,B,A,C,D,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,C,,,C,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,H,A,,,,A,B,C,C,A,D,D,A,B,A,C,A,F,F,B
196,A,C,A,B,A,B,A,C,C,B,C,C,B,B,A,D,C,B,C,A,A,B,C,B,A,C,B,B,A,C,B,A,A,,C,,,C,C,D,A,B,D,A,D,D,D,C,D,D,B,D,C,D,A,A,D,E,A,,,,C,A,C,B,B,C,B,A,B,A,B,A,C,C,C
197,B,C,D,B,A,C,C,B,D,C,A,A,D,A,B,D,D,A,D,A,B,D,D,D,A,D,A,,,F,D,F,,,,,E,E,E,E,A,B,B,C,A,D,B,C,B,D,A,B,D,B,,,,I,A,,,,E,A,E,E,E,,E,A,A,F,A,E,E,E,E
198,A,D,D,A,C,A,D,D,C,A,D,D,A,A,A,A,A,A,A,B,,A,A,A,B,,A,A,,B,A,D,,,,D,,A,D,D,E,A,A,B,C,C,B,B,C,D,D,D,D,A,B,B,B,C,A,,,,A,D,D,,B,,A,D,,B,,,,A,D
199,B,D,C,D,A,D,A,A,D,D,A,A,D,A,A,A,D,A,D,A,A,D,D,A,A,D,A,A,D,A,C,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,A,E,,,C,D,E,E,E,E,E,E,E,A,A,F,D,E,B,F,E
200,B,C,A,A,D,D,D,D,D,A,D,D,D,D,D,D,A,A,D,A,A,A,A,A,A,A,A,A,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,E,A,A,A,A,E
201,A,C,C,C,A,B,B,B,C,A,,A,B,,B,A,C,A,,A,A,,C,A,,C,C,,A,A,A,B,A,,C,D,,C,D,D,A,A,C,B,C,C,D,A,C,D,A,C,A,A,C,B,B,D,,,,D,D,D,D,D,D,B,D,C,D,B,C,B,A,C,C
202,B,B,C,D,A,C,A,A,D,A,B,A,C,A,B,A,C,B,B,A,B,D,C,D,A,B,A,A,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,F,F,E
203,A,D,A,A,A,A,A,C,A,A,D,C,A,A,A,A,A,A,A,A,C,A,A,D,,A,A,A,A,A,A,E,,,C,,,C,D,C,E,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,D,H,A,,,,D,D,D,D,D,C,D,D,D,D,D,A,C,D,D
204,B,C,B,C,A,C,A,A,D,B,B,B,D,B,B,B,D,A,D,A,A,D,D,A,A,D,A,D,A,C,B,A,A,,C,,,B,A,B,B,D,D,D,A,C,D,D,A,D,D,D,A,D,A,D,D,G,A,,,,A,A,A,A,A,D,A,A,B,A,A,A,A,A,A
205,,A,C,B,A,C,A,,C,C,A,,,C,C,C,D,A,C,A,A,,,A,A,C,C,C,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,,E,,E,A,A,F,D,E,E,E,E
206,A,D,C,B,A,B,A,C,C,B,C,B,C,B,C,D,C,A,D,A,A,B,B,D,A,B,C,D,A,B,C,A,A,,C,D,,C,D,D,A,A,C,A,B,D,D,A,C,D,B,D,C,C,E,C,C,F,,,,D,D,D,D,D,C,D,A,A,B,E,A,C,B,B,C
207,A,B,D,B,A,D,C,B,A,C,D,B,A,C,B,A,C,B,C,C,B,B,C,D,C,A,B,D,B,B,A,D,,B,,,,D,D,E,F,A,A,B,B,C,D,B,C,B,D,B,A,C,E,B,C,A,A,,,,B,B,B,D,B,A,B,D,C,B,A,D,E,F,D
208,A,C,D,B,C,C,B,C,C,B,A,B,B,C,A,D,C,B,B,B,C,B,B,A,A,A,A,A,A,C,B,B,,B,C,,,C,B,D,A,B,C,B,C,D,D,C,C,C,D,C,C,D,E,B,B,G,A,,,,C,C,C,C,C,C,C,C,C,D,C,C,C,B,C
209,A,D,B,B,A,A,B,C,B,B,C,D,B,B,B,C,B,*,A,B,C,B,B,C,A,B,C,B,B,C,C,C,A,,C,,,C,D,D,E,A,B,A,D,D,C,B,C,D,B,C,B,B,A,C,C,C,,,,D,C,D,D,C,C,B,C,C,F,E,C,B,C,C,B
210,A,C,B,C,A,D,A,C,D,C,C,D,C,A,C,C,D,B,C,A,C,D,D,D,B,C,B,C,,C,A,D,A,,C,,,C,C,D,C,B,D,B,D,D,D,C,D,D,C,C,,C,A,D,D,H,A,,,,B,A,D,C,A,C,C,A,F,A,C,B,D,D,C
211,A,B,A,B,B,A,B,C,A,C,C,D,C,A,C,D,C,A,B,A,A,A,C,C,A,A,B,B,A,B,B,B,,,C,,,C,D,D,B,A,D,A,D,D,A,D,D,D,D,A,D,D,B,C,C,C,A,,,,A,A,D,A,A,A,A,C,C,C,C,B,C,C,C
212,B,B,B,B,C,C,B,B,C,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
213,B,A,D,C,A,C,B,B,A,A,B,A,B,A,B,A,B,C,C,B,B,B,B,B,C,B,B,C,B,B,C,F,A,,,,,C,C,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,H,A,,,,D,A,D,D,D,A,D,A,B,E,D,D,F,F,D
214,B,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,B,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,A,I,,,,D,E,B,E,E,E,E,E,A,A,F,A,E,E,E,E
215,A,D,C,B,D,A,C,C,C,B,C,B,A,C,A,B,B,C,C,B,C,B,C,B,C,B,C,C,C,D,A,B,,,,D,,C,D,B,B,C,A,A,B,D,D,A,B,D,C,C,A,C,A,C,C,E,,B,,,C,B,C,B,C,B,C,A,E,E,D,C,C,D,C
216,B,B,D,D,A,D,A,A,D,D,C,D,D,D,D,D,D,A,D,A,A,D,D,C,D,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,A,E,E,E,E
217,A,B,B,C,C,B,A,B,D,C,C,A,B,C,C,D,C,A,B,A,A,D,D,A,A,C,A,C,D,C,C,A,A,,C,,,B,B,B,B,C,B,C,D,D,D,C,D,D,B,D,C,D,A,D,D,G,A,,,,C,A,C,C,C,D,A,A,A,A,B,B,F,B,C
218,A,C,,B,B,C,B,C,D,D,D,A,A,A,A,D,A,A,A,A,C,B,B,B,A,A,A,A,D,A,B,B,A,B,C,D,,C,D,D,D,A,D,A,D,D,A,A,A,D,A,A,A,D,A,D,C,H,,,,D,C,D,C,D,D,D,C,D,C,D,C,C,D,C,C
219,A,B,B,B,A,C,B,C,D,D,C,D,D,B,B,C,C,A,C,A,A,D,D,C,B,C,A,B,C,B,C,B,A,,C,D,,C,B,D,B,A,D,B,D,D,D,D,D,D,D,D,B,C,A,D,D,G,,,,D,D,C,C,C,B,C,C,A,B,D,B,B,F,F,C
220,A,D,B,B,B,B,C,C,B,B,C,B,C,B,C,B,C,B,C,B,C,B,C,B,C,B,C,B,B,A,C,B,,,C,,,B,C,B,C,B,C,A,B,A,D,B,A,B,A,B,A,B,C,B,D,F,,,C,,D,B,C,B,C,B,D,B,C,B,C,B,C,C,C
221,A,B,B,B,C,B,C,B,B,C,C,C,B,C,B,B,B,D,C,C,B,A,B,C,A,B,B,C,B,B,B,C,,,C,,,B,B,A,C,A,B,A,B,C,B,C,D,C,C,B,A,A,B,C,C,B,,B,,,D,E,B,C,D,C,D,C,D,C,B,C,B,C,D
222,B,C,A,C,C,B,B,D,C,C,D,B,D,A,C,D,D,A,C,B,C,A,C,D,C,C,D,B,D,B,C,F,A,,,,,C,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,B,G,,,,D,D,A,A,A,A,D,E,A,A,A,A,E,F,E,E
223,B,C,B,D,A,D,A,A,C,C,B,A,B,A,B,A,D,D,D,A,A,C,C,C,A,B,A,B,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,C,E,E,E,E,E,A,A,F,A,E,E,E,E
224,B,C,A,D,B,D,A,D,D,C,A,A,D,D,D,D,D,B,D,B,D,D,D,A,A,D,A,D,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,B,E,E,E,E
225,B,C,A,D,A,D,B,D,D,B,A,A,D,D,D,D,D,B,D,A,C,D,D,A,A,D,A,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,A,E,E,E,E
226,B,B,A,C,B,B,B,C,C,C,B,A,C,C,C,B,D,B,C,B,C,C,C,C,A,C,A,C,A,C,B,A,,,C,,,B,B,C,A,B,C,B,D,D,D,D,D,D,D,D,C,D,A,D,C,G,A,,,,E,A,E,B,E,D,E,A,A,A,A,B,E,E,E
227,B,B,C,A,A,D,A,C,D,C,C,D,D,D,D,D,D,A,C,A,C,D,C,C,A,C,A,C,D,E,C,A,A,B,,,,B,B,D,A,A,C,C,C,D,D,C,D,D,D,D,D,D,A,D,D,H,A,,,,B,C,B,B,A,D,D,F,B,A,B,C,B,B,D
228,A,B,D,C,A,A,A,D,D,C,D,C,B,D,A,B,D,A,B,A,D,D,D,D,A,D,A,A,A,B,A,D,A,,C,D,,C,D,D,C,B,A,A,D,D,D,C,D,D,D,D,B,B,A,D,D,H,A,,,,D,D,D,D,D,D,D,A,F,A,A,D,D,A,D
229,A,C,C,B,C,B,C,C,B,B,B,B,C,B,B,D,B,B,C,B,B,C,B,B,B,B,B,B,B,B,B,D,A,B,C,D,,C,D,D,F,B,C,B,C,C,C,C,C,C,C,C,C,C,A,C,D,H,A,,,,C,D,D,D,B,D,C,C,F,E,C,C,F,F,D
230,B,A,D,D,C,C,A,A,A,A,D,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,I,,,,D,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
231,A,C,D,B,A,B,B,C,D,B,C,A,B,D,A,B,B,A,B,C,A,A,B,B,A,A,A,B,C,B,B,A,A,,C,,,C,C,D,C,B,D,A,A,D,D,A,B,D,B,D,A,C,A,B,C,E,,,,D,B,A,C,C,A,B,B,D,D,A,B,B,A,B,C
232,A,C,A,C,D,C,C,C,B,C,D,B,B,D,C,C,D,D,C,B,C,D,C,D,B,C,A,B,B,B,A,A,A,,C,,,C,D,C,A,C,D,C,C,C,B,C,D,C,C,D,C,D,A,B,D,H,A,,,,D,D,D,D,D,D,B,A,B,A,A,C,F,F,D
233,B,A,D,C,A,C,A,A,D,D,A,A,D,A,D,A,C,A,C,A,B,C,B,C,B,C,B,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,,,,D,E,A,E,E,E,E,E,A,A,A,A,E,A,A,E
234,B,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
235,B,A,D,C,D,D,D,C,D,C,D,C,D,D,B,C,B,D,B,C,B,C,D,A,B,B,D,B,C,E,D,E,,,,D,,E,B,E,E,B,A,D,C,D,C,D,A,D,C,D,C,D,E,C,A,A,,,C,,B,D,C,B,E,B,D,C,E,B,C,A,D,F,C
236,B,D,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,,,,A,A,A,A,A,A,A,A,A,A,B,E,E,E,E
237,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,F,,,,,E,E,E,E,C,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,D,I,A,,,,E,E,E,E,E,E,E,A,A,A,D,E,F,F,E
238,A,B,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,A,B,C,,,C,A,D,A,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,D,D,,,C,,D,B,C,C,C,C,C,C,C,C,C,C,C,C,C
239,B,C,A,D,A,D,A,A,A,A,D,A,D,A,D,D,D,A,D,A,A,A,A,D,A,D,A,D,D,B,C,C,A,,,,,C,B,C,C,D,A,B,C,C,C,A,C,A,C,C,C,C,D,D,D,I,,,,D,D,D,D,D,D,D,E,A,A,F,D,E,E,E,E
240,A,D,A,B,B,B,C,C,C,B,B,B,C,B,B,B,B,B,B,C,C,C,B,D,C,C,B,B,B,B,B,C,A,,C,D,,C,D,D,B,B,B,B,B,C,C,B,B,D,B,B,C,D,A,A,D,H,A,,,,D,D,D,D,D,D,D,E,D,E,D,D,D,C,D
241,B,C,C,B,A,B,A,C,D,D,C,A,C,C,C,D,B,A,B,A,B,C,C,C,B,C,D,C,A,B,B,B,,,,D,,B,D,D,C,B,A,B,A,C,D,C,C,D,C,D,C,D,A,D,C,F,A,,,D,E,C,D,D,A,B,C,D,D,E,B,B,B,A,B
242,B,C,A,D,B,B,C,A,C,C,A,A,C,C,C,C,C,B,B,B,D,A,A,A,,B,D,B,C,C,C,A,,,C,,,C,A,D,A,D,B,B,C,C,C,C,B,B,B,C,C,B,C,B,B,G,A,,,,D,D,C,B,B,D,B,C,C,B,D,B,D,B,E
243,B,C,C,D,A,B,A,A,D,D,A,A,D,A,C,A,C,A,C,A,A,D,D,D,D,C,,,,C,C,A,,,C,,,B,B,D,B,,D,C,D,D,D,D,D,D,D,D,D,D,A,D,,F,A,,,,,,,,,D,D,A,A,B,C,B,,A,E
244,A,C,C,B,B,B,C,B,B,B,D,B,B,B,C,D,C,C,C,C,C,C,C,C,,C,,C,C,A,C,B,A,,C,,,C,B,D,C,B,C,B,C,C,C,C,C,C,C,C,C,C,A,D,D,H,A,,,,E,A,C,B,A,C,A,A,B,A,B,C,C,,B
245,B,B,D,C,B,C,A,A,D,C,A,A,C,A,C,A,C,B,C,A,B,D,C,B,D,C,D,C,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,,I,A,,,,E,E,E,E,E,E,E,A,A,A,A,E,E,E,E
246,B,C,A,D,B,C,B,B,D,D,B,B,C,B,B,B,D,D,D,D,D,D,D,D,D,D,,D,D,F,D,F,,,,,E,E,E,E,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,,E,E
247,B,B,B,A,B,A,A,B,A,C,B,B,C,A,C,B,A,B,B,C,C,C,B,B,B,A,A,C,B,F,D,F,,,,,E,E,E,E,A,A,C,A,B,C,B,C,C,B,A,C,B,A,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,D,E,F,F,E
248,A,C,B,C,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,,A,A,A,B,B,C,A,,C,B,A,,,C,,,C,B,D,A,C,D,C,D,D,D,D,D,D,D,D,D,A,A,A,B,D,,,,,A,B,B,B,B,A,A,A,A,C,A,A,A,B,B
249,B,C,B,A,D,D,A,B,C,A,D,B,A,C,D,D,B,,C,C,A,D,B,,C,A,C,,D,F,D,F,,,,,E,E,E,E,F,D,D,D,D,D,D,B,A,B,B,D,B,C,*,D,D,I,,,,D,E,E,E,E,E,C,E,E,,E,D,E,,E,E
250,B,A,A,D,D,D,A,D,D,D,D,D,D,D,D,D,C,B,C,B,B,C,C,B,B,C,B,C,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,B,E,E,E,E
251,A,D,C,B,C,A,B,B,B,C,A,B,D,B,C,A,C,C,B,C,C,C,D,C,A,D,A,C,A,B,A,D,A,,C,D,,C,C,B,F,B,D,B,B,C,A,D,D,B,D,B,D,B,B,C,A,D,,,,D,D,D,D,D,D,A,B,B,F,C,B,B,C,D,B
252,A,C,B,B,C,B,C,D,C,C,C,C,B,C,C,C,C,C,B,C,C,C,C,B,C,D,D,D,D,C,C,B,,,C,,,C,C,D,B,B,B,B,B,B,B,B,B,C,B,A,B,B,B,B,B,B,,B,,,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B
253,A,C,C,B,C,B,C,C,C,C,C,B,C,B,C,B,C,C,C,C,C,B,C,B,C,B,C,B,C,C,C,B,,,C,,,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,B,B,B,B,,B,,,B,C,B,C,A,B,C,E,C,B,B,B,B,B,B
254,A,D,A,C,C,C,C,C,C,B,C,A,B,C,B,C,B,C,D,B,C,B,C,B,C,C,C,B,C,A,B,C,,,C,,,C,B,B,C,C,B,C,A,C,B,C,A,B,C,B,C,A,C,B,A,B,,,,D,B,C,A,C,B,C,C,C,E,E,C,D,B,D,A
255,B,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,A,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,,,,D,E,E,E,E,E,E,E,A,A,F,D,E,F,F,E
256,B,B,B,D,A,C,B,C,C,C,C,C,C,C,C,D,D,A,C,B,C,C,C,C,B,C,C,C,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,A,E,E,E,E,E,E,A,A,A,A,C,A,F,E
257,B,B,A,A,A,A,A,A,D,A,B,A,D,A,A,A,B,A,B,A,A,A,A,A,B,A,B,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,,,,D,E,E,E,E,E,E,E,A,A,F,A,E,E,E,E
258,A,D,A,B,B,B,B,B,D,D,C,C,B,D,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,D,A,B,C,D,,D,D,D,C,A,B,A,C,C,D,D,C,D,B,C,A,A,A,A,D,C,A,,,,D,A,D,D,D,D,D,C,D,A,C,A,A,A,B
259,A,D,A,B,B,B,B,B,B,C,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,A,B,C,,,C,D,D,B,B,B,B,B,B,D,B,B,D,B,C,B,B,B,B,B,D,,,,D,D,C,C,C,A,D,B,B,C,A,B,B,B,B,B
260,A,B,B,C,C,B,B,B,B,C,B,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,B,C,,,C,D,D,C,D,D,A,C,C,A,B,C,A,C,A,C,C,A,C,C,E,A,,,,C,A,C,D,B,C,C,A,B,A,A,A,A,A,A
261,B,B,D,B,A,B,A,D,B,A,B,D,B,B,A,D,D,A,C,A,C,C,A,A,A,C,C,D,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,B,E,E,E,E,E,A,A,F,A,E,E,E,E
262,A,B,C,C,B,C,B,C,C,C,C,D,C,C,B,C,B,C,B,A,A,C,A,B,A,C,C,B,C,B,B,B,,,C,,,C,A,D,B,C,B,B,B,C,C,C,C,C,C,C,C,C,A,A,C,H,A,,,,D,A,C,D,D,B,B,A,A,E,C,B,B,B,B
263,A,C,A,B,D,B,D,C,D,D,D,D,B,B,C,D,B,C,B,B,C,D,D,C,A,A,A,C,B,C,C,*,,,C,,,C,D,B,B,D,D,B,C,B,A,D,C,B,C,A,C,B,A,B,D,A,,B,,,C,B,D,C,E,D,B,C,C,E,B,D,C,B,C
264,B,B,A,C,B,B,C,B,C,C,C,B,C,B,B,B,C,B,B,A,A,A,A,B,B,A,B,A,B,B,B,A,,B,,,,B,C,B,B,C,A,B,B,A,B,C,C,B,A,B,A,A,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
265,A,A,B,B,B,B,B,B,C,C,B,B,C,B,C,B,C,A,C,A,B,C,C,C,D,C,C,C,D,C,B,A,A,,C,,,C,B,D,A,B,D,C,D,D,D,D,C,D,D,D,D,D,A,C,B,H,A,,,,B,C,B,B,B,D,B,A,B,A,B,C,F,F,B
266,B,C,B,C,B,C,B,B,C,A,B,B,B,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,A,,B,,,,C,B,C,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,C,H,A,,,,C,A,A,C,A,D,A,A,A,A,A,D,F,F,D
267,A,D,B,A,C,A,C,C,C,A,C,A,A,C,C,C,C,C,A,A,A,B,B,B,C,C,C,C,C,A,B,A,,,,D,,C,B,C,D,A,C,A,C,C,C,A,A,B,B,B,C,C,A,C,D,F,A,,,,D,D,D,C,C,D,C,E,C,C,D,E,D,E,D
268,B,A,D,D,A,C,A,A,C,C,A,A,D,B,B,A,A,A,B,A,A,C,B,C,B,B,C,C,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
269,B,D,A,C,B,C,B,B,C,C,B,B,C,C,C,A,C,A,C,A,A,C,C,B,A,C,C,C,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,A,E,E,E,E
270,A,D,A,D,A,B,C,D,D,D,D,D,D,D,D,D,D,D,C,C,D,D,D,C,D,C,D,D,D,B,A,C,,,,D,,C,C,D,C,D,D,B,D,D,D,D,D,D,D,D,D,D,A,C,C,D,,,,D,C,A,D,C,A,C,B,A,B,A,C,A,A,F,D
