,Alc1,Alc2,Alc3,Alc4,Alc5,Alc6,Alc7,Alc8,Alc9,Alc10,Alc11,Alc12,Alc13,Alc14,Alc15,Alc16,Alc17,Alc18,Alc19,Alc20,Alc21,Alc22,Alc23,Alc24,Alc25,Alc26,Alc27,Alc28,Alc29,Alc30,Alc31,Alc32,Alc33A,Alc33B,Alc33C,Alc33D,Alc33E,Alc34,Alc35,Alc36,Alc37,Alc38,Alc39,Alc40,Alc41,Alc42,Alc43,Alc44,Alc45,Alc46,Alc47,Alc48,Alc49,Alc50,Alc51,Alc52,Alc53,Alc54,Alc55A,Alc55B,Alc55C,Alc55D,Alc56,Alc57,Alc58,Alc59,Alc60,Alc61,Alc62,Alc63,Alc64,Alc65,Alc66,Alc67,Alc68,Alc69,Alc70
22,B,B,C,C,B,C,A,A,D,C,B,A,D,A,B,A,C,B,C,B,C,A,A,B,A,C,A,D,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
23,A,D,B,A,A,B,A,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,A,A,A,A,A,B,A,C,C,B,A,,C,D,,B,B,B,D,A,C,B,D,D,D,A,C,D,A,D,A,C,B,C,C,E,,,,D,D,E,D,D,D,D,D,A,B,D,C,A,B,B,C
24,A,A,B,C,B,D,C,B,D,C,A,B,C,B,B,D,D,A,C,A,C,D,D,A,A,D,B,D,B,D,B,A,A,B,C,,,C,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,H,A,,,,D,D,D,D,D,D,C,A,A,E,B,D,D,D,B
25,B,D,A,C,B,C,B,C,C,C,B,C,B,D,B,C,D,B,C,B,B,C,C,D,A,B,A,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,B,E,E,E,E
26,B,A,A,C,A,C,A,B,C,C,C,B,C,B,B,B,D,C,D,C,D,C,D,C,D,C,D,C,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,B,E,E,E,E
27,A,C,B,B,B,C,B,B,D,C,B,B,C,C,C,C,C,A,B,A,B,C,B,A,A,B,B,C,C,C,B,A,,,C,,,C,B,C,A,C,D,B,D,D,D,C,D,D,C,D,C,D,A,D,D,H,A,,,,D,A,D,B,B,D,B,A,A,A,B,D,F,F,C
28,A,C,B,B,A,B,A,A,D,B,B,B,B,D,B,B,B,A,A,A,A,D,B,B,D,B,D,B,B,B,C,B,,,,D,,B,B,C,A,A,D,A,D,D,D,B,D,D,B,D,C,D,A,C,D,H,A,,,,D,A,D,D,D,B,B,A,B,A,C,D,C,C,C
29,A,D,B,A,C,A,A,C,D,B,B,C,B,B,A,A,A,A,B,A,C,D,C,B,A,C,C,B,A,A,A,C,A,,C,D,,B,D,D,D,A,D,A,B,D,D,B,B,C,B,C,A,A,E,B,B,C,,,,D,C,C,D,C,D,B,D,E,F,A,B,A,B,C,B
30,B,B,A,A,B,C,A,A,D,B,A,C,A,D,D,A,B,C,D,A,A,D,D,A,A,A,D,D,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,C,D,D,D,A,D,D,I,A,,,,E,B,E,E,E,E,E,A,A,F,A,E,E,E,E
31,A,C,A,A,B,B,B,C,C,A,C,C,B,C,B,B,C,A,C,B,C,C,B,D,A,B,C,C,D,C,B,A,,B,C,D,,C,C,C,A,B,D,B,D,D,C,B,D,D,C,D,D,D,A,D,D,H,A,,,,D,D,D,D,D,D,B,A,B,E,B,D,F,F,D
32,A,D,A,C,B,B,B,B,C,B,B,B,B,A,B,B,D,D,C,D,D,D,C,D,D,C,D,D,D,C,A,B,A,B,C,D,,C,B,D,C,C,D,B,D,D,D,C,B,D,C,D,C,C,A,C,D,H,A,,,,D,D,D,D,B,C,C,B,D,D,B,A,D,D,C
33,B,B,B,C,C,B,B,B,D,B,B,A,B,D,B,D,B,A,B,B,C,A,B,B,B,B,A,B,A,B,C,F,,,C,,,C,A,B,A,B,D,A,D,D,A,C,D,C,A,D,B,A,A,D,D,G,A,,,,C,D,C,D,D,C,D,F,A,A,B,C,B,C,D
34,B,D,A,C,C,A,C,C,C,D,B,C,C,D,C,D,B,A,B,A,A,A,B,A,A,C,D,B,A,B,B,F,,B,,,,B,A,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,B,E,F,E,E
35,A,C,A,C,C,C,C,D,D,D,D,B,C,D,D,D,D,B,D,B,D,C,C,D,C,C,D,D,C,D,B,A,,,C,,,C,A,C,A,D,D,C,D,D,D,D,D,D,D,D,D,D,A,C,D,H,A,,,,C,E,C,D,B,D,C,A,A,A,C,D,F,F,D
36,B,C,B,B,A,C,B,A,D,C,B,A,D,A,B,B,B,A,A,A,A,A,B,C,A,A,A,A,B,D,A,B,A,,C,,,C,B,D,A,D,D,C,D,D,D,D,D,D,D,D,D,D,A,D,D,F,A,,,,C,D,D,D,D,C,D,A,B,D,B,D,A,A,B
37,B,B,A,C,D,D,D,D,D,D,D,D,B,D,D,D,D,A,D,B,A,D,D,B,A,C,A,D,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
38,B,A,A,B,A,C,A,A,D,B,A,B,B,B,B,D,C,A,C,A,A,D,D,B,B,D,A,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,B,E,E,E,E
39,A,C,B,C,C,C,C,C,C,C,D,D,C,D,B,D,C,B,C,B,B,C,C,C,B,C,B,C,B,B,C,B,A,,C,,,C,B,C,A,B,D,C,D,D,D,D,D,D,D,D,C,D,A,C,C,G,A,,,,D,D,D,D,D,C,B,A,B,A,C,D,F,F,C
40,B,C,A,C,A,D,B,C,D,D,B,B,D,C,D,A,D,C,C,C,D,C,B,D,D,B,D,C,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
41,A,D,A,B,C,B,C,D,C,B,C,C,A,C,C,C,C,A,C,A,A,C,B,C,A,B,D,D,D,B,A,B,A,,C,,,B,C,D,C,B,C,B,C,D,C,B,C,D,B,D,D,C,A,B,C,H,A,,,,B,D,D,B,B,C,B,A,C,D,B,B,C,C,C
42,B,A,A,B,A,B,C,D,C,A,C,B,B,A,A,C,D,A,C,B,C,B,A,B,A,C,B,B,A,C,D,F,,,,,E,E,E,E,A,B,B,A,C,D,D,C,C,C,C,C,B,D,E,D,D,I,,,,D,E,C,B,E,E,E,E,A,A,F,A,E,F,F,E
43,A,D,A,B,C,C,B,D,D,B,B,B,B,C,B,D,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,A,,C,,,C,D,D,E,B,D,B,D,D,D,B,C,D,B,D,B,D,A,C,D,H,A,,,,D,D,D,D,B,D,C,A,B,D,C,C,F,F,C
44,A,B,B,B,A,A,A,D,B,B,B,D,,D,A,B,B,A,C,A,A,A,A,C,A,A,A,B,A,C,C,A,,,C,,,C,B,B,B,A,D,B,D,D,B,B,C,D,B,D,B,C,A,B,D,H,A,,,,C,D,C,A,A,D,A,A,A,A,B,B,A,D,C
45,B,D,C,D,A,D,A,A,D,A,A,A,D,D,D,B,D,A,D,A,A,D,D,D,D,D,D,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
46,B,B,B,A,A,A,B,D,D,A,A,D,B,D,B,B,B,A,B,B,A,B,B,A,A,C,A,C,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,A,A,A,A,E,A,A,F,B,E,E,E,E
47,B,B,A,C,B,C,B,B,C,C,B,B,C,B,C,B,C,B,C,B,B,C,C,C,B,C,B,C,B,B,D,F,A,,C,,,B,B,C,A,D,D,C,D,D,D,D,C,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,D,E,A,B,F,B,E,E,E,E
48,B,B,B,C,B,C,C,D,C,B,C,B,C,B,D,B,C,A,B,B,C,B,B,C,B,B,B,C,A,F,D,F,,,,,E,E,E,E,B,B,D,C,D,D,D,D,D,D,C,D,D,D,A,D,D,I,A,,,,E,*,E,E,E,E,E,A,A,F,A,E,E,E,E
49,B,B,B,B,B,C,B,C,C,C,C,B,B,B,B,C,C,A,C,A,A,C,C,B,B,C,B,C,B,B,C,F,,,,,E,E,E,E,A,B,B,B,B,D,D,B,B,D,B,D,B,D,B,C,B,I,,,,D,E,D,E,E,E,E,E,A,A,A,B,E,F,F,E
50,A,D,A,A,C,B,B,C,B,B,B,A,A,A,A,C,A,A,B,A,B,A,B,B,A,A,A,A,B,B,A,A,A,,C,D,,C,C,C,D,A,D,A,D,D,C,A,C,C,A,D,A,C,A,C,D,H,A,,,,D,A,D,C,D,D,C,A,E,A,D,C,F,F,C
51,A,C,B,C,A,B,A,A,D,C,C,A,C,A,A,A,D,B,B,B,C,D,C,B,B,C,C,B,B,C,C,A,A,,C,,,C,A,C,B,D,C,A,B,C,D,C,C,D,B,D,C,B,A,D,B,G,A,,,,D,A,D,D,A,C,D,A,B,A,B,B,B,F,B
52,B,A,C,D,A,D,A,A,D,D,A,A,C,A,A,A,D,B,D,D,D,D,D,D,D,D,D,D,A,B,B,A,,,C,,,B,A,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,G,,,,D,D,D,D,D,D,D,B,A,A,A,B,B,F,F,C
53,B,D,A,A,B,B,A,D,C,B,A,B,B,D,C,B,A,C,A,B,C,B,C,A,A,D,D,B,B,D,C,B,A,,C,,,C,B,B,B,A,D,A,A,D,C,A,A,C,A,D,B,C,B,B,C,D,,,,D,C,A,D,D,A,D,C,A,A,A,C,C,A,F,D
