ID,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,DT1,DT2,DT3,DT4,DT5,DT6,DT7,DT8,DT9,DT10,DT11,DT12,DT13,DT14,DT15,DT16,DT17,DT18,DT19,DT20,DT21,DT22,DT23,DT24,DT25,DT26,DT27
70,F,D,C,A,B,B,E,B,A,C,E,B,A,B,A,B,B,A,B,B,A,A,B,A,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
71,M,C,B,A,B,D,E,B,B,A,A,C,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,B
72,F,B,B,A,B,D,E,B,B,A,C,B,A,A,A,B,A,A,B,B,A,A,B,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A,B
73,M,B,B,A,B,D,E,B,B,A,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
74,F,B,B,A,B,D,E,B,A,B,D,B,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,B,A,B
75,F,C,B,A,B,C,E,B,B,A,D,B,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B
76,F,C,B,A,B,C,E,B,B,A,C,B,A,B,A,B,B,A,B,B,A,A,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B
77,M,C,B,A,B,D,D,B,B,A,C,C,A,A,A,B,B,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
78,F,C,B,A,B,C,D,B,B,A,B,B,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,B,B,A,B,A,B
79,F,C,B,A,B,C,D,B,A,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
80,M,C,B,A,B,C,D,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B
81,F,C,B,A,B,C,E,B,B,A,C,D,A,A,A,B,A,A,B,A,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
82,M,C,B,A,B,C,E,B,B,A,C,D,A,B,A,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
83,F,C,D,A,B,D,D,B,B,A,D,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
84,F,C,B,A,B,D,D,B,B,A,C,B,A,B,A,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
85,M,D,B,A,B,C,B,B,B,A,E,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A
