ID,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8
440,C,C,C,B,C,C,C,C
441,B,B,C,C,B,C,B,B
442,C,B,B,B,B,C,C,C
443,D,C,C,C,B,C,B,C
444,B,D,A,A,C,D,A,C
445,B,C,B,B,C,C,B,D
446,A,D,B,B,C,D,B,D
447,B,D,B,A,D,D,B,D
448,A,C,B,B,C,C,B,C
449,C,D,A,A,D,D,A,D
450,A,D,B,A,D,D,C,D
451,A,D,A,A,D,D,A,D
452,B,C,B,B,C,D,B,D
453,C,D,B,B,C,D,A,D
454,B,C,B,B,C,C,B,C
455,C,C,C,C,D,B,C,C
456,B,C,A,B,D,D,A,D
457,B,B,B,B,C,D,B,C
458,A,A,B,D,B,C,B,A
459,D,C,B,B,D,B,C,C
460,C,D,C,C,B,D,C,D
461,A,C,C,C,D,C,D,C
462,B,C,B,C,B,C,B,D
463,B,D,B,B,C,D,B,D
464,B,D,B,B,C,D,B,D
465,C,A,C,C,A,A,D,A
466,B,C,A,A,C,D,B,D
467,C,D,B,B,D,D,B,D
468,A,C,C,A,C,C,A,C
469,C,B,B,B,C,C,B,D
470,A,D,B,A,D,D,B,D
471,D,A,A,A,A,A,B,B
472,A,B,A,B,A,B,C,C
473,A,A,A,A,A,A,A,A
474,B,B,B,B,B,B,B,B
475,C,C,C,C,C,C,B,C
476,D,D,D,A,D,D,C,D
477,A,C,B,B,D,D,B,D
478,A,A,B,A,C,A,B,B
479,A,C,A,A,C,C,A,D
480,A,A,D,D,A,A,D,A
481,B,D,C,B,D,C,B,C
482,A,,C,C,B,D,D,D
483,D,C,D,C,D,A,A,D
484,C,C,B,C,B,D,C,B
485,C,C,B,B,C,C,C,C
486,D,C,B,B,A,C,C,D
487,A,D,B,A,B,B,B,D
488,B,B,A,A,B,B,B,B
489,A,D,B,B,D,D,C,D
490,,,,,,,,
491,,,,,,,,
492,C,C,B,B,C,C,B,C
493,C,C,,D,C,C,D,C
494,A,C,B,C,C,C,B,C
495,B,C,C,B,C,C,B,C
496,B,B,A,B,B,B,B,B
497,C,C,C,C,C,C,C,C
498,C,B,C,C,B,B,B,B
499,B,C,A,B,A,C,C,C
500,B,D,B,B,C,C,C,C
501,C,C,C,C,C,C,C,C
502,B,C,D,A,C,D,B,D
503,C,C,A,B,C,D,B,C
504,B,C,B,B,C,B,C,C
505,C,C,B,B,C,C,B,C
506,D,C,B,B,B,A,B,C
507,C,B,A,B,C,D,D,D
508,C,B,C,C,B,C,C,C
509,C,B,C,B,B,C,C,C
510,C,C,A,A,D,D,A,D
511,C,C,B,B,C,C,B,C
512,C,C,C,B,C,C,B,C
513,C,C,B,B,D,D,B,C
514,B,D,B,D,D,C,D,D
515,A,D,B,B,C,C,A,C
516,A,D,A,B,D,D,A,D
517,A,A,C,A,C,B,D,A
518,C,D,B,C,C,D,C,D
519,D,C,C,B,C,C,C,D
520,A,D,B,A,D,C,A,D
521,B,A,A,B,A,B,A,A
522,C,C,A,A,D,D,A,D
523,C,C,B,B,B,B,B,C
524,B,A,C,C,B,D,C,C
525,C,C,C,C,C,C,B,C
526,C,C,B,C,C,B,D,C
527,C,C,C,C,C,B,C,B
528,C,B,A,B,C,D,D,D
529,C,C,C,A,C,C,D,C
530,C,B,C,C,B,C,B,C
531,D,C,C,B,B,D,B,C
532,B,C,A,D,C,B,D,C
538,B,D,B,B,C,C,C,D
539,A,C,A,A,D,D,B,D
540,B,C,B,B,C,C,B,C
541,C,B,C,C,C,C,C,C
542,B,C,B,B,B,C,A,C
543,A,B,C,C,C,B,C,D
544,D,D,D,C,C,C,C,D
545,C,A,B,B,C,D,B,D
546,C,A,A,B,B,A,A,A
547,A,C,B,A,D,C,A,C
548,A,C,B,A,B,D,A,D
549,C,B,C,B,D,B,D,D
550,C,B,B,B,B,A,A,A
551,A,C,B,A,D,D,A,C
552,C,C,B,B,D,C,B,B
553,C,C,B,C,C,D,B,C
554,C,B,B,C,B,B,B,C
555,D,C,A,C,C,A,D,B
556,A,D,A,C,D,D,A,A
557,C,C,B,B,C,C,D,A
558,C,C,C,D,C,C,C,C
563,C,B,C,C,B,C,C,C
564,D,D,C,A,D,D,B,D
565,C,C,B,B,C,C,B,D
566,D,B,D,D,A,B,D,A
567,A,B,A,B,C,C,A,A
568,B,C,B,A,C,C,A,C
569,D,C,B,B,C,D,C,C
570,,,,,,,,
571,A,D,C,A,D,B,A,C
572,B,C,A,D,B,A,C,D
573,C,C,C,C,C,C,C,C
574,B,C,D,D,C,B,A,A
575,A,C,C,A,C,A,B,C
576,B,B,B,A,B,D,C,D
577,A,C,A,B,A,A,B,C
578,B,B,B,B,B,B,B,B
579,A,B,B,B,B,B,B,B
580,B,C,B,B,C,D,B,D
581,D,D,D,D,D,D,D,D
582,C,D,B,B,D,A,C,B
583,C,D,B,B,D,C,B,D
584,A,A,B,A,A,A,B,A
585,C,C,B,B,C,D,C,D
586,D,C,C,B,D,D,A,C
588,C,C,B,C,D,D,C,D
589,C,C,B,B,B,B,C,D
590,A,A,A,A,A,A,B,A
591,C,C,C,B,B,D,C,C
592,C,C,C,B,C,C,C,C
593,B,C,B,B,C,B,C,C
594,A,C,A,A,D,D,A,D
595,C,D,B,C,C,D,B,D
597,C,C,C,B,D,C,B,C
598,B,C,B,B,C,C,C,C
599,D,C,C,A,C,C,B,C
600,C,C,C,A,D,C,C,B
601,C,C,C,C,C,D,C,D
602,D,C,A,B,B,C,C,C
603,C,C,B,B,C,C,B,C
604,B,B,D,C,B,B,C,D
605,D,B,B,C,B,C,A,B
606,A,D,B,A,D,D,B,D
607,A,D,A,A,B,A,C,D
613,D,C,B,A,C,D,A,C
614,D,C,D,B,C,B,B,C
615,A,B,C,C,B,C,C,B
616,B,A,C,B,B,C,B,B
617,D,C,D,C,C,C,D,D
618,A,B,A,D,B,C,A,B
619,B,C,D,A,B,C,D,C
620,C,C,B,B,C,D,B,B
621,B,C,D,B,B,C,B,D
622,B,C,B,D,A,A,D,B
623,B,C,B,B,C,C,B,C
624,A,C,B,B,D,C,C,D
625,C,C,C,B,C,A,C,C
626,B,C,B,A,C,B,A,C
627,C,C,D,C,C,C,A,C
628,D,C,C,B,C,C,C,B
629,C,C,C,C,B,B,C,D
630,D,D,C,A,D,,A,D
631,B,B,A,A,C,C,C,C
632,B,C,C,B,D,D,B,C
633,A,B,B,B,C,C,C,D
634,D,D,C,D,C,D,D,D
635,A,A,A,D,A,A,C,A
638,A,A,B,A,C,B,A,A
641,B,D,B,A,D,D,B,D
642,C,D,D,B,A,D,B,C
643,,,,,,,,
644,A,B,C,C,C,C,B,B
645,B,C,A,A,D,C,C,D
646,C,C,B,B,C,C,B,D
647,C,D,C,A,D,C,A,D
648,C,C,B,B,D,B,D,D
655,D,C,C,B,C,C,C,C
658,C,C,C,,B,C,B,B
660,,,,,,,,
663,C,C,D,C,D,D,B,B
664,B,C,C,B,C,C,B,C
665,D,D,C,D,D,C,D,D
666,D,C,D,B,D,D,C,B
667,A,D,D,A,D,D,A,D
668,C,A,B,C,B,B,A,C
669,C,B,A,A,D,,C,C
670,B,D,D,B,D,D,D,D
671,A,C,A,A,D,D,B,D
672,C,C,D,B,B,D,B,C
673,B,C,B,B,C,C,B,C
674,A,B,C,D,C,C,A,C
675,B,D,D,D,C,D,,*
676,C,B,D,B,A,C,B,D
677,B,C,A,B,D,C,A,D
678,B,C,C,C,C,C,C,C
679,D,C,C,C,C,B,C,C
680,C,C,C,A,C,B,A,C
681,A,B,B,C,C,C,B,C
682,A,B,A,A,B,D,C,A
683,B,B,C,A,A,D,B,A
684,C,C,B,B,C,D,B,D
685,B,C,B,B,C,C,B,C
688,C,C,C,C,C,C,C,C
689,D,D,D,D,A,A,A,D
690,B,D,A,A,D,D,A,D
691,C,C,B,C,C,C,C,D
692,C,B,C,B,B,C,B,D
693,B,C,B,B,C,C,B,C
694,C,B,A,A,A,A,A,A
695,A,A,B,C,C,C,B,C
696,D,C,B,C,C,D,A,A
697,C,D,C,B,C,D,B,C
698,D,C,D,C,D,D,B,D
699,C,D,B,C,D,D,C,D
700,C,C,B,C,D,C,B,C
701,C,C,C,C,B,C,C,C
702,C,C,C,C,C,C,C,C
703,A,A,C,C,A,A,A,A
704,C,B,A,B,B,A,D,A
705,C,C,B,B,C,B,B,C
706,C,C,D,C,C,D,B,C
707,C,B,C,B,B,B,C,C
708,B,C,B,C,D,D,B,D
712,C,B,C,B,B,C,B,C
713,A,C,B,B,C,C,B,B
714,B,C,B,C,D,C,B,B
715,D,C,D,C,D,C,D,B
716,A,B,A,A,C,C,A,B
717,D,D,B,B,D,D,B,C
718,C,C,B,C,C,B,B,C
719,B,B,B,C,C,B,B,C
720,C,C,C,C,C,C,C,C
721,C,C,B,C,B,B,B,D
722,A,A,,A,A,A,A,D
723,C,C,C,B,A,C,C,A
724,A,B,A,A,C,C,A,B
725,A,C,B,D,A,C,B,D
726,A,C,C,B,B,B,B,A
727,A,D,A,D,D,D,A,D
728,B,C,C,C,D,C,B,B
729,C,D,B,A,D,D,C,D
