,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
216,D,A,D,D,D,D,A,A,D,D,D,D,D,A,A,A,A,A,A,A,D,A,D,D,D,D,A,A,D,D,D,D,D,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
217,C,D,D,B,B,C,D,C,C,C,C,C,B,C,D,C,A,A,B,A,C,D,D,C,B,C,D,D,C,C,B,C,C,D,C,C,A,A,C,A,C,C,B,C,C,C,B,B,D,D,C,C,D,B,D,B,D,D,D,D
218,D,A,C,C,C,C,B,C,B,C,B,C,C,A,A,B,D,D,C,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,D,C,C,B,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,A,B,B,B
219,D,C,D,D,D,D,B,C,D,C,D,C,D,A,B,C,D,D,C,B,D,B,D,D,D,D,B,B,C,B,D,B,D,A,B,B,B,C,C,B,C,D,C,B,B,C,D,D,C,A,B,B,B,D,A,A,B,C,C,D
220,D,B,C,D,C,D,D,D,C,C,D,D,C,D,C,D,C,A,C,D,C,B,D,B,C,C,C,C,B,B,B,C,B,C,B,C,B,C,B,C,B,B,C,D,B,C,B,C,B,C,B,C,B,C,B,C,B,C,B,C
221,A,B,B,B,B,C,C,B,D,B,A,C,B,A,C,C,A,B,A,C,B,A,C,A,B,C,C,B,B,C,B,C,C,B,B,B,C,B,C,C,B,C,C,B,C,B,B,B,B,C,C,B,C,B,B,C,C,B,A,C
222,B,C,D,A,A,D,C,B,D,C,B,C,B,C,B,C,D,A,A,B,B,B,D,B,B,D,D,B,D,C,A,B,A,A,B,C,D,A,A,A,A,B,B,B,B,C,A,A,C,C,C,B,B,C,A,A,B,D,D,D
223,C,A,D,B,A,B,C,B,B,A,A,A,A,A,B,A,D,A,A,A,B,A,D,A,A,C,A,A,C,A,A,B,A,A,A,A,D,A,A,A,A,D,B,D,D,B,C,D,C,C,D,D,D,D,D,D,B,D,D,D
224,D,B,C,C,B,B,C,A,D,D,C,D,C,B,C,A,C,A,A,D,D,A,B,C,C,D,C,A,D,C,D,A,D,A,A,D,,A,A,B,B,C,A,A,A,B,B,A,D,C,B,B,B,D,C,A,D,D,D,D
225,D,C,D,C,B,D,C,A,D,D,C,D,C,A,D,A,C,A,A,A,D,A,D,C,C,D,C,A,D,D,C,D,D,A,C,A,D,A,A,A,B,C,B,C,C,B,C,C,C,B,B,B,C,D,B,A,C,B,D,D
226,B,A,C,C,A,C,C,A,C,C,B,C,C,B,B,C,A,A,A,A,B,B,C,C,C,C,B,B,C,C,B,B,B,B,B,B,A,A,A,A,B,B,C,B,B,C,A,B,C,C,C,C,D,B,C,B,D,D,D,C
227,D,A,B,A,A,D,C,A,D,C,A,B,A,A,B,A,A,A,B,A,A,B,A,A,A,A,B,B,A,B,A,B,A,A,B,B,A,A,B,A,A,C,A,C,D,A,B,B,A,C,C,B,D,D,C,B,D,C,C,D
228,D,A,C,D,D,D,D,A,D,D,D,D,D,A,D,A,A,B,C,B,D,A,B,D,D,D,C,A,D,C,D,D,D,A,D,A,A,B,D,A,B,D,B,B,A,B,D,D,D,D,D,D,B,D,D,D,D,B,D,D
229,C,C,C,C,B,C,C,C,C,C,C,C,C,A,B,C,A,D,D,B,C,C,C,B,B,C,B,C,C,C,B,C,C,A,C,C,C,C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
230,C,B,C,C,C,C,C,B,A,B,B,A,B,A,B,B,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,A,C,B,B,B,B,B,C,B,B,B,B,B,B,C,B,C,B,B,C
231,B,B,C,B,A,B,B,B,B,C,A,B,A,B,B,A,B,A,B,A,B,C,B,B,A,C,A,D,A,B,A,B,A,B,B,A,B,C,D,A,B,C,B,D,A,B,A,C,D,C,D,B,D,D,C,C,D,C,C,C
232,C,B,B,A,B,B,A,A,B,C,A,C,A,C,B,B,B,A,B,C,C,A,B,A,A,B,A,A,C,B,A,B,A,B,B,B,C,A,B,C,A,C,A,A,A,A,A,D,B,B,A,A,A,B,A,C,C,A,B,A
233,B,D,B,A,B,C,B,D,C,D,C,C,B,A,C,D,A,A,A,C,A,D,B,B,B,D,C,D,D,D,C,C,D,A,B,D,A,A,A,D,A,B,A,C,C,A,C,D,A,D,D,C,D,D,C,D,D,D,D,D
234,B,B,D,B,A,D,A,A,B,A,A,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
235,B,B,B,C,B,C,C,C,C,B,C,B,B,A,B,B,C,A,B,A,B,C,C,B,C,C,B,B,C,B,A,A,B,B,B,C,A,A,B,A,A,B,B,C,A,B,A,B,C,B,C,B,C,B,D,A,B,D,D,D
236,C,C,D,B,B,D,C,C,C,C,B,B,C,B,C,B,B,B,B,A,C,B,C,B,B,C,B,B,C,A,A,B,A,A,A,B,A,B,A,A,A,B,A,B,C,A,A,B,C,C,C,A,C,C,C,A,D,C,D,C
237,B,B,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,A,B,A,C,A,B,C,B,B,B,A,B,C,B,B
238,C,A,B,A,A,C,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A
239,C,C,C,C,B,C,B,C,C,C,C,B,C,C,C,C,B,C,C,A,B,B,B,B,A,B,B,B,A,B,B,A,B,B,B,B,A,B,B,B,B,D,A,A,A,A,B,D,D,A,A,B,D,D,A,B,D,D,D,D
240,B,B,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
241,B,B,B,C,A,B,C,B,C,C,A,C,B,B,B,C,A,B,B,B,B,B,A,A,A,B,C,B,B,B,A,C,A,B,B,C,B,B,C,A,A,C,A,C,D,A,C,D,B,C,D,D,D,D,C,C,D,C,D,D
242,C,C,C,B,B,C,B,B,D,C,C,C,C,A,C,C,A,C,B,A,B,C,C,C,C,B,B,C,D,C,B,B,B,B,B,B,C,C,B,C,B,C,B,B,B,B,B,B,C,B,A,A,B,B,B,C,C,C,A,C
243,B,B,C,A,B,C,B,B,B,C,B,C,B,B,B,B,A,A,B,B,C,C,C,B,C,A,A,B,B,C,A,C,B,A,B,C,A,A,A,A,A,C,A,C,C,B,D,D,D,D,C,C,C,D,D,D,D,D,D,D
244,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,D,D,C,C,B,D,C,C,C,D,D,D,D,C,C,C,C,D
245,C,C,C,B,A,B,B,B,B,B,B,B,A,A,B,B,A,A,A,B,C,B,C,B,A,B,B,B,B,C,A,B,A,A,B,B,A,A,A,A,B,C,B,C,D,C,C,C,C,C,C,C,C,C,C,B,D,D,D,D
246,B,B,B,C,C,C,B,B,C,C,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,D,D,C,C,C,D,D,D,D
247,C,C,A,B,C,C,B,C,B,C,B,C,A,A,A,A,A,A,A,A,B,C,B,C,B,A,B,B,C,D,B,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,B,B,A,B,A,C,B,B,C,C,C,C,C,C
248,C,C,A,B,A,B,B,B,D,C,B,B,B,B,C,B,C,B,A,B,C,A,A,B,B,B,B,B,D,C,B,B,B,B,B,B,B,D,B,A,B,A,B,D,D,D,A,B,B,A,B,B,D,A,B,B,D,B,D,D
249,A,A,C,A,A,,B,A,A,A,A,C,B,C,B,A,B,A,D,B,A,A,C,A,A,B,A,B,A,A,A,C,A,B,D,B,A,C,A,D,A,A,B,C,A,C,A,C,A,B,A,D,A,,B,C,B,D,D,D
250,B,B,B,B,A,B,A,A,B,D,A,D,D,B,A,A,A,A,A,A,,,A,A,A,A,A,A,A,C,A,C,C,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,C,C,C,C
251,C,A,C,A,A,D,C,A,C,A,C,D,B,B,B,A,B,A,C,B,C,A,D,A,B,D,B,A,C,A,A,C,B,B,B,A,B,A,D,C,A,A,B,C,D,B,A,B,D,B,B,B,D,B,B,B,B,D,D,D
252,C,B,B,B,C,A,A,A,C,B,C,B,C,B,B,A,A,A,B,B,B,A,B,B,B,A,B,A,B,A,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,A
253,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,B,C,B,B,B,B,B,B,C,B,B,B,B,B,B,B,C,D,C,C
254,C,A,C,B,B,B,C,A,C,D,A,B,C,A,B,C,B,B,B,C,A,A,C,B,A,B,C,B,A,B,C,C,C,B,A,C,B,B,C,A,C,B,C,A,B,B,A,C,A,A,B,B,C,A,A,B,C,B,A,C
255,A,A,A,A,A,,A,,A,A,A,A,,A,,A,,A,A,,,,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
256,B,B,C,C,A,D,C,A,C,C,B,A,B,B,C,A,A,A,A,A,C,B,C,B,A,C,B,B,C,C,A,A,B,A,B,A,B,A,A,A,A,B,C,A,A,C,B,C,C,B,B,B,C,B,A,B,C,A,A,A
257,C,B,C,A,C,D,D,C,D,C,A,A,B,A,C,B,C,C,D,,A,A,A,B,A,B,C,B,D,C,C,D,D,C,B,C,A,A,A,A,B,C,B,A,B,C,C,C,B,C,A,C,B,C,D,C,D,B,D,B
258,D,C,C,A,A,A,A,B,A,D,A,A,A,B,,C,A,B,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,D,C,D,B,D,D,D,D,D,D,D,D,D,D
259,B,D,B,B,C,B,B,B,B,C,B,C,C,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
260,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
261,D,B,B,D,D,B,B,B,B,C,C,A,D,A,B,C,A,A,A,C,B,A,A,D,D,B,A,C,C,C,D,A,D,A,A,D,C,A,A,D,D,D,D,C,C,D,D,D,D,D,C,D,C,D,D,A,D,D,D,C
262,B,C,C,B,B,B,B,C,B,C,A,B,B,A,C,B,A,A,A,A,B,B,C,C,B,B,B,B,B,C,A,A,A,A,B,B,A,A,A,A,B,C,B,C,B,B,B,C,C,B,B,C,C,D,C,B,D,D,D,D
263,C,A,B,D,C,A,B,B,C,C,C,B,C,A,B,A,A,B,B,C,C,A,C,D,D,C,A,B,C,B,D,B,C,A,B,A,A,C,C,C,A,D,A,C,C,A,C,C,C,D,B,B,C,D,C,C,D,B,B,B
264,B,A,D,A,B,A,A,B,C,A,B,A,A,A,A,A,A,A,A,A,B,A,C,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C,C,D,C,C,B,C,D,C,D,C,D,D,C,C,C,C
265,C,B,D,B,B,C,B,B,C,B,A,B,B,A,B,A,A,A,A,B,C,A,D,B,B,C,B,B,C,B,A,B,B,A,B,A,A,A,A,B,B,A,B,D,D,B,C,C,C,C,D,C,D,C,C,C,D,D,D,D
266,B,B,B,B,B,B,B,B,*,C,C,B,B,B,C,B,A,A,A,A,C,C,B,D,D,C,C,C,B,B,D,D,D,B,B,D,D,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
267,B,A,B,A,A,B,B,B,C,C,A,C,A,B,B,B,C,A,C,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C
268,D,A,C,D,D,D,C,C,C,B,B,C,D,A,A,A,B,A,A,B,D,A,D,D,C,D,B,B,D,B,C,B,C,A,B,B,A,A,A,A,B,C,B,B,C,B,C,C,D,D,B,B,C,D,D,D,D,D,D,D
269,C,B,C,A,A,C,C,B,D,D,A,C,A,B,C,A,A,A,A,A,,,B,C,B,A,A,B,B,B,A,C,A,A,C,B,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,C,B,B,B,A,C,D,D,D
270,C,A,B,C,B,D,C,A,C,D,B,C,D,B,C,A,B,B,B,A,C,D,D,D,C,D,D,C,C,D,D,C,D,B,D,C,C,D,A,D,B,D,A,D,B,B,C,D,B,D,B,B,B,D,D,A,D,B,B,B
271,D,B,C,D,C,D,D,B,D,C,D,D,D,A,B,B,A,A,C,B,B,A,B,C,B,A,A,A,A,A,C,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,B,D,B,B,C
272,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
273,C,C,C,C,C,C,C,D,C,D,C,D,C,B,C,D,B,A,A,A,A,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
274,A,D,C,D,B,C,D,C,B,C,B,A,B,B,C,D,D,C,B,A,B,C,A,B,C,D,B,A,B,C,B,C,B,A,B,C,A,B,A,C,B,A,A,C,A,D,C,B,A,D,B,A,A,B,A,C,A,B,C,D
275,D,C,B,C,A,B,B,A,A,B,A,B,C,B,B,C,D,D,C,A,C,D,A,B,D,B,A,A,A,C,A,A,A,A,C,C,B,D,A,B,A,D,B,C,B,D,A,B,C,B,D,B,C,A,A,B,C,B,D,A
276,C,B,B,C,D,C,D,B,D,C,B,D,C,B,C,B,C,,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A
277,A,B,A,C,D,B,C,B,C,D,A,C,B,D,A,C,B,D,B,D,D,B,C,A,C,D,B,C,D,A,C,C,A,D,B,C,D,B,C,D,A,C,A,C,B,D,A,C,B,A,A,C,A,D,B,A,C,B,D,C
278,C,B,C,C,B,C,C,A,B,C,B,B,C,B,C,B,B,C,C,B,B,A,C,B,A,C,B,A,B,B,B,A,C,B,B,A,B,C,C,B,A,C,B,B,B,A,B,C,C,B,A,A,B,B,B,B,C,C,D,C
279,B,B,C,C,A,C,C,B,B,C,B,B,A,B,B,B,A,C,A,A,A,B,A,B,A,B,B,B,B,C,A,A,A,B,B,B,A,B,A,A,B,C,B,B,B,B,C,C,C,C,B,B,B,B,B,D,C,C,C,C
280,C,D,C,B,B,C,D,D,B,B,B,B,B,A,A,B,C,A,A,B,C,D,C,A,A,B,B,D,A,A,B,C,C,B,B,B,D,A,A,A,B,D,C,C,C,C,D,D,C,C,C,B,C,D,C,C,B,D,D,D
281,D,B,D,D,D,C,D,B,B,C,D,B,C,A,A,A,A,A,B,B,,,A,B,C,B,C,B,D,D,D,D,D,D,B,B,C,B,C,B,C,B,C,B,B,A,B,B,A,B,C,C,B,D,B,C,D,D,D,D
282,B,A,B,C,C,B,B,B,B,B,D,B,D,A,B,A,A,C,A,A,A,A,A,B,B,A,A,A,B,B,B,B,B,A,B,B,C,C,B,A,B,B,B,B,B,B,C,B,B,B,B,B,B,D,B,B,D,D,D,D
283,B,A,C,A,A,B,B,B,B,B,B,B,A,A,B,A,A,C,A,B,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,D,D,D,A,A,D,B,A,A,B,A,D,D,D,C,A,B,D,C,B,B,B,B,B
284,B,C,C,C,B,C,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B
285,A,B,D,B,A,C,B,C,A,B,D,A,C,B,B,D,A,C,B,D,A,C,B,C,B,D,B,B,C,B,D,B,C,D,B,A,C,B,C,A,D,B,C,A,C,A,D,B,A,D,C,C,A,C,A,D,C,B,A,D
286,C,B,B,B,C,A,C,B,C,C,C,B,D,C,B,C,B,A,B,B,C,B,C,B,A,C,B,B,C,C,B,B,C,A,C,B,B,A,B,B,C,D,D,D,C,D,C,D,D,D,D,D,D,D,C,D,D,D,D,D
287,D,C,D,B,B,C,C,C,C,C,B,C,A,B,B,C,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
288,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D
289,A,A,A,A,A,B,A,A,C,B,A,C,C,A,B,A,A,A,A,A,C,B,D,A,A,C,B,B,C,B,A,D,A,A,C,C,A,A,A,A,A,C,B,C,D,A,A,A,B,C,D,A,C,D,D,D,D,D,D,D
290,C,A,D,B,B,D,B,B,D,B,B,D,B,B,D,B,C,A,A,B,B,B,D,A,A,D,B,B,D,C,A,C,A,A,C,B,B,A,A,A,B,C,A,D,D,B,C,C,B,C,D,C,D,D,C,C,D,D,D,D
291,D,A,D,D,D,D,D,A,C,C,B,B,A,D,A,A,D,D,A,,,,D,A,D,D,A,C,A,A,C,C,A,A,A,D,C,A,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
292,A,C,A,C,D,A,C,D,A,C,D,C,D,D,D,D,D,D,D,,,,D,A,D,D,A,C,A,A,C,A,A,A,A,D,C,A,A,A,A,D,A,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C
293,C,A,B,B,B,B,A,A,C,C,A,A,A,A,A,A,D,A,C,B,,,C,A,A,A,A,A,A,A,A,A,A,A,A,A,D,,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
294,C,*,B,B,B,A,A,A,B,A,A,A,B,A,A,A,D,A,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B
295,B,A,C,B,A,B,C,A,C,C,B,C,C,A,C,A,C,D,D,C,B,A,C,A,A,B,B,B,C,A,A,B,C,A,A,A,D,D,D,C,C,D,B,D,C,C,D,D,D,D,D,C,D,D,D,D,B,C,C,D
296,C,A,C,B,A,C,A,B,C,B,B,B,B,A,C,A,A,B,A,B,C,B,B,B,A,A,B,B,B,A,B,A,B,A,A,A,A,A,B,C,C,B,A,A,B,B,A,A,B,B,C,C,B,C,B,B,B,C,B,C
297,A,B,C,D,C,B,A,C,A,B,D,A,B,C,B,A,C,B,C,A,B,D,A,C,B,C,A,D,B,C,A,C,B,C,A,C,B,D,B,C,A,C,B,A,B,C,B,A,C,A,C,A,D,B,C,A,C,B,A,D
298,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,C,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,D,B,C,B,D,A,D,D,D,A,C,B,D,B,,C,A,D
299,C,A,C,C,C,C,A,A,C,C,B,B,C,B,C,A,A,A,A,A,B,,C,C,C,C,C,C,C,C,B,B,C,B,B,B,A,A,A,A,B,C,B,B,B,B,C,B,B,C,B,B,C,C,B,B,A,A,A,A
300,C,B,C,B,A,B,B,A,A,C,A,B,A,A,B,C,A,D,B,A,B,B,C,B,A,B,A,B,A,B,B,B,A,A,A,A,A,C,B,B,B,C,B,A,A,B,D,D,D,D,D,D,D,D,D,D,D,C,D,D
301,B,C,D,C,C,C,A,C,D,C,B,C,C,D,C,C,D,C,C,B,B,C,D,C,C,D,A,C,D,C,C,C,C,D,C,C,C,C,D,A,B,D,B,C,C,B,B,C,C,C,C,C,C,D,C,C,D,C,D,C
302,D,D,C,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
303,A,B,A,C,B,B,A,A,C,A,C,A,B,A,A,A,B,D,D,D,,,B,B,C,A,A,B,B,C,B,B,D,B,C,B,A,D,C,C,B,C,A,A,A,B,B,B,A,C,B,B,A,C,B,C,D,B,B,A
304,A,A,B,C,C,A,C,A,B,B,B,C,A,A,A,A,C,A,A,C,B,B,B,D,B,B,B,C,B,A,A,A,A,A,B,B,C,C,B,D,D,D,D,D,D,D,B,A,B,A,A,A,D,D,D,C,C,A,A,B
305,C,A,C,B,A,C,C,A,D,B,B,D,C,B,B,A,A,A,C,B,,,B,A,C,C,B,C,B,D,D,D,C,B,D,A,D,B,C,B,B,D,C,D,D,A,C,D,D,C,D,D,D,D,D,D,D,D,D,D
306,B,A,B,B,C,B,B,B,B,C,C,B,B,B,C,A,A,A,C,B,A,A,A,A,B,A,A,A,A,B,A,A,C,A,A,A,B,A,C,B,A,A,B,A,B,A,A,A,B,B,B,B,B,B,A,B,B,B,C,B
307,B,C,D,A,A,D,C,A,A,C,A,C,C,C,B,B,D,B,A,B,C,B,A,A,B,B,B,A,A,B,A,B,A,C,D,C,A,D,B,D,B,A,A,C,B,A,B,C,B,B,D,C,B,B,A,C,B,D,B,A
308,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,B,B,B,B,B,B,A,D,D,D,D
309,A,B,A,C,A,C,C,C,A,C,C,B,B,C,D,A,A,A,A,A,B,B,A,B,C,D,C,B,A,A,A,B,C,C,C,C,A,A,B,A,B,B,A,B,B,A,C,C,A,A,B,B,A,C,B,D,B,C,D,C
310,A,B,C,D,D,D,D,D,B,C,C,A,A,B,C,C,C,A,D,A,A,A,A,B,C,C,C,C,A,A,B,C,D,C,B,A,B,C,A,C,A,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,D,
311,C,D,D,D,C,B,B,B,C,C,C,D,D,D,D,D,C,C,B,C,D,D,C,C,C,C,C,D,C,C,D,C,B,C,C,C,C,D,D,D,D,C,B,B,B,B,C,C,B,C,C,C,B,B,C,C,D,C,C,B
312,D,B,C,B,D,D,C,B,D,D,D,D,D,B,D,D,B,A,A,C,C,D,A,D,D,D,D,D,D,D,D,D,D,A,D,D,D,C,A,D,A,D,B,D,D,A,D,D,C,D,D,D,D,D,D,D,D,D,D,D
313,D,C,C,C,B,C,C,C,D,C,C,C,C,B,C,C,A,A,A,A,D,C,C,B,B,C,B,B,C,B,B,B,B,A,B,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,D,D,D
314,C,A,D,B,A,D,A,A,C,D,A,C,B,B,C,D,A,A,A,B,C,A,D,A,A,D,A,A,C,B,A,D,B,A,C,D,D,A,A,C,A,D,A,D,D,A,D,D,D,D,D,D,C,A,D,A,C,D,D,D
315,C,C,C,C,C,C,A,C,C,C,C,D,C,C,C,C,C,C,C,C,,,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
316,B,B,C,D,B,B,C,B,B,C,C,B,D,A,B,B,C,A,A,A,B,B,C,C,B,B,B,B,B,B,C,B,C,A,B,B,C,A,A,A,B,D,B,C,C,C,B,C,B,B,C,B,B,B,B,B,C,D,D,D
317,C,A,C,B,B,C,C,B,C,C,B,C,C,B,C,C,A,A,A,A,D,,D,A,A,D,A,A,D,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,D,C,C,C,C,C,D,,C,D,C,C,D,D,D,D
318,C,B,D,D,B,C,B,A,C,D,B,C,B,C,D,C,A,A,A,A,,,C,C,B,C,D,B,C,B,D,D,B,B,C,C,C,C,D,C,B,C,C,C,C,B,C,C,B,B,B,B,C,C,C,B,C,C,B,C
319,B,A,B,C,A,C,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,C,A,A,C,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,D,A,D,D,A,D,D,B,D,D,D,D,D,D,D,D,D,D,D
320,C,C,C,B,B,C,C,C,B,C,C,C,B,B,C,C,B,C,B,B,B,B,B,B,B,B,C,C,B,B,B,C,B,A,B,C,B,C,B,B,B,B,B,B,B,B,C,C,B,B,B,C,B,A,B,C,B,C,B,B
321,C,B,C,D,D,C,C,B,D,C,A,B,C,C,B,C,C,B,D,D,C,C,C,B,B,C,C,B,C,B,B,B,C,D,B,C,D,B,D,B,A,C,A,A,B,A,B,B,A,C,B,C,B,B,B,C,D,B,C,D
322,C,A,A,A,A,B,B,A,B,C,A,A,A,B,B,A,A,A,A,A,A,A,A,A,,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,D,C,D,D,B,D,D,B,D,D,D,D,D,D,D,D,D,D,D
323,C,B,C,C,A,C,B,B,C,C,A,C,A,C,C,B,C,A,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,D,C
324,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,,,B,A,B,A,A,B,A,A,A,A,B,A,A,B,A,A,A,A,B,D,B,B,C,C,B,D,D,D,C,B,C,D,C,C,D,D,D,C
325,C,B,D,B,B,D,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,C,B,B,C,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C
326,B,B,C,B,B,C,B,B,B,C,A,B,C,A,B,B,A,A,A,,B,B,C,B,B,C,B,C,C,B,B,B,C,,B,B,A,A,A,,C,C,B,B,B,C,B,C,D,B,B,B,B,D,B,B,D,,D,D
328,C,B,B,C,B,B,C,B,B,C,C,C,C,B,B,B,A,A,A,A,B,B,B,B,B,B,B,B,C,B,C,C,C,B,B,B,A,A,A,A,A,B,C,B,C,C,B,B,C,C,C,C,C,C,C,B,D,D,D,D
