,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
37,C,A,C,A,A,B,D,B,C,D,A,D,A,A,D,B,A,A,A,B,B,B,C,A,A,A,D,D,A,C,A,C,A,A,D,C,A,A,A,B,A,D,B,C,D,D,D,D,D,D,B,D,B,B,D,D,D,D,D,D
38,D,C,D,A,B,B,D,C,C,D,A,C,C,A,D,D,A,A,A,A,D,C,D,A,B,B,C,C,C,D,A,C,B,B,C,C,C,A,A,B,B,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
39,C,B,D,C,A,C,B,A,C,C,B,B,B,B,A,A,A,A,A,A,B,C,C,B,B,A,B,C,A,B,B,B,C,A,A,B,A,B,A,A,A,B,A,B,B,B,A,B,B,B,B,A,B,B,B,A,B,C,C,C
40,D,B,D,B,B,D,B,A,C,C,A,A,A,A,B,A,A,A,A,A,A,A,C,A,B,C,A,A,C,B,A,A,A,A,A,A,A,A,A,A,A,C,A,C,C,A,B,B,B,B,B,B,C,B,B,A,C,D,D,D
41,C,B,D,B,C,D,C,C,C,B,B,C,B,B,B,B,A,A,B,B,D,C,D,C,B,C,B,B,C,A,B,C,B,A,B,,B,A,B,B,B,C,B,B,D,B,B,C,D,C,C,C,C,C,B,C,D,D,D,D
42,B,A,B,B,A,C,C,A,B,D,A,C,A,A,D,B,B,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C,A,A,B,A,C,A,A,A,A,D,B,C,C,C,C,D,B,D,D,D,D,D,D,D,D,B,B,B
43,B,C,D,C,C,C,C,C,D,D,C,D,C,B,C,B,C,C,C,A,C,C,D,C,C,D,C,C,D,D,C,C,C,A,C,C,B,C,C,A,B,C,B,B,B,C,D,C,C,D,D,D,D,D,D,D,D,D,D,D
44,B,A,C,C,A,D,B,A,C,D,B,D,C,A,C,A,A,A,A,C,B,A,C,B,B,D,B,A,C,D,C,D,C,A,D,A,A,A,B,B,B,C,A,B,D,C,C,C,D,D,D,D,D,D,D,C,D,D,D,D
45,D,B,D,B,A,D,B,B,B,C,A,B,A,A,A,A,A,A,A,A,D,B,D,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,B,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D
46,D,B,D,A,A,C,A,A,D,D,B,D,C,A,D,B,A,A,A,A,D,B,D,A,A,B,A,B,C,C,B,C,B,A,C,B,A,A,A,A,C,C,A,B,D,B,A,B,D,B,B,B,C,B,B,C,D,D,D,D
47,B,B,C,B,B,B,C,B,B,C,B,C,B,A,C,B,A,A,A,A,A,A,A,A,B,A,B,A,A,B,A,B,A,A,B,A,A,A,A,A,C,C,B,C,C,C,B,C,C,B,C,B,C,C,B,C,C,C,C,C
