,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75
23,C,B,D,A,D,D,D,D,D,D,D,D,A,D,A,D,A,D,A,A,A,A,A,A,A,A,A,A,D,D,D,D,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,,C,A,E,E,A,B,D,D,A,C,A,D,D,D,A,A,C,B,C,F,A,E,E,A,B,D,D,D,C
24,D,A,D,A,C,C,D,D,D,D,D,D,A,D,B,D,B,D,A,B,A,C,A,C,A,D,A,A,A,D,D,D,B,A,D,A,A,B,B,A,A,D,A,A,A,A,,,D,,A,A,D,B,A,B,C,D,A,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,C,C,C,A
25,B,A,E,B,D,D,D,D,D,D,D,D,A,D,A,C,D,C,A,A,B,C,A,B,A,B,B,A,D,B,D,B,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,E,E,A,E,E,A,A,D,B,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,A
26,A,A,D,C,D,D,D,D,D,D,D,D,B,D,A,D,D,B,A,B,A,C,A,B,A,B,A,A,D,B,D,B,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,E,A,A,E,E,A,B,C,D,A,A,B,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,B,A
27,B,A,D,A,D,D,D,D,D,D,D,D,B,C,A,C,B,C,A,A,A,B,A,C,A,C,A,A,D,B,C,C,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,D,A,E,E,A,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,B,A
28,B,B,D,B,D,D,D,D,D,D,D,D,A,C,A,C,A,C,A,A,A,A,A,A,A,A,A,A,C,A,D,A,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,A,A,E,A,A,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,D,A
29,D,C,B,B,D,B,D,A,D,B,D,B,D,C,A,B,D,C,D,A,D,B,A,B,D,B,D,A,C,B,D,B,C,A,C,A,B,B,B,B,C,C,A,B,A,A,,,,,D,A,B,A,B,C,C,B,B,A,A,B,A,A,B,B,B,B,B,A,B,B,B,A,C,C,A,D,A
30,C,B,C,A,D,B,D,B,D,D,D,D,A,C,B,D,C,D,A,A,A,D,A,C,A,D,A,A,D,A,D,A,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,E,A,A,E,E,A,A,D,C,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,D,C
31,C,C,D,B,D,D,D,D,D,D,D,D,B,C,B,C,C,C,B,B,A,B,A,B,A,C,A,A,B,C,C,C,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,E,A,A,E,E,A,C,D,D,A,A,A,A,A,A,B,A,C,B,C,F,A,E,E,E,E,D,D,C,A
32,D,A,B,D,D,A,D,B,D,B,D,D,A,C,B,C,B,C,B,A,A,A,B,A,C,B,B,B,B,B,C,B,B,A,D,A,B,B,A,B,C,C,A,A,A,A,,,D,,C,A,C,A,B,A,D,B,C,B,B,B,B,B,B,A,A,B,B,A,B,B,C,A,A,C,C,C,A
