,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75
170,D,B,D,C,B,B,A,C,D,B,A,C,A,C,A,C,A,C,A,D,B,C,A,C,A,C,B,D,A,B,A,C,B,D,E,B,,A,A,A,A,C,B,D,B,,,,D,,D,A,D,E,B,D,A,C,B,C,B,C,B,A,B,B,A,B,B,C,B,A,A,C,A,C,A,C,A
171,A,C,E,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,D,C,C,C,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,D,C
172,C,A,A,A,D,B,D,C,D,B,D,D,A,B,A,B,A,B,A,A,A,B,A,B,A,B,A,B,C,B,D,C,C,A,F,A,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,A,A,C,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,A,C
173,D,B,C,C,C,B,D,B,D,D,D,D,B,B,C,B,C,C,C,B,B,B,B,B,B,B,B,B,B,C,D,D,C,A,B,A,B,A,B,B,A,D,A,B,A,A,,,D,,D,A,C,A,B,B,C,C,A,A,A,B,B,A,B,A,A,B,B,B,C,B,B,B,B,A,C,B,A
174,D,A,B,B,C,B,A,D,D,D,D,D,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,A,C,D,B,C,,B,,,,B,B,C,A,B,C,C,B,B,C,C,C,B,C,B,B,B,B,B,C,B,B,C,B,D,B,A,C,B
175,,,,,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,B,B,B,B,B,B,B,B,A,D,D,D,A,A,B,B,B,A,A,A,D,C,C,A,A,A,,,,,E,A,C,A,C,A,D,D,D,D,A,A,B,B,B,A,A,B,B,B,C,D,B,B,B,A,A,A,C
176,D,A,B,B,D,D,D,D,D,D,D,D,C,C,C,C,D,C,C,C,B,B,B,B,B,B,B,B,B,A,B,B,B,A,D,A,A,B,B,B,D,B,B,B,B,,B,,,,A,A,E,B,B,D,C,B,B,B,B,B,B,B,B,A,B,B,B,B,C,A,B,B,C,A,B,B,C
177,D,C,C,B,C,C,C,C,C,B,C,D,C,B,C,C,C,D,C,C,C,C,D,D,D,D,D,D,C,D,C,D,D,C,B,C,C,B,B,B,B,C,D,D,C,,,C,,,E,D,D,C,C,D,D,D,D,C,B,C,C,C,B,B,B,A,C,C,B,B,C,C,B,C,A,B,C
178,D,B,B,A,A,A,D,A,D,A,A,D,A,C,A,C,A,C,A,A,A,A,A,A,C,A,A,C,D,A,D,B,D,A,B,A,C,A,A,A,A,E,A,A,A,,,,,E,A,A,C,D,B,B,C,D,A,A,A,A,A,A,B,B,A,B,B,E,B,A,B,A,A,A,A,A,A
179,C,A,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,C,C,C,C,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,C,A,E,E,A,B,B,A,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,C
180,D,A,B,A,D,B,D,B,D,C,D,D,C,C,B,C,C,C,C,B,C,B,B,B,B,B,B,B,C,C,C,C,C,A,B,A,B,B,A,B,B,C,A,B,A,A,,,,,C,A,C,C,B,B,C,B,B,B,B,B,B,A,A,A,B,B,B,B,C,A,B,A,B,C,C,C,C
181,A,A,D,D,D,D,D,D,D,D,D,D,A,C,A,C,A,C,A,A,A,C,A,D,A,D,A,A,A,D,D,D,C,A,F,C,E,B,A,B,D,E,E,E,E,,,,D,,A,A,E,,A,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,A,C
182,A,C,E,B,D,A,A,A,B,A,D,B,C,C,D,A,C,A,B,B,B,B,C,D,C,B,A,B,C,D,B,A,B,D,F,C,C,B,A,B,A,E,D,C,B,A,,,,,A,C,B,E,B,B,A,B,A,C,A,B,C,D,B,A,B,A,C,F,A,E,E,E,C,D,B,D,A
183,C,A,A,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,C,B,C,A,A,B,A,B,B,C,A,A,A,A,,,,,A,A,D,A,A,A,A,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,A,A,A,A,A,A
184,D,A,B,B,C,B,D,B,D,A,D,D,A,B,A,B,A,C,A,A,A,C,A,C,A,C,A,A,D,A,D,B,C,A,C,B,B,B,B,B,B,D,A,A,A,A,,,,,A,A,D,A,B,B,B,B,A,A,A,B,B,A,A,A,A,B,B,C,A,A,A,A,B,A,A,B,A
185,D,A,C,B,D,B,D,B,B,B,D,D,A,C,B,B,B,B,B,B,B,C,B,C,B,C,B,B,B,C,C,C,D,A,C,A,B,B,B,B,A,D,D,D,D,,,,D,,B,B,B,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,B,A,B,A,A,B,A,A,A,A,C
186,D,A,B,B,D,D,D,D,D,D,D,D,B,C,B,C,B,C,B,B,B,C,B,B,B,B,B,B,C,D,D,C,B,B,C,B,D,A,B,B,B,D,A,A,A,,B,,,,E,A,C,A,A,C,D,B,A,A,A,A,A,A,A,A,A,B,B,F,A,E,A,B,B,C,C,A,C
187,D,A,B,B,D,A,D,B,D,B,D,D,D,A,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,B,C,C,C,B,C,A,A,B,B,B,A,C,C,A,A,,,,D,E,E,A,D,A,B,B,D,B,C,B,A,D,B,B,B,A,A,B,B,A,A,E,C,A,A,C,C,C,A
188,D,A,B,B,C,B,D,C,D,D,D,A,C,A,B,A,B,D,A,A,B,A,A,A,A,A,A,A,C,A,A,A,C,A,C,B,B,B,B,B,A,D,A,B,A,A,,,,,C,A,C,A,A,A,C,A,A,B,A,A,B,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,C
189,C,C,C,C,C,B,D,B,C,C,A,C,C,C,A,D,B,C,B,D,B,C,B,C,B,C,B,A,B,B,B,B,C,C,E,C,C,B,B,B,C,C,C,C,D,,,,D,,C,A,D,A,A,D,D,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,C,A,A,C,C,B,C
191,D,A,D,B,B,A,C,A,D,B,D,D,A,A,D,A,D,A,B,D,A,A,B,A,A,A,A,A,C,B,B,C,C,A,D,A,A,B,A,B,A,C,A,A,A,A,,,,,C,A,D,A,A,A,D,D,A,A,A,A,B,A,A,A,A,B,B,A,B,A,A,A,A,A,C,B,C
192,D,A,B,C,C,B,D,B,D,D,D,D,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,C,B,D,B,C,B,C,A,A,B,B,B,A,D,A,A,A,A,,,D,,D,A,D,A,A,A,D,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,C,C,C,A
193,D,C,A,A,B,D,D,D,D,A,D,D,A,D,A,D,A,B,A,A,A,D,A,D,A,D,A,A,A,D,D,D,D,A,C,A,B,B,A,B,A,D,A,A,A,,B,,,,A,A,C,C,B,A,C,D,A,A,D,A,A,A,A,A,A,B,A,B,B,A,A,B,A,A,C,C,A
195,D,B,C,C,C,A,D,A,C,C,C,D,A,B,A,C,D,C,C,B,A,C,A,A,A,C,A,A,A,C,D,C,C,A,C,B,B,B,A,A,A,D,A,B,A,A,,,,E,C,A,C,A,A,C,C,A,A,B,A,A,B,A,A,A,A,B,B,A,A,B,B,A,A,A,C,A,A
196,C,A,C,B,D,D,D,D,D,D,D,D,A,B,A,B,A,B,A,A,B,B,A,B,A,B,A,A,D,B,D,B,C,A,F,C,E,B,A,B,D,E,E,E,E,A,,,D,,B,A,E,E,A,C,C,D,D,D,C,D,D,B,A,A,C,B,C,F,A,E,E,E,E,D,D,C,C
197,D,B,D,D,B,B,D,A,D,B,D,D,A,D,A,D,A,C,A,A,A,A,A,A,A,A,A,A,D,B,D,A,B,A,C,B,D,B,B,B,B,C,A,A,A,,B,,,,A,A,A,C,D,A,D,D,A,C,D,D,D,C,B,B,B,B,A,B,E,B,B,D,D,B,C,D,C
198,A,A,A,A,A,B,A,A,A,A,,C,B,D,D,D,A,A,B,B,B,A,C,B,A,A,A,A,A,C,D,A,A,A,A,B,B,,A,,,A,A,A,A,A,,,,,A,B,A,C,D,D,D,C,D,A,A,A,A,B,B,A,A,B,C,C,,B,A,A,A,A,B,B,C
199,D,A,A,B,A,D,A,D,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,C,D,A,A,B,B,B,A,A,A,A,C,B,B,,B,C,D,,A,A,B,B,D,B,B,B,C,B,D,D,D,B,B,B,B,B,A,E,C,B,D,B,D,A,C,D,C
200,A,A,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,D,A,D,A,D,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,A,E,E,A,D,D,A,A,A,A,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,D,C
201,C,A,B,A,D,A,D,A,D,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,D,B,C,A,B,B,B,A,A,A,A,D,A,A,A,A,,C,,,A,A,B,B,B,A,C,A,A,B,A,A,A,A,A,A,B,B,B,F,A,E,B,A,A,A,A,C,A
202,A,A,D,A,D,D,D,D,D,D,D,D,A,B,A,B,A,C,A,A,A,A,A,A,A,A,A,A,A,D,D,D,B,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,E,E,E,D,B,D,D,A,A,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,B,C
203,D,A,C,C,A,A,D,A,D,D,D,D,A,A,A,C,B,A,A,A,D,D,D,D,D,B,A,A,C,B,D,C,B,A,A,B,C,B,A,B,C,B,B,D,A,,B,,,,C,A,B,B,C,A,B,C,C,C,C,C,C,D,B,B,B,B,A,E,D,C,D,C,C,C,C,D,A
204,B,A,D,A,D,D,D,D,D,D,D,D,A,D,A,A,A,A,A,A,A,D,A,D,A,D,A,A,A,D,D,D,A,A,F,C,E,B,A,B,D,E,E,E,E,,,,,E,A,A,A,A,A,A,A,D,A,A,A,D,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,A,A
205,D,A,*,A,D,C,D,D,D,D,D,D,B,D,B,C,C,C,A,B,A,,A,C,A,C,A,A,B,*,C,,C,A,B,*,C,B,A,B,A,D,A,A,A,A,,,,,A,A,B,B,C,A,B,D,A,A,A,A,A,A,A,B,B,,B,B,D,D,A,A,D,B,C,C,A
206,A,A,D,B,D,D,D,D,D,D,D,D,A,B,A,B,C,A,A,A,A,B,A,B,C,B,B,A,B,B,D,B,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,A,A,E,E,B,B,C,D,A,A,A,B,B,A,A,A,C,B,C,F,E,E,E,E,E,D,D,B,C
207,B,C,A,A,A,B,D,C,A,B,C,B,B,B,C,D,C,B,B,C,C,D,D,C,D,B,B,B,C,A,A,C,,B,C,C,B,B,B,B,B,B,C,C,D,,,,,E,A,C,B,D,B,C,B,A,C,D,B,C,B,D,A,B,A,B,C,E,D,C,B,C,D,D,C,C,C
208,A,A,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,B,B,B,C,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,C,A,D,A,D,D,D,D,D,D,D,D,D,D,A,A,C,B,C,F,E,E,E,E,E,D,A,A,A
209,C,B,B,D,C,C,D,D,D,D,D,D,A,C,A,A,A,C,A,B,A,B,A,B,A,A,A,B,D,A,C,B,A,A,F,C,E,B,B,B,D,E,E,E,E,A,,,D,E,C,A,D,E,A,B,C,B,A,C,A,B,A,B,B,A,C,B,B,F,B,E,E,B,A,D,D,B,A
210,D,A,C,B,D,B,D,D,D,D,D,D,A,D,A,D,A,D,A,A,A,C,A,C,A,C,A,A,C,C,D,A,C,A,B,A,A,B,B,B,A,C,B,A,A,A,,,D,,D,A,D,A,A,A,D,B,A,A,A,C,C,B,B,A,B,B,B,C,B,B,B,A,B,C,C,C,C
211,D,B,A,B,C,B,C,B,C,C,C,C,C,B,C,B,C,C,C,C,C,C,C,C,C,C,C,C,A,D,A,A,B,B,B,B,C,B,B,B,B,B,B,C,A,A,,,,,A,C,A,E,C,D,B,A,C,B,A,B,B,C,B,B,B,B,B,B,C,D,D,A,A,B,A,A,A
212,A,A,D,D,D,B,D,B,D,B,D,D,B,D,B,D,B,B,D,B,B,A,B,B,B,B,B,B,A,D,D,D,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,B,A,E,E,B,B,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,A,A
213,C,A,A,A,D,D,D,D,D,D,D,D,B,D,A,D,A,D,A,A,A,A,A,A,A,A,A,A,A,D,D,D,A,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,D,D,A,A,A,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,A,A
214,D,A,B,C,D,A,D,D,D,D,D,D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,C,B,A,A,B,A,A,B,B,B,B,C,A,A,A,A,,,,,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
215,C,A,B,B,D,D,D,D,D,D,D,D,B,B,B,*,B,C,B,B,C,B,C,B,C,C,B,B,C,C,C,C,C,B,F,C,E,B,B,B,D,E,E,E,E,,,,D,,B,A,E,E,A,B,C,B,B,A,A,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,B,A
216,B,A,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,D,D,B,C,A,F,C,E,B,A,B,D,E,E,E,E,A,B,,,E,A,A,E,E,A,A,A,A,D,A,A,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,D,C
217,B,A,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,B,D,C,B,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,E,E,E,D,D,D,B,A,A,A,B,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,D,A
218,D,C,E,B,D,A,D,A,D,A,D,C,D,A,B,A,D,A,C,C,D,A,D,A,D,A,D,C,D,D,B,D,C,B,A,B,A,B,B,B,A,C,C,D,A,,,C,,,C,B,A,A,D,B,C,D,B,D,D,D,D,D,B,B,B,B,A,E,E,A,D,D,D,C,B,C,C
219,D,C,C,C,D,A,D,D,D,D,D,D,D,B,B,D,D,D,D,D,D,A,B,D,D,D,D,A,B,A,C,D,C,A,D,B,C,B,A,B,B,C,A,D,A,,,,,E,C,A,B,A,B,A,D,C,B,A,B,D,B,A,B,B,B,B,B,D,D,B,C,B,D,B,A,D,C
220,A,B,A,B,C,B,C,A,B,A,C,A,C,D,A,C,B,A,C,B,A,C,B,C,A,B,C,A,C,B,C,B,C,C,B,C,B,A,A,A,B,A,C,C,B,,B,,,,C,B,C,B,A,B,C,B,C,A,B,C,D,C,B,A,C,B,B,B,C,B,C,D,C,B,C,D,B
221,D,C,B,C,B,C,A,C,B,C,D,C,B,B,B,C,C,C,B,B,C,B,C,B,A,B,C,B,C,A,B,C,C,C,C,A,B,A,A,A,B,B,C,A,B,,,C,,,B,C,A,B,C,B,C,B,B,C,B,A,B,C,A,A,B,A,C,A,B,C,B,C,D,B,A,B,C
222,D,A,E,A,B,C,D,C,D,D,D,D,A,B,D,D,B,D,B,A,A,D,A,C,A,D,A,A,B,B,D,C,D,A,B,A,C,B,A,B,A,D,A,A,A,,B,,,,C,A,A,D,C,B,A,D,A,A,C,A,B,B,B,B,B,B,A,A,E,B,B,A,C,B,C,B,C
223,D,A,E,B,B,A,D,B,D,D,D,D,A,B,B,B,B,D,A,B,B,B,B,D,D,D,B,B,B,C,B,B,C,B,C,A,C,A,A,B,A,D,A,A,A,,,,,E,A,A,A,B,D,B,A,D,A,A,B,A,A,A,B,B,A,B,A,A,E,A,A,A,C,B,B,B,C
224,D,A,A,B,B,A,D,A,D,D,D,B,A,A,A,A,D,C,A,A,A,A,A,A,A,A,A,A,D,C,D,C,C,A,C,A,B,B,A,B,A,D,A,A,A,,,C,,,A,B,B,D,C,B,D,A,A,A,A,A,C,A,A,B,A,B,A,E,C,A,A,C,B,A,C,C,C
225,D,A,A,B,B,A,D,A,D,D,D,C,A,A,A,A,D,C,A,A,A,A,A,A,A,A,A,A,D,B,D,B,C,A,B,A,B,B,A,B,A,D,A,A,A,,B,,,,A,B,B,D,C,A,C,A,A,A,A,A,C,A,A,B,A,B,A,E,C,A,A,C,B,A,C,C,C
226,B,A,B,A,D,D,D,D,D,D,D,D,B,D,B,C,C,C,B,B,A,B,A,B,B,B,A,A,C,C,D,C,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,B,D,C,A,A,B,A,A,A,A,A,C,B,C,F,E,E,E,E,E,D,D,C,C
227,D,A,D,B,D,D,D,D,D,D,D,D,A,D,B,D,D,D,C,C,A,D,A,D,D,D,D,A,A,C,D,C,C,A,B,A,B,B,A,B,A,D,A,A,A,A,,,D,E,A,A,C,A,A,C,B,D,A,A,A,A,A,A,A,A,A,B,B,A,C,A,B,A,A,C,C,C,A
228,D,B,B,A,C,B,D,B,D,D,D,D,A,C,A,C,D,D,A,A,A,C,A,C,A,D,A,A,D,A,D,B,B,A,C,A,A,B,A,B,A,D,A,A,A,,,,D,,B,A,D,D,A,A,B,C,A,A,D,A,A,A,B,A,A,B,B,A,B,A,B,A,A,A,C,C,B
229,C,A,E,B,D,B,D,D,D,D,D,D,B,B,B,C,B,C,B,B,A,A,A,A,A,A,A,A,C,B,D,B,C,A,F,C,E,B,B,B,D,E,E,E,E,,B,,D,,E,A,E,E,D,D,D,B,A,A,A,D,D,D,B,B,C,B,C,F,E,E,E,E,E,D,D,D,C
230,D,A,B,A,D,A,D,D,D,A,D,D,A,A,A,A,D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,C,B,B,A,A,A,A,D,E,E,E,,,,,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,E,E,E,E,E,E,D,D,*,C
231,C,B,D,B,C,C,D,B,D,C,D,D,A,D,A,D,B,D,A,B,A,C,A,C,A,C,A,A,B,C,D,C,B,A,C,B,C,B,B,B,A,D,A,A,A,,,,,,*,A,C,B,A,C,D,D,A,A,A,A,A,A,A,A,B,B,B,A,C,A,A,A,B,C,C,C,C
232,D,B,C,A,C,B,D,A,D,A,D,C,B,C,B,A,B,C,A,C,A,B,A,A,A,A,B,A,D,D,D,D,C,A,C,B,B,B,A,A,A,D,A,B,A,A,B,,D,,D,A,C,D,C,B,D,B,A,B,B,B,A,A,B,A,B,B,B,C,C,A,B,A,B,A,C,C,A
233,A,A,E,A,D,D,D,D,D,D,D,D,A,C,A,C,A,C,A,A,B,B,A,B,D,B,D,A,A,D,D,D,C,A,F,C,E,B,A,B,D,E,E,E,E,,,,,E,A,A,E,E,A,A,D,D,A,A,A,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,D,B
234,D,A,E,A,B,A,D,B,D,B,D,D,B,C,A,B,B,B,D,A,B,B,B,B,B,B,B,B,D,C,D,B,C,B,C,A,B,A,A,B,A,D,A,A,A,,,C,,,B,A,D,B,C,B,C,B,D,C,B,B,C,B,B,A,B,A,B,E,D,B,A,B,A,C,A,C,A
235,A,B,C,B,C,B,C,D,B,C,D,B,C,B,D,B,C,C,C,D,C,C,C,B,C,B,C,B,C,B,D,B,C,B,F,C,B,A,A,A,D,C,B,D,C,,B,,,,B,C,C,B,D,B,C,D,B,C,B,C,B,B,B,B,B,A,B,D,E,B,D,C,A,D,B,C,B
236,D,A,D,B,D,D,D,D,D,D,D,D,C,C,B,C,C,C,C,B,C,C,D,C,C,C,C,C,C,C,C,C,C,A,C,A,B,B,A,B,C,D,A,A,A,A,,,,E,A,A,B,B,B,B,D,C,A,A,A,A,D,A,A,A,B,B,B,F,A,E,A,A,B,C,C,B,C
237,D,A,A,B,D,D,D,D,D,A,D,D,D,D,D,D,D,B,D,D,A,A,A,A,A,A,A,A,A,D,D,D,C,A,C,A,B,B,B,B,A,D,A,C,A,A,,,,,E,C,B,B,A,A,D,A,A,A,A,A,A,A,A,A,A,B,B,B,D,A,A,A,A,B,B,A,A
238,A,A,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,A,E,E,D,D,D,D,D,D,D,D,D,D,A,A,C,B,C,F,A,E,E,E,E,D,D,D,C
239,D,A,A,A,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,A,C,A,B,A,A,B,B,B,A,B,C,C,A,A,,,,,A,D,D,A,A,A,C,A,A,A,A,A,A,A,B,B,B,B,B,D,B,C,C,B,C,B,C,B,B
240,D,A,A,A,D,A,D,A,D,A,D,D,A,D,A,D,A,A,A,A,B,D,A,A,A,A,A,A,D,A,D,D,D,A,B,A,C,A,A,B,B,D,B,A,A,,,C,D,,A,A,B,A,D,A,D,D,A,C,A,D,D,D,B,B,A,B,A,E,D,B,B,D,D,A,A,C,A
241,C,A,A,B,D,D,D,D,D,D,D,D,A,C,A,B,D,A,A,A,A,C,D,C,D,A,C,A,D,B,C,A,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,C,A,E,E,A,D,D,A,D,A,B,C,D,B,A,A,C,B,C,F,E,E,E,E,E,D,D,D,C
242,D,A,D,B,D,B,D,B,D,B,D,D,B,C,B,C,C,C,C,B,A,B,A,A,A,A,A,A,C,C,C,C,C,A,C,A,C,B,B,B,A,D,A,A,A,,,,D,,A,A,C,B,A,A,C,D,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,A,A,A,A,A,A
243,C,B,D,B,D,D,D,C,D,C,D,C,D,D,D,D,C,C,D,C,D,D,C,D,C,,,,C,D,,,,D,C,C,E,,,,,D,,,,,,,,,C,D,B,D,C,D,C,A,B,B,A,B,A,A,B,B,C,B,B,C,B,C,A,A,C,B,C,B,C
244,C,A,D,A,D,D,D,D,D,D,D,D,A,D,A,B,A,A,A,A,A,D,D,C,D,C,C,D,D,D,B,A,B,B,B,B,C,B,B,B,D,E,E,E,E,,,,,,D,C,D,D,C,C,C,C,B,B,B,B,C,C,B,B,B,B,B,F,E,E,D,E,C,D,C,B,A
245,C,C,D,C,D,D,D,D,D,D,D,D,B,B,A,B,D,B,D,D,C,C,B,B,C,B,C,C,D,A,C,A,D,A,C,A,A,B,B,B,A,D,A,A,A,,,,,E,A,A,A,A,C,B,D,D,A,A,D,A,A,A,B,B,B,B,B,B,B,A,A,B,D,C,C,C,C
246,B,A,D,B,D,D,D,D,D,D,D,D,B,C,B,D,B,D,B,B,B,D,B,D,B,D,B,B,C,C,D,B,C,A,F,C,E,A,A,B,D,E,E,E,E,A,,,,,A,A,E,E,D,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,C,C
247,D,A,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,A,C,B,C,B,B,B,B,A,C,B,B,B,B,B,B,B,B,B,A,B,A,A,C,,B,,,,B,C,B,B,C,B,C,B,C,A,B,A,A,B,A,A,A,A,A,E,C,C,C,C,B,B,C,B,A
248,D,B,B,C,C,B,D,B,D,B,D,D,A,D,A,A,A,A,A,A,A,A,B,B,B,B,C,B,A,B,B,B,A,B,B,B,A,A,A,B,B,B,B,C,C,,,C,,,A,A,A,A,B,C,B,B,B,B,C,C,C,A,A,A,B,A,B,B,B,C,C,B,B,A,,A,C
249,D,A,C,D,D,D,D,D,D,D,C,B,A,A,B,B,C,B,C,D,A,B,D,C,C,A,B,D,B,C,B,D,B,D,F,B,B,B,B,B,C,E,E,E,E,,,,,E,C,A,C,A,D,B,A,B,D,B,C,D,D,D,A,B,A,B,C,B,C,B,A,D,B,D,B,B,C
250,A,A,D,A,D,D,D,D,D,D,D,D,B,C,B,C,C,C,B,B,A,C,A,C,A,C,A,A,C,D,D,C,B,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,B,D,D,A,A,D,A,A,A,A,A,C,A,C,F,A,E,E,E,E,D,D,B,C
251,D,A,C,C,A,B,D,B,C,C,A,D,A,B,C,B,C,B,A,D,A,C,B,B,A,B,A,D,D,B,D,C,D,B,B,A,B,B,B,A,B,C,A,D,A,A,B,,D,,C,A,C,B,D,B,C,C,A,A,B,C,B,B,A,B,B,B,B,D,C,A,C,C,B,A,C,A,C
252,D,A,A,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,C,C,C,B,C,B,C,A,A,B,B,B,C,B,A,A,A,A,,,,,C,A,D,A,B,B,C,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,A,A,C,A,A
253,D,A,A,C,B,A,A,B,A,B,A,A,A,B,C,C,C,B,A,B,C,B,B,B,A,A,B,C,C,C,B,A,A,B,C,C,D,A,B,B,B,C,C,C,D,,,,D,,C,D,C,B,A,A,C,B,C,C,B,A,C,B,A,A,B,A,B,D,C,,A,B,B,B,C,A,A
254,D,A,C,B,C,B,D,B,A,B,D,D,C,B,C,B,A,B,B,D,C,C,C,C,C,C,C,B,A,B,B,A,C,B,C,A,B,B,B,B,C,A,C,B,B,,B,,,,A,A,A,B,C,B,A,B,C,B,A,B,A,C,B,B,B,B,A,C,B,C,A,B,A,C,B,A,C
255,D,A,B,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,B,A,B,B,B,B,B,B,A,A,B,B,B,,B,,,,A,A,A,B,B,B,B,C,C,C,D,D,C,C,B,B,B,A,A,A,B,B,B,C,C,D,D,D,C
256,C,A,D,A,D,D,D,D,D,D,D,D,B,C,B,C,C,C,B,B,B,B,D,B,C,B,D,B,D,B,C,B,C,A,B,,E,B,B,A,B,E,E,E,E,,,,,E,E,A,A,E,A,B,D,C,B,D,D,D,D,D,B,B,B,B,C,D,D,C,C,E,E,C,C,B,C
257,A,A,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,B,D,A,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,E,A,E,E,D,D,D,D,A,A,A,A,A,D,A,A,B,B,B,F,A,E,E,E,E,D,D,D,C
258,D,A,B,C,A,A,B,B,D,D,D,D,A,A,A,A,A,A,A,A,A,A,D,C,C,B,C,D,B,B,D,D,C,A,C,B,C,B,B,A,A,D,A,A,A,,B,,,,C,A,B,D,D,B,C,A,A,A,A,A,A,A,A,B,B,B,B,C,D,A,A,B,D,A,B,C,C
