,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15
333,A,A,B,C,D,A,A,C,A,D,A,D,A,A,D
334,A,A,A,D,C,C,A,D,A,C,A,A,A,A,D
335,A,B,D,D,D,A,A,D,A,C,A,B,C,C,C
336,B,C,B,B,B,C,B,B,B,B,B,B,B,C,B
337,B,D,D,C,C,C,A,C,B,C,C,C,C,C,C
340,B,C,C,C,C,C,B,C,C,B,C,B,B,B,C
343,C,B,B,C,C,A,A,B,B,D,B,C,C,B,D
344,A,D,D,D,C,A,A,C,C,C,A,C,A,B,C
346,B,B,A,C,B,A,A,A,A,C,B,A,B,A,B
347,C,C,B,C,B,A,B,C,C,B,B,B,C,B,C
348,C,B,C,C,B,A,A,B,B,B,A,B,B,C,C
349,A,A,D,C,C,C,A,C,A,C,A,C,C,D,C
351,B,C,D,C,C,C,B,D,C,C,C,C,B,C,C
352,B,C,D,D,D,D,A,D,D,D,A,D,D,C,D
353,A,B,C,C,A,B,A,B,B,A,A,B,B,B,A
354,A,D,D,D,A,C,A,D,C,D,A,A,C,C,D
356,C,C,B,C,C,C,A,C,A,D,A,A,A,B,C
357,C,B,C,B,C,B,A,A,B,B,B,B,B,C,C
358,C,D,C,D,D,C,C,C,B,C,C,C,C,C,C
359,A,A,B,A,B,A,A,B,A,A,A,C,B,D,A
360,A,B,B,B,C,C,A,B,A,B,A,B,A,B,B
361,C,A,D,B,A,A,A,B,A,C,A,A,B,A,B
362,C,A,B,C,B,C,B,D,A,B,C,C,C,B,C
363,D,C,B,B,C,B,B,B,B,C,B,B,B,B,D
364,A,A,C,C,D,C,A,C,B,C,A,C,A,C,B
365,B,B,D,C,C,B,A,C,B,C,B,C,B,C,C
367,B,B,D,C,C,B,B,B,A,C,A,B,A,B,A
368,A,,C,C,A,C,A,A,C,C,A,C,A,C,A
369,B,A,C,C,B,C,A,C,B,C,A,B,B,C,D
370,C,D,C,B,B,C,A,,B,C,A,C,C,C,
371,A,B,D,D,D,D,A,C,C,A,B,B,B,C,B
373,C,C,B,B,C,B,A,B,B,C,A,C,B,B,C
374,C,A,A,A,A,A,A,A,A,A,A,A,A,A,B
375,A,B,D,D,B,B,A,D,C,C,A,B,A,A,D
376,A,D,D,C,A,A,A,D,A,D,A,A,A,C,A
377,B,C,C,C,C,B,B,B,B,C,B,C,C,C,B
378,C,C,B,B,A,C,A,C,C,B,A,C,C,A,B
379,B,A,D,B,A,C,A,A,B,D,C,D,D,B,C
380,C,B,A,B,C,B,A,C,A,C,A,B,B,A,D
381,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
382,C,C,B,C,B,B,A,C,A,C,A,B,C,B,C
383,B,B,B,C,C,A,B,C,B,C,A,B,B,A,C
384,A,C,C,A,A,A,A,A,A,B,A,A,A,B,A
385,B,C,C,C,C,D,D,C,C,D,C,D,D,D,D
386,B,C,B,B,C,B,A,C,C,C,A,C,B,C,C
387,B,C,A,A,A,,B,C,B,B,B,,A,A,C
390,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
391,A,D,A,A,A,B,A,A,A,B,A,A,C,C,B
393,C,B,B,B,B,B,A,A,B,B,A,A,B,C,C
394,B,C,C,C,C,B,B,C,B,D,B,C,B,C,C
395,C,A,B,A,A,B,A,A,A,A,A,C,C,A,A
396,B,C,D,C,A,A,A,A,B,C,A,B,B,C,A
397,A,B,C,C,B,B,B,B,B,C,B,A,A,B,C
398,B,B,B,D,D,C,A,D,D,D,A,D,A,D,A
399,C,B,A,A,C,B,A,A,A,C,A,B,B,A,C
400,A,D,D,C,B,D,D,D,C,C,D,C,B,B,A
402,C,C,B,C,C,C,B,C,B,D,C,C,C,B,C
403,A,C,C,C,B,B,A,B,C,C,A,C,B,C,B
404,B,C,B,A,A,B,A,C,C,B,A,C,B,B,C
406,C,D,C,C,C,D,C,A,C,C,B,C,C,C,C
407,A,C,C,C,C,B,A,B,C,C,A,C,A,B,B
408,A,C,B,C,B,B,D,C,A,C,A,B,B,C,C
409,B,C,B,D,C,C,B,A,B,A,C,A,B,A,D
410,B,B,C,C,C,C,D,C,D,C,D,C,C,C,B
411,C,C,B,C,C,C,B,C,C,A,A,C,C,A,A
412,B,D,C,B,C,B,C,C,A,C,B,C,C,C,B
414,D,D,D,D,C,A,D,C,A,C,A,C,A,A,A
415,B,B,A,B,A,A,C,B,A,C,B,C,A,B,C
417,A,A,D,C,A,A,A,A,B,C,A,D,C,C,A
418,B,B,A,C,B,A,A,C,A,C,A,A,B,B,D
419,C,B,C,D,C,C,B,C,C,C,B,C,B,C,C
420,B,A,C,C,C,B,A,C,A,D,A,C,B,D,D
421,B,C,C,C,B,C,A,B,B,B,A,C,B,C,B
422,A,A,B,B,B,A,A,C,A,B,A,A,B,B,D
423,A,A,C,D,A,A,A,D,B,A,A,C,A,C,A
424,B,C,C,C,C,B,B,C,C,C,B,D,C,B,A
425,A,B,A,A,C,A,A,A,A,C,A,A,A,A,C
426,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
427,B,B,C,C,C,C,C,B,B,A,A,C,B,B,C
428,A,C,C,D,A,A,A,C,A,A,A,C,C,C,A
429,A,B,A,A,B,C,B,C,A,A,B,B,B,B,A
430,A,A,B,C,A,B,A,C,A,A,A,C,B,C,B
431,C,C,C,B,C,C,B,C,C,C,C,C,C,C,C
432,A,C,C,D,B,B,B,C,A,C,C,C,B,A,B
433,C,B,A,B,B,A,A,A,A,C,A,A,A,A,C
434,C,B,B,C,B,B,B,D,A,D,B,C,B,B,C
435,C,B,C,C,A,A,B,C,A,A,B,C,B,A,A
436,B,C,C,C,C,B,B,B,B,C,B,C,B,B,C
437,B,C,C,C,C,A,A,C,A,D,B,D,B,C,D
438,B,C,B,A,A,A,A,B,A,B,A,C,A,A,C
439,B,B,A,B,A,B,A,A,A,B,A,B,A,A,C
440,C,C,B,B,B,B,B,B,B,B,B,C,B,B,C
441,C,B,C,C,A,B,B,C,B,C,A,B,B,C,B
442,B,B,A,A,A,A,A,A,A,C,A,A,B,B,C
443,A,A,C,C,A,A,A,B,B,B,A,C,B,C,A
444,A,C,C,C,D,B,A,C,B,B,A,C,B,C,B
445,A,B,C,D,B,C,A,D,C,B,C,D,C,C,B
446,A,B,C,C,A,A,A,C,B,B,A,B,B,B,B
447,A,A,B,A,A,A,A,A,B,A,A,C,B,A,C
448,B,B,D,C,C,C,C,C,B,C,B,C,B,C,D
449,B,D,D,C,C,C,C,C,D,B,A,D,A,C,B
450,A,A,C,D,C,B,A,D,A,D,A,C,A,C,D
451,B,B,C,C,A,B,A,B,B,B,A,C,B,B,B
452,C,D,B,C,D,B,B,C,B,D,B,C,B,C,C
453,B,C,D,C,B,B,A,C,C,B,A,C,B,B,B
454,B,C,B,C,B,A,A,B,B,C,A,B,B,B,B
455,A,C,C,B,A,B,C,B,A,B,B,C,C,B,A
456,B,C,D,D,A,B,A,B,D,A,B,C,B,C,A
457,B,C,D,C,B,B,A,C,A,C,B,B,B,B,A
458,B,B,B,C,C,C,A,B,C,D,A,B,A,C,C
