trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
260,591,70,1576,20,right,0,13,1.0,Thu May 25 12:15:18 2017
261,1379,30,197,90,left,0,21,1.372,Thu May 25 12:15:20 2017
262,1576,20,985,50,left,0,11,0.809,Thu May 25 12:15:21 2017
263,394,80,1379,30,right,0,20,1.816,Thu May 25 12:15:24 2017
264,1773,10,1576,20,left,0,1,1.509,Thu May 25 12:15:26 2017
265,1379,30,394,80,left,0,20,1.431,Thu May 25 12:15:28 2017
266,197,90,591,70,right,0,35,2.416,Thu May 25 12:15:31 2017
267,1379,30,788,60,left,0,18,3.051,Thu May 25 12:15:34 2017
268,788,60,1379,30,right,0,18,1.554,Thu May 25 12:15:36 2017
269,1773,10,1379,30,left,0,2,2.143,Thu May 25 12:15:39 2017
270,591,70,1576,20,right,0,13,1.689,Thu May 25 12:15:41 2017
271,1576,20,1379,30,left,0,9,1.635,Thu May 25 12:15:43 2017
272,1182,40,985,50,left,0,22,1.117,Thu May 25 12:15:45 2017
273,394,80,788,60,right,0,32,1.728,Thu May 25 12:15:47 2017
274,985,50,1773,10,right,0,4,1.349,Thu May 25 12:15:49 2017
275,1773,10,985,50,left,0,4,1.409,Thu May 25 12:15:51 2017
276,788,60,394,80,left,0,32,1.431,Thu May 25 12:15:53 2017
277,1576,20,394,80,left,0,14,1.47,Thu May 25 12:15:55 2017
278,394,80,788,60,right,0,32,1.388,Thu May 25 12:15:56 2017
279,197,90,1576,20,right,0,15,1.002,Thu May 25 12:15:58 2017
280,788,60,197,90,left,0,33,1.559,Thu May 25 12:16:00 2017
281,1379,30,1773,10,right,0,2,2.427,Thu May 25 12:16:03 2017
282,1576,20,1773,10,right,0,1,1.607,Thu May 25 12:16:05 2017
283,788,60,1182,40,right,0,23,1.193,Thu May 25 12:16:08 2017
284,591,70,1182,40,right,0,24,1.16,Thu May 25 12:16:09 2017
285,1379,30,788,60,left,0,18,1.077,Thu May 25 12:16:11 2017
286,788,60,1773,10,right,0,5,1.48,Thu May 25 12:16:13 2017
287,985,50,1182,40,right,0,22,1.602,Thu May 25 12:16:15 2017
288,1773,10,985,50,left,0,4,1.01,Thu May 25 12:16:16 2017
289,788,60,591,70,left,0,31,3.841,Thu May 25 12:16:21 2017
290,1576,20,197,90,left,0,15,2.052,Thu May 25 12:16:23 2017
291,985,50,1379,30,right,0,17,1.202,Thu May 25 12:16:25 2017
292,788,60,394,80,left,0,32,4.734,Thu May 25 12:16:31 2017
293,591,70,1182,40,right,0,24,2.174,Thu May 25 12:16:34 2017
294,985,50,197,90,left,0,30,1.636,Thu May 25 12:16:36 2017
295,1379,30,197,90,left,0,21,1.513,Thu May 25 12:16:39 2017
296,1773,10,394,80,left,0,7,1.075,Thu May 25 12:16:40 2017
297,1773,10,591,70,left,0,6,4.101,Thu May 25 12:16:45 2017
298,985,50,788,60,left,0,27,3.699,Thu May 25 12:16:49 2017
299,1379,30,394,80,left,0,20,1.294,Thu May 25 12:16:51 2017
300,394,80,197,90,right,1,36,2.44,Thu May 25 12:16:54 2017
301,788,60,1773,10,right,0,5,1.724,Thu May 25 12:16:56 2017
302,1576,20,1773,10,right,0,1,2.842,Thu May 25 12:17:00 2017
303,985,50,1773,10,right,0,4,1.098,Thu May 25 12:17:01 2017
304,591,70,197,90,left,0,35,1.695,Thu May 25 12:17:03 2017
305,1182,40,1379,30,right,0,16,2.701,Thu May 25 12:17:07 2017
306,1379,30,1773,10,right,0,2,1.772,Thu May 25 12:17:09 2017
307,197,90,1576,20,right,0,15,1.25,Thu May 25 12:17:11 2017
308,1576,20,985,50,left,0,11,1.132,Thu May 25 12:17:13 2017
309,197,90,1773,10,right,0,8,2.822,Thu May 25 12:17:16 2017
310,1379,30,394,80,left,0,20,4.392,Thu May 25 12:17:21 2017
311,1182,40,985,50,right,1,22,3.486,Thu May 25 12:17:25 2017
312,591,70,1379,30,right,0,19,1.46,Thu May 25 12:17:28 2017
313,1182,40,788,60,left,0,23,1.636,Thu May 25 12:17:30 2017
314,591,70,394,80,right,1,34,5.435,Thu May 25 12:17:36 2017
315,1576,20,1773,10,left,1,1,4.42,Thu May 25 12:17:41 2017
316,1379,30,394,80,left,0,20,2.423,Thu May 25 12:17:44 2017
317,197,90,591,70,right,0,35,1.336,Thu May 25 12:17:45 2017
318,394,80,1773,10,right,0,7,1.499,Thu May 25 12:17:47 2017
319,591,70,1773,10,right,0,6,1.146,Thu May 25 12:17:49 2017
320,1773,10,394,80,left,0,7,1.099,Thu May 25 12:17:51 2017
321,1576,20,1182,40,left,0,10,8.653,Thu May 25 12:18:00 2017
322,591,70,1576,20,right,0,13,1.299,Thu May 25 12:18:02 2017
323,591,70,197,90,left,0,35,1.705,Thu May 25 12:18:04 2017
324,1576,20,197,90,left,0,15,1.146,Thu May 25 12:18:06 2017
325,1379,30,1182,40,left,0,16,5.757,Thu May 25 12:18:13 2017
326,591,70,788,60,right,0,31,13.381,Thu May 25 12:18:27 2017
327,1182,40,788,60,left,0,23,2.114,Thu May 25 12:18:30 2017
328,591,70,1773,10,right,0,6,1.447,Thu May 25 12:18:32 2017
329,1182,40,788,60,left,0,23,1.249,Thu May 25 12:18:34 2017
330,1182,40,394,80,left,0,25,2.543,Thu May 25 12:18:37 2017
331,591,70,197,90,left,0,35,1.724,Thu May 25 12:18:40 2017
332,1773,10,1379,30,left,0,2,0.897,Thu May 25 12:18:42 2017
333,985,50,591,70,left,0,28,2.782,Thu May 25 12:18:46 2017
