trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
115,463,45,579,29,left,0,4,1.601,Fri Nov 25 12:52:44 2016
116,492,41,550,33,left,0,6,2.634,Fri Nov 25 12:52:47 2016
117,521,37,492,41,right,0,5,1.129,Fri Nov 25 12:52:48 2016
118,521,37,463,45,right,0,2,1.198,Fri Nov 25 12:52:50 2016
119,579,29,521,37,right,0,9,1.647,Fri Nov 25 12:52:52 2016
120,550,33,521,37,left,1,8,2.831,Fri Nov 25 12:52:55 2016
121,492,41,521,37,left,0,5,2.176,Fri Nov 25 12:52:57 2016
122,550,33,492,41,right,0,6,1.185,Fri Nov 25 12:52:59 2016
123,492,41,463,45,left,1,1,1.992,Fri Nov 25 12:53:01 2016
124,521,37,492,41,left,1,5,6.462,Fri Nov 25 12:53:08 2016
125,579,29,492,41,right,0,7,2.451,Fri Nov 25 12:53:11 2016
126,492,41,550,33,left,0,6,11.194,Fri Nov 25 12:53:23 2016
127,521,37,579,29,left,0,9,2.417,Fri Nov 25 12:53:26 2016
128,550,33,463,45,right,0,3,1.313,Fri Nov 25 12:53:27 2016
129,521,37,492,41,left,1,5,3.085,Fri Nov 25 12:53:31 2016
130,550,33,521,37,left,1,8,2.494,Fri Nov 25 12:53:34 2016
131,492,41,521,37,right,1,5,4.13,Fri Nov 25 12:53:38 2016
132,579,29,550,33,right,0,10,5.264,Fri Nov 25 12:53:44 2016
133,492,41,521,37,right,1,5,5.015,Fri Nov 25 12:53:49 2016
134,550,33,463,45,right,0,3,1.784,Fri Nov 25 12:53:52 2016
135,550,33,521,37,left,1,8,2.875,Fri Nov 25 12:53:55 2016
136,550,33,579,29,right,1,10,4.35,Fri Nov 25 12:54:00 2016
137,550,33,492,41,right,0,6,2.254,Fri Nov 25 12:54:02 2016
138,463,45,550,33,left,0,3,2.598,Fri Nov 25 12:54:05 2016
139,579,29,550,33,left,1,10,2.49,Fri Nov 25 12:54:08 2016
140,550,33,521,37,right,0,8,2.436,Fri Nov 25 12:54:11 2016
141,521,37,579,29,left,0,9,1.976,Fri Nov 25 12:54:13 2016
142,550,33,579,29,right,1,10,2.878,Fri Nov 25 12:54:17 2016
143,550,33,521,37,left,1,8,6.973,Fri Nov 25 12:54:24 2016
144,463,45,579,29,left,0,4,1.483,Fri Nov 25 12:54:26 2016
145,492,41,550,33,left,0,6,1.958,Fri Nov 25 12:54:29 2016
146,521,37,463,45,right,0,2,7.002,Fri Nov 25 12:54:36 2016
147,492,41,579,29,left,0,7,6.249,Fri Nov 25 12:54:43 2016
148,521,37,463,45,right,0,2,1.305,Fri Nov 25 12:54:45 2016
149,463,45,492,41,right,1,1,2.677,Fri Nov 25 12:54:48 2016
150,463,45,521,37,right,1,2,2.549,Fri Nov 25 12:54:51 2016
151,492,41,463,45,left,1,1,4.977,Fri Nov 25 12:54:56 2016
152,521,37,463,45,right,0,2,6.558,Fri Nov 25 12:55:03 2016
153,463,45,550,33,left,0,3,5.595,Fri Nov 25 12:55:09 2016
154,579,29,521,37,right,0,9,5.395,Fri Nov 25 12:55:15 2016
155,550,33,579,29,right,1,10,2.135,Fri Nov 25 12:55:18 2016
156,521,37,550,33,right,1,8,2.206,Fri Nov 25 12:55:20 2016
157,492,41,463,45,left,1,1,2.667,Fri Nov 25 12:55:23 2016
158,579,29,521,37,right,0,9,3.192,Fri Nov 25 12:55:28 2016
159,463,45,521,37,left,0,2,7.16,Fri Nov 25 12:55:35 2016
160,521,37,550,33,right,1,8,6.7,Fri Nov 25 12:55:42 2016
161,492,41,579,29,left,0,7,2.028,Fri Nov 25 12:55:45 2016
162,579,29,550,33,left,1,10,2.466,Fri Nov 25 12:55:48 2016
163,550,33,463,45,right,0,3,1.647,Fri Nov 25 12:55:50 2016
164,492,41,550,33,left,0,6,1.518,Fri Nov 25 12:55:52 2016
165,492,41,579,29,left,0,7,1.714,Fri Nov 25 12:55:54 2016
166,492,41,579,29,left,0,7,2.9,Fri Nov 25 12:55:57 2016
167,550,33,521,37,right,0,8,1.41,Fri Nov 25 12:55:59 2016
168,492,41,550,33,left,0,6,2.012,Fri Nov 25 12:56:02 2016
169,550,33,463,45,right,0,3,1.387,Fri Nov 25 12:56:03 2016
170,521,37,550,33,right,1,8,2.381,Fri Nov 25 12:56:06 2016
171,579,29,550,33,left,1,10,3.485,Fri Nov 25 12:56:10 2016
172,550,33,521,37,left,1,8,4.44,Fri Nov 25 12:56:15 2016
173,579,29,521,37,left,1,9,2.771,Fri Nov 25 12:56:18 2016
174,521,37,579,29,left,0,9,3.57,Fri Nov 25 12:56:22 2016
175,579,29,521,37,right,0,9,4.069,Fri Nov 25 12:56:26 2016
176,463,45,521,37,left,0,2,2.209,Fri Nov 25 12:56:29 2016
177,579,29,492,41,right,0,7,5.657,Fri Nov 25 12:56:35 2016
178,463,45,492,41,right,1,1,2.677,Fri Nov 25 12:56:39 2016
179,579,29,492,41,right,0,7,3.955,Fri Nov 25 12:56:43 2016
180,492,41,550,33,left,0,6,9.761,Fri Nov 25 12:56:53 2016
181,492,41,550,33,left,0,6,1.79,Fri Nov 25 12:56:55 2016
182,550,33,521,37,left,1,8,2.067,Fri Nov 25 12:56:58 2016
183,463,45,492,41,right,1,1,2.721,Fri Nov 25 12:57:01 2016
184,550,33,463,45,right,0,3,2.241,Fri Nov 25 12:57:03 2016
185,463,45,550,33,left,0,3,1.613,Fri Nov 25 12:57:05 2016
186,463,45,550,33,left,0,3,1.701,Fri Nov 25 12:57:07 2016
187,579,29,492,41,right,0,7,0.88,Fri Nov 25 12:57:09 2016
188,550,33,579,29,right,1,10,1.847,Fri Nov 25 12:57:11 2016
189,492,41,550,33,left,0,6,1.659,Fri Nov 25 12:57:13 2016
190,579,29,463,45,right,0,4,2.046,Fri Nov 25 12:57:16 2016
191,550,33,463,45,right,0,3,1.905,Fri Nov 25 12:57:18 2016
192,550,33,521,37,left,1,8,1.418,Fri Nov 25 12:57:20 2016
193,521,37,550,33,left,0,8,4.757,Fri Nov 25 12:57:25 2016
194,521,37,492,41,right,0,5,1.213,Fri Nov 25 12:57:27 2016
195,579,29,521,37,right,0,9,8.444,Fri Nov 25 12:57:35 2016
196,463,45,492,41,right,1,1,1.922,Fri Nov 25 12:57:38 2016
197,463,45,521,37,left,0,2,3.332,Fri Nov 25 12:57:43 2016
198,550,33,521,37,left,1,8,8.119,Fri Nov 25 12:57:52 2016
199,463,45,521,37,left,0,2,2.294,Fri Nov 25 12:57:55 2016
200,579,29,550,33,right,0,10,1.859,Fri Nov 25 12:57:59 2016
