"n_participante","condicion","escala","duraciones","r_correctas","respuestas","r_corr_b","rt"
2,"Aleatoria","A",1063,"l","l",1,1.002063036
2,"Aleatoria","A",687,"s","l",0,2.269677877
2,"Aleatoria","A",625,"s","l",0,1.585372925
2,"Aleatoria","A",812,"s","l",0,2.451958895
2,"Aleatoria","A",750,"s","s",1,2.651854038
2,"Aleatoria","A",1000,"l","l",1,2.602338076
2,"Aleatoria","A",687,"s","l",0,1.086133957
2,"Aleatoria","A",750,"s","l",0,1.852232933
2,"Aleatoria","A",1125,"l","l",1,0.601871014
2,"Aleatoria","A",625,"s","s",1,1.185966969
2,"Aleatoria","A",1125,"l","l",1,1.051979065
2,"Aleatoria","A",1063,"l","s",0,2.635581017
2,"Aleatoria","A",1000,"l","l",1,2.286202908
2,"Aleatoria","A",687,"s","s",1,1.752476931
2,"Aleatoria","A",687,"s","s",1,1.101746798
2,"Aleatoria","A",1063,"l","s",0,1.218281031
2,"Aleatoria","A",1125,"l","l",1,1.901990891
2,"Aleatoria","A",875,"l, s","l",0,1.401850939
2,"Aleatoria","A",1000,"l","l",1,2.901624918
2,"Aleatoria","A",1125,"l","s",0,2.201883793
2,"Aleatoria","A",750,"s","l",0,2.717669964
2,"Aleatoria","A",875,"l, s","l",0,1.119049072
2,"Aleatoria","A",625,"s","s",1,0.267929077
2,"Aleatoria","A",750,"s","s",1,0.819103003
2,"Aleatoria","A",938,"l","l",1,2.269053936
2,"Aleatoria","A",938,"l","l",1,0.766518116
2,"Aleatoria","A",938,"l","s",0,1.102036953
2,"Aleatoria","A",1063,"l","l",1,0.686693907
2,"Aleatoria","A",812,"s","l",0,0.91883707
2,"Aleatoria","A",1125,"l","l",1,1.151909113
2,"Aleatoria","A",625,"s","s",1,1.552004099
2,"Aleatoria","A",812,"s","l",0,2.351928949
2,"Aleatoria","A",1063,"l","s",0,2.352699041
2,"Aleatoria","A",687,"s","l",0,0.736308098
2,"Aleatoria","A",812,"s","l",0,2.401700974
2,"Aleatoria","A",875,"l, s","s",0,2.185712099
2,"Aleatoria","A",625,"s","l",0,1.969305992
2,"Aleatoria","A",750,"s","s",1,2.419490099
2,"Aleatoria","A",1000,"l","l",1,0.784499168
2,"Aleatoria","A",687,"s","s",1,1.185261965
2,"Aleatoria","A",812,"s","l",0,1.568520069
2,"Aleatoria","A",1000,"l","s",0,2.035377979
2,"Aleatoria","A",875,"l, s","s",0,1.351612091
2,"Aleatoria","A",1063,"l","l",1,1.78532505
2,"Aleatoria","A",1063,"l","l",1,2.151962042
2,"Aleatoria","A",812,"s","s",1,1.601617813
2,"Aleatoria","A",1125,"l","s",0,2.518015146
2,"Aleatoria","A",938,"l","l",1,2.051378965
2,"Aleatoria","A",750,"s","s",1,1.518712997
2,"Aleatoria","A",1125,"l","l",1,1.685504913
2,"Aleatoria","A",1000,"l","s",0,1.452736139
2,"Aleatoria","A",875,"l, s","s",0,1.818358898
2,"Aleatoria","A",687,"s","s",1,0.884454012
2,"Aleatoria","A",1000,"l","l",1,1.402843952
2,"Aleatoria","A",1125,"l","l",1,1.169549942
2,"Aleatoria","A",625,"s","s",1,0.768658876
2,"Aleatoria","A",875,"l, s","l",0,1.919668198
2,"Aleatoria","A",938,"l","l",1,1.735404968
2,"Aleatoria","A",750,"s","s",1,0.718946934
2,"Aleatoria","A",750,"s","s",1,2.21882391
2,"Aleatoria","A",625,"s","s",1,0.669322968
2,"Aleatoria","A",1063,"l","s",0,2.252861977
2,"Aleatoria","A",812,"s","s",1,1.252192974
2,"Aleatoria","A",938,"l","s",0,2.018969059
2,"Aleatoria","A",625,"s","s",1,3.885418177
2,"Aleatoria","A",687,"s","l",0,2.452497959
2,"Aleatoria","A",1063,"l","l",1,2.018077135
2,"Aleatoria","A",687,"s","s",1,0.784254074
2,"Aleatoria","A",875,"l, s","l",0,1.452153921
2,"Aleatoria","A",1125,"l","l",1,2.200764179
2,"Aleatoria","A",938,"l","l",1,1.185722113
2,"Aleatoria","A",938,"l","s",0,1.601387024
2,"Aleatoria","A",875,"l, s","s",0,1.63586998
2,"Aleatoria","A",1000,"l","l",1,0.785698891
2,"Aleatoria","A",938,"l","s",0,2.184639215
2,"Aleatoria","A",1000,"l","s",0,2.451825142
2,"Aleatoria","A",625,"s","s",1,0.485616922
2,"Aleatoria","A",625,"s","s",1,1.269916058
2,"Aleatoria","A",812,"s","s",1,1.052988052
2,"Aleatoria","A",687,"s","s",1,2.068521976
2,"Aleatoria","A",812,"s","l",0,1.401359081
2,"Aleatoria","A",1125,"l","s",0,0.66869092
2,"Aleatoria","A",1063,"l","s",0,2.269192934
2,"Aleatoria","A",875,"l, s","s",0,3.069585085
2,"Aleatoria","A",750,"s","s",1,1.235351086
2,"Aleatoria","A",1063,"l","l",1,1.168774128
2,"Aleatoria","A",625,"s","s",1,0.836085081
2,"Aleatoria","A",1000,"l","l",1,1.035007
2,"Aleatoria","A",750,"s","s",1,2.585602045
2,"Aleatoria","A",750,"s","l",0,2.684329033
2,"Aleatoria","A",687,"s","s",1,0.818431139
2,"Aleatoria","A",1125,"l","l",1,1.968412876
2,"Aleatoria","A",812,"s","l",0,1.035419941
2,"Aleatoria","A",1000,"l","s",0,1.63625288
2,"Aleatoria","A",938,"l","s",0,2.519823074
2,"Aleatoria","A",812,"s","s",1,1.785384893
2,"Aleatoria","A",1125,"l","s",0,1.351053953
2,"Aleatoria","A",812,"s","s",1,1.035851002
2,"Aleatoria","A",687,"s","l",0,1.600394011
2,"Aleatoria","A",875,"l, s","l",0,1.334333181
2,"Aleatoria","A",750,"s","l",0,1.234588146
2,"Aleatoria","A",1063,"l","l",1,0.302070141
2,"Aleatoria","A",1063,"l","l",1,1.285307169
2,"Aleatoria","A",625,"s","s",1,0.785783052
2,"Aleatoria","A",1000,"l","l",1,1.18632102
2,"Aleatoria","A",625,"s","s",1,1.051702023
2,"Aleatoria","A",938,"l","l",1,1.151490927
2,"Aleatoria","A",875,"l, s","s",0,3.553109884
2,"Aleatoria","A",750,"s","s",1,0.468374014
2,"Aleatoria","A",1125,"l","l",1,0.603077888
2,"Aleatoria","A",875,"l, s","l",0,1.152055025
2,"Aleatoria","A",625,"s","l",0,0.735292912
2,"Aleatoria","A",687,"s","s",1,0.552011013
2,"Aleatoria","A",687,"s","l",0,1.519001961
2,"Aleatoria","A",1000,"l","l",1,0.751481056
2,"Aleatoria","A",1125,"l","l",1,1.251672983
2,"Aleatoria","A",812,"s","s",1,1.718410015
2,"Aleatoria","A",750,"s","s",1,0.835216045
2,"Aleatoria","A",938,"l","l",1,1.15276885
2,"Aleatoria","A",1063,"l","l",1,1.118681908
2,"Aleatoria","A",750,"s","s",1,2.568123817
2,"Aleatoria","A",938,"l","s",0,1.685444117
2,"Aleatoria","A",750,"s","s",1,1.069093943
2,"Aleatoria","A",1125,"l","l",1,0.902747869
2,"Aleatoria","A",938,"l","l",1,0.668555975
2,"Aleatoria","A",812,"s","s",1,2.435400009
2,"Aleatoria","A",1125,"l","l",1,1.950890064
2,"Aleatoria","A",812,"s","s",1,1.352141142
2,"Aleatoria","A",875,"l, s","s",0,1.935348988
2,"Aleatoria","A",938,"l","l",1,1.102364063
2,"Aleatoria","A",875,"l, s","l",0,1.53609395
2,"Aleatoria","A",625,"s","s",1,1.101448059
2,"Aleatoria","A",1063,"l","l",1,1.084004879
2,"Aleatoria","A",687,"s","s",1,0.685296059
2,"Aleatoria","A",812,"s","s",1,2.652570009
2,"Aleatoria","A",750,"s","s",1,0.901433945
2,"Aleatoria","A",687,"s","s",1,2.719018936
2,"Aleatoria","A",625,"s","s",1,1.252895117
2,"Aleatoria","A",1000,"l","l",1,1.401633024
2,"Aleatoria","A",1063,"l","s",0,2.251171112
2,"Aleatoria","A",625,"s","s",1,2.085901022
2,"Aleatoria","A",687,"s","l",0,1.718633175
2,"Aleatoria","A",1063,"l","l",1,0.718141079
2,"Aleatoria","A",875,"l, s","s",0,1.168488026
2,"Aleatoria","A",1125,"l","l",1,0.335950136
2,"Aleatoria","A",1000,"l","l",1,1.23484683
2,"Aleatoria","A",1000,"l","l",1,0.584853888
2,"Aleatoria","A",1063,"l","l",1,0.835711956
2,"Aleatoria","A",812,"s","l",0,1.668274164
2,"Aleatoria","A",938,"l","s",0,2.55210495
2,"Aleatoria","A",750,"s","s",1,1.919217825
2,"Aleatoria","A",1000,"l","l",1,1.186295986
2,"Aleatoria","A",875,"l, s","l",0,2.502847195
2,"Aleatoria","A",750,"s","s",1,1.700322866
2,"Aleatoria","A",938,"l","l",1,1.836886883
2,"Aleatoria","A",1125,"l","l",1,1.086560965
2,"Aleatoria","A",875,"l, s","s",0,1.120791912
2,"Aleatoria","A",1063,"l","l",1,0.803003073
2,"Aleatoria","A",687,"s","s",1,1.019649982
2,"Aleatoria","A",1125,"l","l",1,0.352404118
2,"Aleatoria","A",875,"l, s","s",0,1.519469976
2,"Aleatoria","A",687,"s","s",1,0.485999107
2,"Aleatoria","A",1125,"l","s",0,1.585924149
2,"Aleatoria","A",687,"s","s",1,1.18571806
2,"Aleatoria","A",1000,"l","s",0,1.603600979
2,"Aleatoria","A",625,"s","s",1,0.86955905
2,"Aleatoria","A",1063,"l","l",1,1.436448812
2,"Aleatoria","A",1000,"l","l",1,0.719046831
2,"Aleatoria","A",750,"s","s",1,1.486137152
2,"Aleatoria","A",812,"s","s",1,1.886307001
2,"Aleatoria","A",938,"l","l",1,0.552344799
2,"Aleatoria","A",625,"s","s",1,2.119643927
