"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
2,"Aleatoria","C",3,1500,13,7,0.35
2,"Aleatoria","C",3,1550,11,9,0.45
2,"Aleatoria","C",3,1600,6,14,0.7
2,"Aleatoria","C",4,1200,16,4,0.2
2,"Aleatoria","C",4,1250,15,5,0.25
2,"Aleatoria","C",4,1300,14,6,0.3
2,"Aleatoria","C",4,1350,14,6,0.3
2,"Aleatoria","C",4,1400,13,7,0.35
2,"Aleatoria","C",4,1450,10,10,0.5
2,"Aleatoria","C",4,1500,10,10,0.5
2,"Aleatoria","C",4,1550,6,14,0.7
2,"Aleatoria","C",4,1600,1,19,0.95
2,"Aleatoria","C",5,1200,17,3,0.15
2,"Aleatoria","C",5,1250,17,3,0.15
2,"Aleatoria","C",5,1300,17,3,0.15
2,"Aleatoria","C",5,1350,13,7,0.35
2,"Aleatoria","C",5,1400,13,7,0.35
2,"Aleatoria","C",5,1450,8,12,0.6
2,"Aleatoria","C",5,1500,7,13,0.65
2,"Aleatoria","C",5,1550,3,17,0.85
2,"Aleatoria","C",5,1600,6,14,0.7
2,"Bloque","C",3,1200,19,1,0.05
2,"Bloque","C",3,1250,18,2,0.1
2,"Bloque","C",3,1300,20,0,0
2,"Bloque","C",3,1350,18,2,0.1
2,"Bloque","C",3,1400,16,4,0.2
2,"Bloque","C",3,1450,12,8,0.4
2,"Bloque","C",3,1500,12,8,0.4
2,"Bloque","C",3,1550,8,12,0.6
2,"Bloque","C",3,1600,6,14,0.7
2,"Bloque","C",4,1200,18,2,0.1
2,"Bloque","C",4,1250,19,1,0.05
2,"Bloque","C",4,1300,18,2,0.1
2,"Bloque","C",4,1350,16,4,0.2
2,"Bloque","C",4,1400,14,6,0.3
2,"Bloque","C",4,1450,15,5,0.25
2,"Bloque","C",4,1500,14,6,0.3
2,"Bloque","C",4,1550,5,15,0.75
2,"Bloque","C",4,1600,8,12,0.6
2,"Bloque","C",5,1200,19,1,0.05
2,"Bloque","C",5,1250,17,3,0.15
2,"Bloque","C",5,1300,17,3,0.15
2,"Bloque","C",5,1350,19,1,0.05
2,"Bloque","C",5,1400,16,4,0.2
2,"Bloque","C",5,1450,17,3,0.15
2,"Bloque","C",5,1500,11,9,0.45
2,"Bloque","C",5,1550,11,9,0.45
2,"Bloque","C",5,1600,5,15,0.75
3,"Aleatoria","A",3,1550,19,1,0.05
3,"Aleatoria","A",3,1600,15,5,0.25
3,"Aleatoria","A",3,1650,15,5,0.25
3,"Aleatoria","A",3,1700,13,7,0.35
3,"Aleatoria","A",3,1750,13,7,0.35
3,"Aleatoria","A",3,1800,11,9,0.45
3,"Aleatoria","A",3,1850,5,15,0.75
3,"Aleatoria","A",3,1900,8,12,0.6
3,"Aleatoria","A",3,1950,6,14,0.7
3,"Aleatoria","A",4,1550,19,1,0.05
3,"Aleatoria","A",4,1600,19,1,0.05
3,"Aleatoria","A",4,1650,19,1,0.05
3,"Aleatoria","A",4,1700,16,4,0.2
3,"Aleatoria","A",4,1750,13,7,0.35
3,"Aleatoria","A",4,1800,11,9,0.45
3,"Aleatoria","A",4,1850,9,11,0.55
3,"Aleatoria","A",4,1900,5,15,0.75
3,"Aleatoria","A",4,1950,5,15,0.75
3,"Aleatoria","A",5,1550,19,1,0.05
3,"Aleatoria","A",5,1600,19,1,0.05
3,"Aleatoria","A",5,1650,18,2,0.1
3,"Aleatoria","A",5,1700,17,3,0.15
3,"Aleatoria","A",5,1750,9,11,0.55
3,"Aleatoria","A",5,1800,8,12,0.6
3,"Aleatoria","A",5,1850,8,12,0.6
3,"Aleatoria","A",5,1900,9,11,0.55
3,"Aleatoria","A",5,1950,6,14,0.7
3,"Bloque","A",3,1550,19,1,0.05
3,"Bloque","A",3,1600,19,1,0.05
3,"Bloque","A",3,1650,16,4,0.2
