Folio,Género,Edad,Escuela,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60,ThetaImFin,ThetaImTra,ThetaImRisk,ThetaImRen,ThetaImCom,ThetaTenFin,ThetaTenCom,ThetaTenRen,ThetaTenRisk,ThetaTenTra,ThetaDañCom,ThetaDañRen,ThetaDañRisk
1196,1,1,6,2,1,2,3,3,2,1,1,2,3,1,1,3,2,2,1,0,3,2,1,3,3,3,3,2,2,1,1,1,2,3,0,3,2,2,0,0,3,2,2,1,3,1,3,3,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,1.5435259,.55988252,1.1586576,.060945131,.10194343,1.5657305,.69372547,.16296072,1.0698364,.31567785,.31495366,.82702154,-.050527688
1200,1,0,6,2,0,2,2,3,3,2,0,1,2,1,2,2,0,2,1,2,0,0,2,3,1,2,2,3,2,2,3,2,2,0,2,1,0,3,3,3,0,0,0,1,1,2,2,1,3,3,3,2,3,3,2,3,2,3,2,2,3,3,3,.87112188,.38538423,-.086380318,-.92648959,.26983801,.57605153,.65930396,1.5093793,-.47984353,1.0207466,.77704906,.9785732,.29332697
1205,1,2,6,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.13203666,-.30077508,.10930122,.060945131,-.62542987,.13391142,-.3978422,.13861448,-.31734896,-.15791251,.68207657,.27994195,-.7332114
1206,1,1,6,3,2,1,2,1,1,1,1,2,3,2,2,2,1,0,1,1,2,3,2,0,1,2,0,0,0,0,1,0,0,2,3,0,1,0,2,0,0,0,0,2,1,2,0,0,0,1,1,3,2,2,0,1,3,1,0,3,3,3,3,.62945664,.085699953,1.5351497,.42391449,-.42397413,-.61054534,-1.1538761,.39533228,-1.0454186,-.65411013,.43210813,-.71283627,.85373992
1207,0,0,6,1,0,2,1,0,2,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,3,2,1,1,2,2,1,0,3,3,3,3,-1.1161851,-.30347511,-.63944167,-1.3669701,-.36059564,-1.3141685,-.72404402,-1.3074093,-1.0454186,-.95937544,.31495366,-.70406985,.85373992
1208,0,0,6,2,1,3,1,1,2,1,1,2,2,1,1,1,0,1,1,0,0,0,0,2,0,3,1,0,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,3,2,0,0,1,1,0,1,1,1,0,1,1,3,0,1,2,3,3,3,-.097380191,-.30347511,-.99547136,.060945131,.35401827,-.3607071,.45904639,-1.3074093,-1.0454186,-.15791251,-.62936532,-.9067719,.29332697
1209,0,0,6,3,1,3,1,1,3,3,2,2,2,2,2,2,2,2,2,0,0,0,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,.3779611,.38538423,-.63944167,.71610928,1.1644477,.13391142,-.37043741,.12031788,-1.0454186,-.15791251,-.41261625,-.70553201,.85373992
1210,0,0,6,3,2,3,0,0,3,1,2,3,3,0,1,0,0,1,2,0,0,0,2,2,3,3,0,0,3,1,1,3,3,0,1,0,0,1,1,0,0,0,1,0,0,1,3,3,2,1,1,2,1,3,2,3,3,2,2,3,3,3,2,-1.6476616,.062561907,-.51025838,1.1082047,1.6678367,-1.3141685,1.2910428,.4747906,-.60867023,.38296753,-.10880393,-.49146423,.19658166
1211,1,0,6,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,-.097380191,-.30347511,1.2750787,-.33629614,-1.1063514,.13391142,-.3978422,.13861448,1.1643149,-.15791251,-.41261625,-.70553201,.19391057
1213,0,0,6,2,0,3,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,1,3,0,3,1,1,2,0,0,2,1,2,1,1,0,1,1,0,0,0,1,1,2,2,1,1,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,-.097380191,-.69084215,-.63944167,-.61337787,-.063368671,.30900553,.91269797,-.73759902,-.60867023,-.15791251,.66932446,.27994195,.85373992
1214,0,0,6,3,0,3,0,0,3,2,2,3,3,0,3,1,1,0,0,0,0,0,2,3,1,3,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,2,3,1,3,3,3,3,1,2,1,3,3,3,3,-1.11824,.48329258,-.51025838,-.20876113,1.6678367,-1.3141685,1.7652106,.61622185,-1.0454186,-1.5081917,-1.6372836,.71027887,.85373992
