Folio,Género,Edad,Escuela,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60,ThetaImFin,ThetaImTra,ThetaImRisk,ThetaImRen,ThetaImCom,ThetaTenFin,ThetaTenCom,ThetaTenRen,ThetaTenRisk,ThetaTenTra,ThetaDañCom,ThetaDañRen,ThetaDañRisk
291,0,1,2,3,0,3,3,3,3,3,0,2,2,1,1,0,3,0,0,3,3,0,,,,3,0,3,3,0,2,0,0,2,2,0,0,0,3,2,0,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,.73357177,-.69084215,.69742614,-1.3669701,1.1644477,.28722742,.61688149,1.1962969,1.3538454,-.73374397,1.3046293,1.8356935,.85373992
292,0,1,2,0,2,0,2,3,0,2,3,0,2,3,2,3,3,3,3,3,3,3,,,,3,0,3,3,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,3,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1.7510027,.74148583,2.2235711,1.7902701,-2.5741887,.28722742,.61688149,1.1962969,-.52417642,-1.5081917,-.92176819,.038636573,-.7332114
293,0,1,2,2,0,1,1,1,1,0,0,2,2,0,0,0,0,0,0,3,0,2,1,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-.63886213,-1.0197213,.85391676,-1.3669701,-.59237444,-1.3141685,-.87970573,-1.1615962,.85177213,-1.5081917,-.41261625,-.70553201,-1.3770983
294,1,2,2,2,,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-.35268989,-1.987875,.59580809,-1.2084477,-1.3561003,.13391142,-.3978422,.13861448,.56627685,-.15791251,-.41261625,-.70553201,-1.437398
295,1,2,2,1,0,2,1,0,1,2,0,2,2,1,2,2,0,2,0,2,3,3,2,1,0,2,0,0,1,1,1,2,0,0,1,2,0,0,0,3,3,3,2,2,3,1,3,2,2,3,3,3,3,3,2,3,3,3,3,1,2,2,3,-.18751454,.38538423,1.9999131,-1.3669701,-.53177661,-.6191557,.043912798,-.47638983,2.0122693,-.95937544,.54393905,1.8356935,-.70197654
296,1,0,2,2,0,2,1,0,2,0,1,2,1,1,1,1,0,2,0,0,1,0,1,2,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,2,2,1,0,0,1,1,0,0,1,1,2,2,1,2,1,1,1,2,1,2,-.42340261,-.30077508,-.053470343,-.61337787,.10194343,-.13148063,-.43968454,-.15581973,.18250972,-1.5081917,-.6612888,-1.1111498,-1.0863996
297,1,0,2,0,1,2,3,2,1,0,2,0,1,3,0,1,2,1,0,2,1,2,0,1,3,0,2,1,2,0,3,1,2,0,2,1,2,0,2,1,3,1,2,0,2,1,0,1,2,1,0,2,0,2,0,3,1,2,0,2,1,0,3,1.1617794,-.95758206,.9033339,.29391101,-1.2846602,.15042658,-.36143121,1.6949567,.76480877,.08927007,-.10880393,-1.012603,-1.4141567
298,0,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,2,1,3,0,3,3,3,0,2,1,3,1,,2,0,3,2.2146916,1.7746874,1.2241147,1.3535135,1.6678367,2.0837901,1.0474964,1.3679985,2.2641182,1.9080421,.61513573,.041022006,-1.1680121
299,1,1,2,2,0,2,2,2,2,0,0,2,2,1,1,2,1,2,0,0,0,0,0,1,,2,2,2,2,2,2,2,2,1,1,2,1,1,1,0,0,0,0,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,0,0,0,0,.65632522,.11538603,-.99547136,-1.3669701,.10194343,.75501257,.28419363,.67537445,-1.0454186,.15104237,-.41261625,-.2664136,-2.3961639
300,1,2,2,2,1,2,1,0,1,1,0,0,2,0,1,0,0,1,2,0,3,1,0,1,1,2,1,0,1,0,1,0,1,1,1,0,0,0,0,0,2,1,1,1,2,1,0,0,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,-1.1161851,-.30347511,.5739553,-.18843907,-.86480457,-.3607071,-.44069237,-.15581973,.448026,-.54590893,-.058889568,1.4012246,-.11071451
301,1,0,2,1,2,3,2,2,2,0,2,3,2,1,2,2,3,2,2,3,2,2,1,1,2,3,2,2,3,0,2,3,2,2,2,2,3,2,2,2,2,3,0,1,3,1,2,2,1,1,2,2,2,2,2,2,3,2,2,3,2,3,2,.65632522,.38538423,1.2639238,1.1082047,.45221648,.92632848,1.1232271,1.0499284,1.3226696,.74703431,-.2298331,.26004535,-.30504405
302,1,1,2,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.78076053,1.7746874,2.4054384,2.3485227,1.175627,.13391142,-.059210666,.4747906,.43908387,-.15791251,-.41261625,-.70553201,-1.3770983
303,1,2,2,0,1,0,2,1,1,0,0,2,0,2,0,1,0,0,0,1,3,3,3,,,1,1,2,0,0,1,1,2,1,1,3,1,2,1,0,3,2,2,1,2,0,0,0,1,1,1,0,2,1,1,0,2,1,2,3,1,1,0,.39118069,-1.987875,2.0141737,-.6840384,-1.1999205,.67270529,-.7064628,.12031788,1.0698364,.51029098,-.9893173,-.24777743,-1.3449335
304,1,0,2,0,0,1,2,2,0,2,0,1,1,1,2,0,0,0,0,2,0,0,2,1,1,1,3,1,1,1,2,1,0,0,0,0,0,1,1,2,2,1,3,3,3,3,3,3,3,1,0,1,0,0,0,3,3,3,2,2,0,0,1,.2315612,-.85581672,-.086380318,-1.3669701,-1.7929667,.01100006,-.3978422,.59561199,.80885398,-.84079105,1.5667353,-.28309837,-1.8534824
305,1,1,2,2,0,2,1,0,2,2,0,3,1,1,3,2,1,1,0,0,0,2,1,,,1,0,2,2,1,2,1,3,3,3,2,1,3,0,3,1,2,1,1,3,2,3,3,0,2,3,3,2,3,3,3,3,3,3,3,3,3,3,-.18751454,-.2496208,.46919632,-1.3669701,.34200382,.76464069,-.075047798,.36215097,.93295753,1.9080421,.12057447,1.1003683,.85373992
306,1,0,2,1,0,1,1,2,1,1,1,1,2,2,1,1,1,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,2,1,.40537181,.11538603,.46919632,-.61337787,-1.1063514,-.16626613,-1.8047668,-1.3074093,.58605242,-.915501,-1.0961186,-1.5057747,-1.10663
307,1,2,2,1,2,3,0,0,3,2,0,0,2,0,2,2,2,1,1,3,1,0,1,2,1,0,0,1,1,1,0,0,1,0,1,0,2,3,2,0,3,1,3,1,0,0,2,1,0,1,2,1,1,3,2,1,1,0,2,1,3,1,0,-.91372836,-.029092822,.30057755,-.039317548,.23948067,-.62992817,-.68972141,-.13175173,.70793867,.36767176,-1.2640496,-.56535971,-1.1014143
308,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,3,3,3,3,-.097380191,-.69657743,.57185948,.060945131,-.89935899,-1.3141685,-1.8047668,-1.3074093,-1.0454186,-1.5081917,-1.1308824,-1.047425,.85373992
309,0,1,2,0,1,0,2,0,2,2,2,0,2,2,1,1,2,3,0,0,0,0,0,1,1,0,1,2,3,2,1,0,0,0,1,2,2,2,2,0,0,1,0,1,1,0,1,1,0,2,2,0,0,1,1,0,2,1,3,1,2,3,2,.10894707,.43542629,-.99547136,.29391101,-1.3937287,.36124229,-.59654182,.39533228,-.077283129,-.10183399,-1.5037563,-.094457902,-.48591539
310,0,2,2,0,1,2,3,3,3,3,3,1,2,2,0,0,1,2,2,2,0,3,0,0,0,0,1,2,2,2,2,0,0,1,2,3,2,1,0,1,2,0,2,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,,1.1281778,-.061504092,.93543792,1.0930775,-.060843017,.67270529,-1.0734205,-.019228527,.2858032,-.18547791,-.1003437,1.3250932,.67742181
311,0,0,2,2,3,3,3,2,1,1,1,2,2,2,3,3,3,3,3,2,2,1,2,3,3,2,2,2,2,2,3,2,2,3,2,1,2,2,2,2,3,3,3,3,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,3,2,2,1,1.4007336,1.1132348,.91039222,1.2182683,-.063368671,.92734808,.65930396,1.6949567,1.9950857,.74703431,-.15714732,.27994195,-.75310647
312,1,0,2,3,1,2,1,3,3,2,1,3,3,3,3,3,1,3,3,1,0,0,2,2,3,0,3,3,3,3,3,3,3,3,3,3,0,3,3,3,2,0,3,0,3,1,3,3,0,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1.5715905,1.7746874,-.16658109,.3640945,1.175627,2.0837901,.69759917,2.1275382,.57146353,1.9080421,-.87727588,1.8356935,.85373992
313,0,1,2,3,2,2,2,1,2,2,2,3,2,2,2,2,1,2,2,0,0,0,0,3,2,2,1,1,2,1,1,2,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,.62945664,.38538423,-.99547136,1.1082047,.56068313,.13391142,.65930396,.37065184,-1.0454186,-.15791251,-.41261625,-.70553201,.85373992
314,,,2,2,0,3,1,0,3,0,0,2,3,0,2,1,1,2,3,0,0,0,1,2,0,3,0,0,3,0,0,2,1,0,3,1,0,2,3,3,0,0,2,0,3,0,3,3,0,3,3,3,3,3,3,2,0,3,0,2,3,3,3,-.74064142,.82388866,-.63944167,-.70078212,.87887013,-.75863916,.94458497,-.49108499,-.065997988,.69796032,-1.3095365,1.2329161,.29332697
315,1,2,2,2,2,2,2,2,2,0,2,2,2,2,3,2,2,2,2,2,2,2,2,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.89297241,.65682626,1.2695934,1.1082047,.10194343,-1.3141685,-.62906647,-1.1615962,-.39616859,-1.5081917,-.41261625,-.70553201,-1.3770983
316,0,0,2,1,1,2,3,1,1,2,1,1,2,2,1,3,0,1,1,2,0,0,0,1,1,2,2,1,1,1,1,1,1,2,1,2,0,1,1,2,0,0,0,1,3,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,3,3,3,1.1340637,-.30347511,-.45788157,.060945131,-.83671588,.70999902,-.1997651,.13861448,-.52417642,-.15791251,-.038300436,-.25294566,.29332697
317,1,0,2,2,0,2,1,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,0,3,,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,2,2,2,2,3,,2,3,2,2,3,3,3,3,.13203666,.38538423,-.99547136,-.13364337,.10194343,-1.3141685,1.7652106,-1.1615962,-1.0454186,-1.5081917,.68207657,.27994195,.85373992
318,1,1,2,2,1,3,3,1,2,1,0,2,3,1,2,1,2,3,2,0,0,0,0,,,2,2,1,2,3,1,2,1,3,3,1,1,2,2,2,2,3,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,.32283819,1.3001554,-.99547136,-.18843907,.35401827,.65776265,.45034689,.43690515,1.5416369,.69796032,-.02731378,-.018128218,-1.0126867
319,1,1,2,1,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,3,3,1,3,3,3,3,3,3,3,3,3,3,3,-.83478117,-1.987875,-.52927154,-1.3669701,-.62683851,-1.3141685,-.16388576,-1.3074093,-.47984353,-1.5081917,-1.6372836,1.8356935,.85373992
320,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,0,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,0,1,2,1,2,1,1,.12734142,.38538423,.72746569,1.1082047,-.16420048,.13391142,-.3978422,.84348106,.56318593,.098328598,-.41261625,-.14675111,-1.1855509
321,1,1,2,2,1,2,3,3,2,2,1,3,2,0,1,2,2,1,2,2,1,3,3,2,2,2,1,1,2,2,1,2,1,1,1,2,3,1,2,3,1,3,1,0,2,0,0,1,0,1,1,0,2,1,2,1,1,1,2,3,1,2,3,1.0500056,-.30347511,1.5515894,.26141039,.34200382,.30064252,.4715873,.64429754,1.3722277,-.15791251,-1.9852479,-.24777743,-.74071825
322,1,0,2,2,0,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,-1.6476616,-.5275709,-.99547136,-1.3669701,-1.1064681,-1.2573404,-.88645166,-1.3074093,-1.0454186,-1.5081917,-.31544679,1.8356935,.85373992
323,1,1,3,2,1,2,2,0,2,1,1,2,2,0,2,0,2,2,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,-.83478117,.38538423,1.2582557,.060945131,.10194343,-1.3141685,-1.8047668,-1.3074093,.76788616,-1.5081917,-.41261625,-.70553201,-.13058285
324,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1,1,2,2,1,3,3,3,2,1,2,3,2,2,3,3,3,2,-1.6476616,-1.987875,-.63944167,-1.3669701,-1.3924301,-.3355059,-1.1201427,.12031788,-1.0454186,-1.5081917,.31495366,.69249964,.19658166
325,0,0,3,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-.097380191,-.69657743,-.053470343,.060945131,.61573213,.13391142,.04665741,.13861448,-.1484828,-.15791251,-.41261625,-.54494822,-.7332114
326,1,1,3,1,1,2,1,1,2,1,1,1,2,0,1,2,0,1,1,0,0,0,,1,1,2,1,1,2,1,2,2,1,1,1,2,,1,1,0,0,0,,2,2,1,1,1,2,1,2,3,1,1,1,1,3,1,1,3,,3,3,-.11402199,-.30347511,-.84250778,.060945131,-.36059564,.30064252,.28419363,.59561199,-.92763287,-.15791251,.54393905,-.3465209,.82038397
328,0,0,3,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,0,0,0,0,0,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,3,3,3,3,.62945664,-.029092822,-.99547136,.060945131,-.89935899,.4896912,-.16404814,.13861448,-1.0454186,.098328598,.29128033,-.3971526,.85373992
329,1,0,3,1,2,3,3,3,3,1,1,3,3,3,2,3,1,3,2,0,0,0,0,1,2,3,3,3,3,2,2,3,3,3,3,3,1,3,2,0,0,0,0,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,0,3,3,3,3,2.2146916,1.3001554,-.99547136,.6578995,1.106205,2.0837901,1.1232271,1.0499284,-1.0454186,1.9080421,-.41261625,-.8864311,.85373992
330,1,0,3,2,0,2,2,2,3,2,0,3,2,0,3,3,2,2,0,0,0,2,2,3,0,3,1,1,3,0,0,3,1,1,3,1,3,1,3,2,2,3,3,1,1,1,1,1,2,0,1,1,2,1,2,1,2,1,1,0,0,0,0,.70219988,.65682626,.59703606,-1.3669701,.88185877,.13391142,1.7652106,-.49108499,1.6647376,.26397517,-.038300436,-.71743196,-2.3961639
332,0,0,3,3,2,1,0,0,2,1,2,2,2,0,2,0,1,2,2,2,0,1,0,0,2,0,0,0,1,1,2,1,2,0,2,0,1,2,1,2,0,1,0,1,2,2,2,2,1,2,2,3,3,2,2,3,3,3,2,3,3,3,3,-1.6476616,.38538423,.24071483,1.1082047,.063499771,-1.3141685,-.88645166,.82661676,.16373016,.74703431,.34656614,.58237112,.85373992
333,1,1,3,2,2,3,0,0,2,2,3,2,2,0,2,2,1,2,1,0,0,1,1,1,0,1,0,0,3,0,0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,0,2,2,0,2,0,0,2,2,2,0,3,2,2,3,3,1,2,-.91372836,.38538423,.10930122,1.3034314,.35401827,-.58869231,-.025412202,-1.3074093,.19529928,-1.5081917,-1.9852479,-.30599758,-.66792744
334,0,0,3,3,0,3,2,1,3,0,0,3,1,1,0,1,0,0,0,0,0,0,0,3,0,3,1,1,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,.15372747,-1.4416487,-.99547136,-1.3669701,1.6678367,.13391142,1.7652106,-1.3074093,-1.0454186,-1.5081917,1.4301853,1.8356935,.85373992
335,0,0,3,0,0,2,0,0,1,1,1,1,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,3,0,3,0,0,0,0,0,1,1,1,3,2,2,2,3,1,0,1,3,0,1,1,3,3,1,3,2,2,2,1,-1.6476616,.062561907,-.053470343,-.61337787,-.97971839,-1.3141685,-.37850922,-.47638983,.32792392,.74630004,.72752053,-.62840641,-.8243072
336,1,1,3,2,0,2,0,0,2,3,2,2,2,2,2,0,1,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,3,3,0,1,1,0,0,1,0,2,3,0,1,0,0,2,1,-.92786676,.38538423,-.24675885,.39344689,.10194343,-1.3141685,-1.3203321,-.73759902,-.15727352,-.44072965,-1.9852479,-.99891257,-1.3543824
337,1,1,3,2,2,2,0,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,2,2,1,2,0,0,1,1,0,1,0,1,0,0,0,0,0,3,0,0,0,1,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,.084323503,-.72696233,-.51025838,.74141425,.10194343,-.72661936,.020132389,-.78059703,-.47984353,-1.5081917,.77704906,.82702154,-.7332114
340,0,0,3,2,0,2,1,0,1,1,1,1,2,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,3,3,3,3,-.74064142,-.30347511,-.99547136,-.61337787,-.62542987,-.75863916,-.3978422,-.15581973,-1.0454186,-.15791251,.48042354,-.23746957,.85373992
343,0,1,3,3,1,3,0,0,1,0,0,1,2,0,1,0,0,0,1,1,1,1,1,3,2,3,0,0,1,0,1,1,1,0,1,0,0,0,1,2,2,2,1,1,0,1,2,2,1,0,3,1,1,2,1,1,3,0,1,2,2,2,2,-1.6476616,-.69084215,.57185948,-.39366832,-.20090257,-1.3141685,.41443399,.37065184,1.0078679,-.54590893,-.41261625,-.94384998,-.7332114
344,1,0,3,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,0,0,0,0,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,0,0,0,0,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,0,0,0,0,.39118069,-.69657743,-.99547136,.060945131,-.81044316,.53873092,-.16404814,.13861448,-1.0454186,-.15791251,-.2298331,-.70553201,-2.3961639
346,1,1,3,2,1,3,3,3,3,3,1,3,3,2,3,2,1,3,2,3,0,0,0,1,1,3,3,3,3,3,1,3,3,3,3,2,1,3,1,3,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.444701,1.7746874,-.41616753,.26141039,1.286094,1.6633348,1.1232271,.13861448,-.47984353,1.9080421,1.4301853,1.8356935,.85373992
347,0,0,3,2,2,1,2,1,3,2,1,2,1,2,2,2,1,1,2,0,0,0,3,3,1,1,2,2,3,2,1,2,1,1,1,2,3,1,2,0,0,0,3,0,1,1,2,2,1,1,1,2,1,2,2,2,3,0,1,3,2,2,2,.62945664,-.43163079,-.46330625,.6578995,.3322486,.75501257,.76318473,.39533228,-.46937302,-.15791251,-.48835084,-.84991193,-.66022825
348,1,1,3,2,0,1,2,2,1,3,1,3,2,2,2,2,2,1,0,3,0,1,0,3,1,2,2,3,1,2,2,3,2,1,2,3,1,2,2,3,0,1,2,0,2,0,0,1,0,2,2,1,0,0,0,1,2,1,1,1,2,3,3,.89297241,-.029092822,.29195902,-.61337787,-.40336224,1.1524382,.69043964,.84348106,.4554401,.74703431,-1.6372836,-.27551457,-.3382099
349,1,0,3,2,0,2,2,2,3,2,0,3,3,0,3,0,1,1,0,3,3,3,3,2,0,0,0,0,2,1,0,3,3,0,3,0,1,1,0,3,3,3,3,1,3,1,3,3,2,3,3,2,2,2,0,2,3,2,3,3,3,3,0,-.075739555,.72359467,2.4054384,-1.3669701,.88185877,-1.3141685,.39439654,-1.3074093,2.2641182,1.0111837,.12732689,1.0827112,.064692363
351,1,0,3,1,1,2,0,0,3,2,1,2,1,1,1,0,1,1,1,0,0,0,2,1,0,2,0,0,2,1,1,2,1,0,1,0,1,1,1,0,0,0,1,2,2,2,3,3,2,2,3,1,2,3,3,2,2,2,2,3,2,2,2,-1.1011205,-.69657743,-.51025838,.060945131,.36106741,-1.3141685,.28419363,-.12802431,-.60867023,-.15791251,.57007724,.4975889,-.66022825
352,1,0,3,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,2,1,3,3,1,3,1,3,1,3,3,3,3,3,3,2,-1.11824,-1.113391,.013697047,-1.3669701,-1.1063514,-1.3141685,-.3978422,-1.3074093,-.61685443,-1.5081917,-.41261625,1.8356935,.19658166
353,,0,3,3,0,1,1,0,2,2,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,3,1,2,1,1,0,1,1,1,1,2,2,2,2,-.42340261,-.30347511,-.99547136,-1.3669701,-.24321792,-1.3141685,-1.8047668,-1.3074093,-1.0454186,-1.5081917,-.10880393,-.37240234,-.7332114
354,0,0,3,2,0,2,1,0,3,2,0,1,1,0,2,2,2,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,-.51649112,-.85581672,.59834313,-.70078212,.26983801,-1.3141685,-1.8047668,-1.3074093,.21066555,-1.5081917,.68207657,.27994195,.85373992
356,0,0,3,0,1,3,0,0,1,1,2,2,2,0,0,0,0,1,2,0,0,0,1,2,1,3,0,0,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,-1.6476616,-.5275709,-.63944167,.71610928,-.42250025,-1.3141685,.7141872,.13861448,-1.0454186,-.915501,.49797463,.49025512,.85373992
357,0,1,3,2,2,2,1,0,1,1,0,1,3,2,2,2,1,1,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,2,0,0,0,0,1,1,1,1,2,1,1,1,2,2,1,1,0,1,2,2,2,3,2,2,.078710243,.38339761,-.99547136,.26237741,-.62542987,-1.3141685,-.97180438,.39533228,-1.0454186,-.15791251,-.2298331,-.22036497,-.50325829
358,0,0,3,2,1,2,2,0,1,2,1,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,1,0,1,3,3,3,2,3,1,2,1,3,3,3,3,-.14846925,-1.2884811,-.99547136,.060945131,-.31930208,-1.3141685,-1.8047668,-1.3074093,-1.0454186,-1.5081917,.61513573,-.45948982,.85373992
359,0,0,3,1,0,3,1,0,0,2,1,2,3,3,3,3,2,1,1,3,3,2,1,0,2,1,0,2,3,1,3,3,0,3,3,3,0,1,2,3,2,1,0,3,3,2,2,2,1,3,3,3,2,3,3,3,3,2,3,3,3,3,3,.46358606,.72359467,1.507861,-.33629614,-.66084754,.98997146,.35563445,1.4357656,.58330214,-.033772152,.72752053,1.0827112,.85373992
360,1,1,3,3,1,2,1,0,3,2,1,1,2,1,2,0,1,1,1,0,2,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-.72029686,-.029092822,.57947499,.060945131,.52001357,-.69204277,-.91629446,-.15581973,-.50430375,-.915501,.68207657,.27994195,-.7332114
361,0,1,3,3,0,2,2,0,3,3,1,3,2,0,2,3,0,2,1,2,2,1,3,3,1,2,0,0,3,3,1,2,3,0,2,0,0,0,0,3,2,1,3,0,2,1,3,3,2,1,2,3,2,2,1,3,2,2,0,2,3,3,2,-.04181945,.38538423,.97403967,-.33629614,1.175627,-1.3141685,.92694628,-.15581973,.89723152,.37597486,.085328393,-.11930694,-.050527688
362,1,2,3,1,1,2,1,1,2,1,0,2,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,2,2,2,2,-.097380191,-.30347511,.10930122,-.6840384,-.078076527,.098560549,-.88645166,-1.3074093,.23388515,-.54590893,-1.0431606,-1.0118945,-.7332114
363,0,0,3,1,2,3,2,1,1,1,3,1,0,0,2,0,2,2,2,1,3,2,2,2,3,0,2,0,3,2,2,2,0,2,1,1,0,1,3,3,3,2,0,1,2,2,1,1,3,2,3,3,2,2,3,2,2,2,3,3,3,3,3,-.34421211,-.17201872,1.3931187,1.5402211,-.65272862,.30599222,.40232435,1.4541954,1.1374383,-.46417281,1.0044407,.68609071,.85373992
364,0,0,3,2,1,1,1,0,1,2,2,2,2,1,2,2,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,2,0,0,0,2,1,2,1,0,0,1,1,1,1,1,2,2,0,0,2,0,0,0,2,1,2,0,2,3,3,2,-.18751454,-.029092822,-.28319564,.49195027,-.59237444,-1.3141685,-.3978422,.39533228,-.31734896,-.10768057,.12732689,-1.4064941,-.050527688
365,0,0,3,2,0,3,2,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,3,1,2,2,2,2,3,3,2,3,2,3,3,2,2,3,-.45785403,-1.4416487,-.99547136,-1.3669701,.35401827,-.69204277,-.1997651,-1.3074093,-.39616859,-.915501,-.48835084,.43756738,-.55057013
