Folio,Género,Edad,Escuela,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8,ThetaPE,ThetaCI
228,0,1,2,2,2,0,0,3,3,1,2,.6538915,-.95542222
229,1,1,2,0,1,1,1,1,1,1,2,-.9690001,-.53172952
230,1,1,2,3,3,3,3,3,3,3,3,1.5962187,2.1848817
231,0,1,2,3,1,1,0,2,2,1,2,-.33721483,-.46411964
232,0,1,2,2,2,1,2,1,1,1,1,-.96225196,.11516648
233,0,1,2,3,2,3,3,2,0,3,0,-.94959563,2.1848817
234,1,1,2,3,3,3,3,3,3,3,3,1.5962187,2.1848817
235,1,2,2,3,2,3,2,3,2,1,2,.3194226,.90383095
236,0,0,2,2,1,1,1,2,1,1,1,-.88684392,-.23124489
237,0,1,2,0,2,0,0,2,0,0,2,-.43342707,-1.9067848
238,0,1,2,2,2,2,2,2,2,2,2,-.064017087,.77397722
239,1,1,2,3,2,0,3,3,0,2,3,.41775244,.8022697
240,0,1,2,2,1,1,1,2,1,3,1,-.88684392,.34032068
241,1,1,2,0,2,1,1,3,2,0,2,.3194226,-.91184765
242,0,2,2,1,0,1,1,1,0,0,0,-1.9322553,-.73411167
243,1,1,2,2,2,1,0,2,2,1,2,-.064017087,-.57591611
244,1,0,2,1,3,0,0,2,2,0,2,.22404699,-1.6141624
245,0,1,2,1,2,1,1,2,2,1,3,.25828463,-.39136755
246,0,0,2,0,1,2,1,2,1,1,2,-.60401618,-.20908786
247,1,1,2,1,1,2,1,1,0,2,1,-1.4068148,.27232775
248,1,1,2,2,1,1,2,0,0,1,3,-1.3638792,.11516648
249,1,2,2,2,2,2,1,1,2,3,3,-.12513666,.72206837
250,1,1,2,2,1,2,2,1,2,2,1,-.99113524,.77397722
251,0,1,2,2,1,1,1,1,2,1,1,-.99113524,-.23124489
252,1,1,2,2,2,2,1,2,2,2,1,-.3280234,.44280446
253,1,0,2,2,2,2,1,2,2,2,1,-.3280234,.44280446
254,1,1,2,0,1,1,1,0,1,1,2,-1.2707134,-.53172952
255,1,1,2,2,2,2,2,2,2,2,2,-.064017087,.77397722
256,1,0,2,2,2,1,2,2,2,1,2,-.064017087,.11516648
257,1,0,2,1,2,1,1,2,1,0,1,-.59841353,-.73411167
258,1,1,2,0,1,1,1,2,2,2,2,-.33721483,-.19130896
259,1,1,2,1,1,1,1,1,2,2,2,-.72197121,-.060038511
260,1,0,2,3,2,0,0,2,2,1,2,-.064017087,-.85925108
261,1,0,2,3,3,1,1,3,3,1,0,.86303353,-.1127855
262,1,0,2,2,1,2,2,3,2,2,1,-.29803103,.77397722
263,1,0,2,2,3,1,1,3,2,2,1,.44960594,.11393275
264,1,0,2,3,3,2,0,2,2,3,3,.58610678,.73628974
265,1,0,2,2,2,1,1,2,2,1,2,-.064017087,-.23124489
266,1,0,2,2,2,2,2,2,2,2,2,-.064017087,.77397722
267,1,1,2,1,2,1,1,2,2,1,2,-.064017087,-.39136755
268,1,0,2,1,1,2,0,3,2,0,3,.45190403,-.85362756
269,1,0,2,1,1,1,0,2,0,0,2,-.76226717,-1.1605165
270,1,2,2,1,2,1,1,2,2,1,3,.25828463,-.39136755
271,0,0,2,3,3,3,3,1,3,3,1,-.16723306,2.1848817
272,1,0,2,1,2,1,2,2,1,2,1,-.59841353,.30004558
273,1,0,2,2,1,2,2,1,1,1,2,-.9690001,.44643846
274,0,0,2,2,1,3,0,2,1,3,2,-.60401618,.88752729
275,1,1,2,3,2,3,2,3,2,2,3,.70286113,1.2419208
276,1,1,2,3,2,3,0,1,1,0,3,-.42610797,-.30915633
277,0,1,2,0,2,2,1,3,1,3,2,.057511143,.41164044
278,1,1,2,2,2,1,1,2,1,2,2,-.31552058,.11393275
279,0,0,2,1,1,1,1,2,1,1,2,-.60401618,-.39136755
280,0,3,2,3,3,1,2,2,1,2,1,-.33259287,.63483679
281,0,1,2,2,3,3,3,3,3,2,3,1.5962187,1.4253008
282,1,1,2,2,2,0,1,3,3,1,3,1.0915484,-.53172666
283,0,1,2,1,2,1,1,2,2,1,2,-.064017087,-.39136755
284,0,1,2,1,1,1,1,1,1,1,1,-1.2106394,-.39136755
285,1,0,2,2,0,1,3,1,3,1,2,-.64627576,.34226528
286,1,0,2,1,3,3,1,2,2,2,3,.58610678,.50003147
287,1,0,2,2,1,1,1,2,2,1,2,-.33721483,-.23124489
288,0,3,2,3,3,3,3,3,2,3,3,1.0983543,2.1848817
289,1,1,2,1,1,1,1,0,0,1,0,-2.09743,-.39136755
290,1,0,2,2,1,1,2,2,2,0,2,-.33721483,-.19147244
291,0,1,2,3,3,3,3,3,3,3,3,1.5962187,2.1848817
292,0,1,2,2,3,1,2,3,3,3,3,1.5962187,.75722933
293,0,1,2,3,1,1,2,0,1,2,0,-1.7839738,.63483679
