Folio,Género,Edad,Escuela,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15,ThetaBA,ThetaCon,ThetaDD
62,0,2,1,3,2,0,1,3,1,3,1,3,3,3,1,2,0,2,1.1242504,.696024,-.71527869
63,1,2,1,2,1,0,1,1,2,3,1,2,1,2,0,1,0,1,-.67925137,-.37750062,-.91924
64,0,2,1,3,3,1,1,2,2,3,2,3,2,3,1,2,3,1,.083516158,.696024,-.052051567
65,1,2,1,2,2,0,1,1,2,3,1,2,1,1,1,2,1,2,-.42456412,-.53562415,-.71527869
66,0,3,1,2,2,0,1,2,2,3,1,1,2,3,1,2,1,2,.30029538,.48924264,-.71527869
67,1,2,1,3,3,1,1,1,2,3,1,3,1,3,2,2,2,1,-.67925137,.696024,-.19963144
68,0,1,1,3,3,2,2,2,2,3,2,3,1,3,2,3,2,2,-.065269858,1.1779282,.78642613
69,0,1,1,2,2,0,1,2,2,3,1,2,3,3,1,2,2,3,.95408219,.48924264,-.71527869
70,0,3,1,3,1,3,3,3,3,3,3,3,2,1,1,2,3,1,.42178065,-.39397252,1.6543667
71,1,2,1,3,1,2,2,1,0,3,2,2,0,2,1,3,2,1,-1.1166126,.18607888,.62952048
72,0,1,1,3,3,1,2,2,2,2,1,2,2,3,1,3,2,2,.30029538,.33166075,.034030739
73,1,1,1,2,3,3,3,1,3,3,3,3,1,3,2,2,3,1,-.67925137,.48924264,1.814014
74,0,1,1,1,2,2,1,0,2,3,2,3,0,2,1,1,1,0,-2.0075986,-.4808217,.2281201
75,0,2,1,2,3,2,1,1,3,3,1,2,0,3,1,2,2,0,-1.4391522,.48924264,-.12857406
76,0,2,1,1,2,1,2,1,3,3,2,2,1,3,1,1,1,1,-.67925137,.12768142,.37111124
77,1,2,1,2,1,1,1,2,2,3,2,1,1,1,0,2,1,3,.13534772,-.53562415,-.20324881
78,0,2,1,3,1,1,1,2,2,3,1,2,1,3,1,1,1,2,-.065269858,.45528537,-.39816651
79,0,2,1,2,3,0,0,2,1,3,1,2,1,3,1,2,0,2,-.065269858,.48924264,-1.2284092
80,1,2,1,3,1,1,1,3,3,3,1,3,2,2,1,1,2,1,.42178065,-.26127809,-.39816651
81,0,2,1,3,2,0,1,2,1,3,2,1,1,3,0,2,0,2,-.065269858,.696024,-.5460732
82,1,2,1,2,2,2,1,1,2,2,1,2,2,3,1,1,1,2,-.010361644,-.28296947,-.12857406
83,0,2,1,3,2,1,3,1,3,3,2,0,0,3,2,3,0,0,-1.4391522,1.1779282,.83640635
84,0,2,1,3,3,3,2,3,2,3,2,3,1,3,3,3,2,3,.56374979,1.1779282,1.1650928
85,1,3,1,1,2,0,3,0,1,3,1,0,1,2,1,3,0,0,-1.3619994,-.075038873,-.10481983
86,0,2,1,3,0,2,2,3,3,3,3,3,3,3,1,1,3,3,1.5584854,.45528537,.90143162
87,1,1,1,2,2,1,1,0,2,3,2,2,3,3,0,3,1,1,-.32082492,.89192474,-.20324881
88,0,1,1,3,1,2,1,3,3,3,2,2,3,3,2,3,3,3,1.5584854,1.1779282,.41724724
89,0,2,1,1,1,1,0,2,3,3,1,2,2,3,0,2,1,2,.30029538,.36349842,-1.0729505
90,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,.30029538,-.72431529,-.12857406
