Folio,Escuela,Género,Edad,Ag1,Ag2,Ag3,Ag4,Ag5,Ag6,Ag7,Ag8,Ag9,Ag10,Ag11,Ag12,Ag13,Ag14,Ag15,Ag16,Ag17,Ag18,Ag19,Ag20,Ag21,Ag22,Ag23,Ag24A,Ag24B,Ag24C,Ag24D,Ag24E,Ag25,Ag26,Ag27,Ag28,Ag29,Ag30,Ag31,Ag32,Ag33,Ag34,Ag35,Ag36,Ag37,Ag38,Ag39,Ag40,Ag41,Ag42,Ag43,Ag44,Ag45,Ag46,Ag47,Ag48,Ag49,Ag50,Ag51,Ag52,Ag53,Ag54,Ag55,Ag56,AgrBer,AgrProv,AgrFuria,PrConsNegAgr,ImpConsNegAgr,ExpConsNegAgr
410,3,0,0,0,1,1,0,1,3,2,1,3,3,2,0,1,1,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,1,0,1,3,2,1,2,2,1,1,2,3,0,1,1,2,2,2,0,1,0,0,1,1,2,1,0,0,0,0,.5966452956199646,-.47517884,-.72042376,14,15,8
411,3,0,0,1,4,0,2,0,3,2,1,3,2,1,1,3,2,3,1,4,4,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,3,2,1,1,3,2,1,2,1,2,1,2,1,2,2,0,0,2,0,0,0,1,0,1,-.4684528708457947,-.92270309,.45600644,16,16,12
412,3,0,0,3,0,0,1,0,3,1,3,3,1,1,3,3,3,2,2,3,1,1,2,2,1,1,0,0,0,0,1,3,0,2,2,1,0,0,0,0,0,3,0,3,0,3,0,3,3,0,3,0,1,2,2,3,2,0,1,1,3,1,1,.782260000705719,1.1974455,1.283047,20,6,15
414,3,,0,0,1,1,1,1,3,2,3,2,2,2,3,2,0,2,,0,0,0,2,2,2,2,1,0,0,0,0,0,0,1,0,1,3,2,3,3,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.47517884,-.72042376,17,22,0
415,3,0,0,1,1,1,1,1,3,1,0,1,2,1,1,3,1,3,3,3,0,0,2,3,2,0,0,1,0,0,0,0,1,1,1,2,2,1,1,3,3,2,1,3,1,0,2,1,2,0,1,1,3,1,1,2,0,2,0,0,3,0,0,.2727095782756805,.55041903,.11550494,12,16,9
417,1,0,1,2,1,1,1,1,1,0,2,3,0,2,1,1,1,2,1,4,2,0,2,1,1,1,0,1,0,0,1,1,0,0,0,0,3,0,2,1,3,2,2,2,2,0,0,1,1,0,0,0,0,2,0,3,2,2,3,0,0,0,0,1.760729908943176,-.096758984,-.72042376,11,17,4
418,1,0,2,1,0,0,1,1,3,0,3,3,3,3,2,3,3,3,2,4,0,0,3,3,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,2,3,1,0,2,2,1,0,1,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,-.0494720451533794,-.47517884,-.72042376,23,14,5
419,1,1,3,1,1,0,1,1,3,0,3,3,3,3,2,3,3,1,1,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,23,15,0
420,1,0,1,1,1,0,1,2,0,0,3,3,3,3,3,3,3,1,1,3,0,2,3,2,3,0,1,0,0,0,0,0,0,1,0,2,0,0,1,2,0,2,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-.5373052954673767,-.47517884,-.72042376,21,11,1
421,1,1,1,3,3,1,1,0,2,1,2,2,2,2,1,2,2,2,1,2,4,0,3,2,1,0,1,0,0,0,0,1,0,0,1,0,3,0,1,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,.4345725476741791,.28144521,-.72042376,15,15,0
