Folio,Escuela,Género,Edad,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75,PrConsPosSex,PrConsNegSex,ImpConsPosSex,ImpConsNegSex,ExpConsPosSex,ExpConsNegSex,SexCompromiso,SexIncid
819,7,0,1,3,0,2,1,3,3,0,2,0,1,0,0,3,0,3,1,1,1,3,2,3,3,3,2,3,2,3,3,2,2,0,1,1,3,3,1,2,0,0,0,3,1,4,4,4,0,0,0,1,1,2,0,3,1,3,3,2,1,3,3,3,1,1,3,0,1,1,0,1,1,1,1,1,2,4,3,3,1,2,2,12,7,15,6,3,.1033781766891479,.82898462
1382,8,0,1,3,0,1,2,1,3,0,2,0,1,0,1,2,1,1,2,0,0,2,0,3,2,3,2,3,1,2,2,1,2,0,1,0,3,3,2,2,0,1,0,3,1,4,4,4,1,1,0,1,0,0,0,2,2,1,3,0,0,3,3,3,3,3,3,0,0,2,0,2,2,2,1,1,4,3,1,1,0,2,3,5,5,13,6,2,1.283545017242432,.87021011
495,4,0,1,1,0,2,2,0,2,0,0,0,0,0,0,3,1,3,0,1,0,3,3,3,1,3,1,2,1,3,3,2,1,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2,2,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,13,3,14,2,0,,-.86504501
733,7,0,1,1,0,3,3,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,3,0,3,0,3,0,3,3,0,3,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,0,15,0,0,,-.86504501
717,5,0,1,1,0,1,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,3,3,3,2,3,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,15,0,0,,-.86504501
548,5,0,1,1,0,1,3,0,0,0,0,0,0,0,0,3,0,3,1,3,1,3,3,3,1,3,1,3,1,3,3,3,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,0,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,15,3,15,0,0,,-.86504501
1544,8,0,1,3,0,3,2,1,3,0,2,0,3,0,0,1,2,1,1,1,2,1,0,2,2,2,2,2,2,2,2,0,2,1,1,0,3,3,2,2,0,0,1,3,1,4,4,4,1,0,0,1,0,0,0,2,1,2,3,0,2,3,3,3,3,3,3,1,1,2,0,1,2,2,1,1,4,3,2,1,1,2,5,4,6,10,8,1,1.283545017242432,.87021011
1547,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,3,3,3,3,3,3,3,3,1,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,3,3,3,3,3,3,1,1,0,1,0,0,4,0,0,0,0,0,0,0,2,3,3,9,15,0,0,,-1.2970114
774,7,0,1,1,0,0,2,0,0,0,0,0,0,0,0,3,1,2,1,2,1,3,2,3,1,3,1,3,2,3,3,1,1,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,3,12,4,15,0,0,,-.86504501
470,4,0,1,0,0,2,3,0,0,0,0,0,0,0,0,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,2,3,3,3,3,2,3,1,1,0,0,0,0,4,0,0,0,0,0,0,3,2,7,15,9,15,0,0,,-1.2970114
