Folio,Sexo,Edad,Escuela,P1,P2,P3,Psum,ThetaCR
237,0,1,2,0,0,0,0,-.38948628
238,0,1,2,0,0,0,0,-.38948628
239,1,1,2,0,0,0,0,-.38948628
240,0,1,2,0,0,0,0,-.38948628
241,1,1,2,0,0,0,0,-.38948628
242,0,2,2,0,0,0,0,-.38948628
243,1,1,2,0,0,0,0,-.38948628
244,1,0,2,0,1,1,2,1.4384145
245,0,1,2,0,0,0,0,-.38948628
246,0,0,2,0,1,1,2,1.4384145
247,1,1,2,0,0,0,0,-.38948628
248,1,1,2,0,0,0,0,-.38948628
249,1,2,2,0,0,0,0,-.38948628
250,1,1,2,0,0,0,0,-.38948628
251,0,1,2,0,0,0,0,-.38948628
252,1,1,2,0,0,0,0,-.38948628
253,1,0,2,0,1,0,1,1.1835277
254,1,1,2,0,0,0,0,-.38948628
255,1,1,2,0,0,1,1,.38204196
256,1,0,2,0,0,0,0,-.38948628
257,1,0,2,0,1,0,1,1.1835277
258,1,1,2,0,0,0,0,-.38948628
259,1,1,2,0,0,0,0,-.38948628
260,1,0,2,0,1,0,1,1.1835277
261,1,0,2,0,0,0,0,-.38948628
262,1,0,2,0,0,0,0,-.38948628
263,1,0,2,0,0,0,0,-.38948628
264,1,0,2,0,0,0,0,-.38948628
265,1,0,2,0,0,0,0,-.38948628
266,1,0,2,0,0,1,1,.38204196
267,1,1,2,1,0,1,2,.64354634
268,1,0,2,1,1,0,2,1.3746766
269,1,0,2,1,1,1,3,1.7910099
270,1,2,2,0,1,0,1,1.1835277
271,0,0,2,1,0,0,1,.28402048
272,1,0,2,0,0,0,0,-.38948628
273,1,0,2,0,1,1,2,1.4384145
274,0,0,2,0,1,0,1,1.1835277
275,1,1,2,0,1,0,1,1.1835277
276,1,1,2,0,0,0,0,-.38948628
277,0,1,2,0,0,0,0,-.38948628
278,1,1,2,0,0,0,0,-.38948628
279,0,0,2,0,0,0,0,-.38948628
280,0,3,2,0,0,0,0,-.38948628
281,0,1,2,0,0,0,0,-.38948628
282,1,1,2,0,0,0,0,-.38948628
283,0,1,2,0,0,0,0,-.38948628
284,0,1,2,0,0,1,1,.38204196
285,1,0,2,0,0,0,0,-.38948628
286,1,0,2,0,0,0,0,-.38948628
287,1,0,2,0,0,0,0,-.38948628
288,0,3,2,0,0,0,0,-.38948628
289,1,1,2,0,0,0,0,-.38948628
290,1,0,2,0,0,0,0,-.38948628
291,0,1,2,0,0,0,0,-.38948628
292,0,1,2,0,0,0,0,-.38948628
293,0,1,2,0,1,0,1,1.1835277
294,1,2,2,0,1,0,1,1.1835277
295,1,2,2,1,1,0,2,1.3746766
296,1,0,2,0,0,0,0,-.38948628
297,1,0,2,,,,,
298,0,1,2,0,0,0,0,-.38948628
299,1,1,2,1,1,0,2,1.3746766
300,1,2,2,0,1,0,1,1.1835277
301,1,0,2,0,0,0,0,-.38948628
302,1,1,2,0,0,0,0,-.38948628
303,1,2,2,0,1,1,2,1.4384145
304,1,0,2,0,0,0,0,-.38948628
305,1,1,2,0,0,0,0,-.38948628
306,1,0,2,0,0,0,0,-.38948628
307,1,2,2,0,0,0,0,-.38948628
308,0,1,2,1,0,0,1,.28402048
309,0,1,2,0,0,0,0,-.38948628
310,0,2,2,0,0,1,1,.38204196
311,0,0,2,0,0,0,0,-.38948628
312,1,0,2,0,0,0,0,-.38948628
313,0,1,2,1,0,0,1,.28402048
314,,,2,0,0,0,0,-.38948628
315,1,2,2,1,1,1,3,1.7910099
316,0,0,2,0,1,0,1,1.1835277
317,1,0,2,1,0,0,1,.28402048
318,1,1,2,0,1,1,2,1.4384145
319,1,1,2,1,0,0,1,.28402048
320,1,1,2,0,0,0,0,-.38948628
321,1,1,2,0,0,1,1,.38204196
322,1,0,2,0,0,0,0,-.38948628
323,1,1,3,0,0,0,0,-.38948628
324,0,0,3,0,0,0,0,-.38948628
325,0,0,3,,,,,
326,1,1,3,,,0,,-.17855354
328,0,0,3,0,0,0,0,-.38948628
329,1,0,3,0,0,0,0,-.38948628
330,1,0,3,0,0,0,0,-.38948628
332,0,0,3,1,0,0,1,.28402048
333,1,1,3,0,0,1,1,.38204196
334,0,0,3,0,0,0,0,-.38948628
335,0,0,3,0,1,1,2,1.4384145
336,1,1,3,0,0,0,0,-.38948628
337,1,1,3,0,0,0,0,-.38948628
340,0,0,3,0,0,0,0,-.38948628
343,0,1,3,0,0,0,0,-.38948628
344,1,0,3,0,0,0,0,-.38948628
346,1,1,3,0,0,0,0,-.38948628
347,0,0,3,1,0,0,1,.28402048
348,1,1,3,0,0,0,0,-.38948628
349,1,0,3,0,1,0,1,1.1835277
351,1,0,3,0,0,0,0,-.38948628
352,1,0,3,0,0,0,0,-.38948628
353,,0,3,0,0,0,0,-.38948628
354,0,0,3,0,0,0,0,-.38948628
356,0,0,3,0,0,0,0,-.38948628
357,0,1,3,1,0,1,2,.64354634
358,0,0,3,0,0,0,0,-.38948628
359,0,0,3,0,0,0,0,-.38948628
360,1,1,3,0,0,0,0,-.38948628
361,0,1,3,0,0,0,0,-.38948628
362,1,2,3,0,0,0,0,-.38948628
363,0,0,3,0,0,0,0,-.38948628
364,0,0,3,0,0,0,0,-.38948628
365,0,0,3,0,0,0,0,-.38948628
367,0,3,3,0,0,0,0,-.38948628
368,0,0,3,0,0,0,0,-.38948628
369,0,3,3,0,,0,,-.29155576
370,1,1,3,,0,0,,-.31361988
371,1,0,3,0,0,0,0,-.38948628
373,1,1,3,0,0,0,0,-.38948628
374,0,1,3,0,0,0,0,-.38948628
375,0,0,3,0,0,1,1,.38204196
376,1,0,3,0,0,0,0,-.38948628
377,0,2,3,1,0,0,1,.28402048
378,0,0,3,0,0,0,0,-.38948628
379,1,0,3,0,0,0,0,-.38948628
380,0,0,3,0,0,0,0,-.38948628
381,1,1,3,0,0,0,0,-.38948628
382,0,0,3,,,,,
383,0,0,3,0,,0,,-.29155576
384,0,0,3,0,0,0,0,-.38948628
385,1,1,3,0,0,0,0,-.38948628
386,1,1,3,0,0,0,0,-.38948628
387,1,0,3,0,1,0,1,1.1835277
390,0,0,3,0,0,0,0,-.38948628
391,0,2,3,0,1,0,1,1.1835277
393,0,0,3,0,0,0,0,-.38948628
394,1,1,3,0,0,0,0,-.38948628
395,1,0,3,0,0,0,0,-.38948628
396,0,1,3,0,0,0,0,-.38948628
397,0,0,3,0,1,0,1,1.1835277
398,1,1,3,0,0,0,0,-.38948628
399,1,2,3,0,1,0,1,1.1835277
400,1,2,3,,,0,,-.17855354
402,0,0,3,0,0,0,0,-.38948628
403,0,0,3,0,0,0,0,-.38948628
404,1,0,3,,,0,,-.17855354
406,,0,3,0,0,0,0,-.38948628
407,0,0,3,0,0,0,0,-.38948628
408,0,1,3,0,,,,-.18134107
409,0,0,3,0,0,0,0,-.38948628
410,0,0,3,0,0,0,0,-.38948628
411,0,0,3,0,0,0,0,-.38948628
412,0,0,3,0,0,0,0,-.38948628
414,,0,3,0,0,0,0,-.38948628
415,0,0,3,0,0,0,0,-.38948628
417,0,1,1,0,1,1,2,1.4384145
418,0,2,1,0,0,0,0,-.38948628
419,1,3,1,1,0,0,1,.28402048
420,0,1,1,0,0,0,0,-.38948628
421,1,1,1,1,1,1,3,1.7910099
422,1,1,1,0,1,0,1,1.1835277
423,0,1,1,0,0,0,0,-.38948628
424,0,2,1,1,1,1,3,1.7910099
425,0,1,1,0,0,0,0,-.38948628
426,1,1,3,0,0,0,0,-.38948628
427,1,0,3,0,0,0,0,-.38948628
428,0,0,3,0,0,0,0,-.38948628
429,0,0,3,0,0,0,0,-.38948628
430,0,0,3,0,0,0,0,-.38948628
431,1,1,3,0,0,0,0,-.38948628
432,1,1,3,0,0,0,0,-.38948628
433,0,1,1,0,0,0,0,-.38948628
434,0,1,1,1,0,1,2,.64354634
435,0,1,1,0,1,0,1,1.1835277
436,0,1,1,0,0,0,0,-.38948628
437,0,1,1,0,1,0,1,1.1835277
438,0,1,1,0,0,0,0,-.38948628
439,0,1,1,0,0,0,0,-.38948628
440,0,1,1,0,0,1,1,.38204196
441,1,1,1,0,0,1,1,.38204196
442,0,1,1,0,0,0,0,-.38948628
443,1,1,1,1,1,1,3,1.7910099
444,0,1,1,0,0,0,0,-.38948628
