Folio,Género,Edad,Escuela,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55,PrConsPosTab,PrConsNegTab,ImpConsPosTab,ImpConsNegTab,ExpConsPosTab,ExpConsNegTab,CommitTab,TabIncid,PrConsPosTabCP,PrConsPosTabLP,ImpConsPosTabCP,ImpConsPosTabLP,ExpConsPosTabCP,ExpConsPosTabLP
1279,0,1,8,1,3,0,2,3,3,3,0,3,2,3,0,2,0,3,3,3,0,3,2,3,0,2,0,3,5,2,4,5,0,3,3,0,3,1,3,0,,3,1,,5,4,4,8,4,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,12,7,12,7,15,,-1.1163465,2.152313,3,4,3,4,3,1
1280,1,3,8,1,1,0,0,0,2,2,2,2,2,1,0,3,2,0,1,1,3,1,3,0,0,3,2,2,2,2,2,5,0,0,1,1,0,2,0,0,2,2,3,4,5,2,4,7,4,5,0,0,0,1,0,0,0,1,1,1,3,4,1,3,9,7,5,9,3,5,-.49409795,1.7555715,4,5,5,6,3,4
1281,0,1,8,0,1,2,4,2,1,1,0,0,3,1,1,3,3,1,1,2,2,1,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,8,9,0,0,,-.3123751,5,6,5,6,0,0
1282,0,1,8,1,3,1,2,0,1,0,1,1,1,0,0,1,1,3,0,0,0,0,3,0,0,3,0,1,3,1,1,1,0,0,0,,0,0,0,0,0,0,,3,2,4,2,4,3,4,0,0,0,1,0,0,0,2,2,2,3,2,2,2,3,3,0,9,0,,-.09920644,1.0303559,2,2,3,6,0,0
1303,1,2,8,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,1,3,4,2,1,1,2,4,0,0,0,0,0,0,1,3,2,2,2,2,2,2,1,1,0,1,0,1,,1.0219294,1,1,0,1,0,1
1304,1,1,8,1,3,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,4,3,2,5,0,0,0,0,0,0,0,0,0,0,4,4,1,1,4,8,4,5,1,0,0,0,0,0,0,4,4,4,4,4,4,4,18,10,15,12,0,0,1.8744464,1.928803,7,6,6,6,0,0
1305,1,2,8,1,,2,1,1,2,0,2,0,3,0,2,3,0,3,0,1,1,0,3,0,1,3,0,1,3,1,2,4,1,0,2,1,0,0,0,3,0,0,2,3,2,3,2,6,4,4,0,0,0,1,0,1,0,1,1,4,3,4,1,4,4,9,2,10,5,2,.33951455,1.5140426,3,6,4,6,2,0
1306,1,1,8,0,0,2,4,3,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,6,0,0,,-.3123751,3,4,2,4,0,0
1307,0,1,8,0,0,3,4,2,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,6,0,0,,-.3123751,2,6,3,3,0,0
1308,1,1,8,0,0,3,4,3,0,0,1,0,3,0,0,3,1,2,1,0,1,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,3,9,0,1,,-.3123751,5,6,4,6,0,1
1309,1,1,8,1,0,0,2,2,2,3,1,1,2,0,0,2,1,1,1,1,0,1,2,1,0,2,1,1,3,1,2,1,0,2,2,0,0,0,1,0,0,1,3,2,4,4,2,2,2,2,1,0,0,0,0,0,0,1,2,2,1,3,3,3,7,7,5,5,6,0,-.4343363,1.182031,4,4,2,4,1,0
1310,1,3,8,1,1,2,2,2,3,3,2,3,2,3,3,3,0,0,3,3,1,2,1,2,3,0,0,2,5,3,3,5,2,3,3,2,3,0,3,3,3,0,3,1,1,1,4,1,1,3,0,0,1,0,0,0,0,1,4,1,1,1,2,1,15,9,13,2,15,7,-.88211143,2.0705221,4,5,1,1,4,3
1311,1,1,8,0,1,0,4,1,2,2,0,1,2,1,1,1,2,2,1,1,3,3,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,4,11,9,0,0,,-.3123751,3,3,7,4,0,0
1312,1,1,8,0,2,0,4,2,1,0,3,1,3,0,0,2,1,3,0,0,3,0,3,0,0,3,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,4,5,1,0,0,0,0,0,0,4,2,4,4,4,3,4,3,10,0,12,0,1,,.80217499,6,5,6,6,1,0
1313,1,1,8,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,3,3,2,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,8,15,2,,.47515222,0,0,6,4,2,0
1314,1,1,8,0,0,3,4,3,1,0,3,0,3,0,0,3,1,0,3,3,3,3,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,12,14,8,0,0,,-.3123751,7,6,4,5,0,0
1315,0,1,8,1,2,0,2,2,2,1,2,1,1,1,2,2,1,3,1,1,3,2,3,2,1,2,2,1,5,2,1,1,0,1,1,1,1,0,0,0,0,2,1,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,7,9,11,5,1,-2.0847704,1.1447285,5,3,8,5,3,0
1316,0,1,8,1,1,2,0,1,1,0,0,2,2,1,0,1,0,2,1,0,0,1,1,2,2,1,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,2,4,2,1,0,0,0,0,0,0,1,4,4,4,1,2,4,4,4,8,4,0,0,.70250678,.98187417,1,3,4,2,0,0
1317,0,2,8,1,0,0,2,1,0,0,0,0,1,0,0,2,1,1,0,0,1,3,0,0,3,0,1,1,3,1,1,2,0,0,0,0,0,2,0,0,2,1,2,2,1,4,1,1,1,1,1,0,0,0,0,0,0,2,1,2,2,3,2,2,1,4,7,2,1,4,-.26771629,1.2119801,2,3,3,0,1,4
1318,1,1,8,0,1,2,4,2,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,8,8,9,0,0,,-.3123751,5,4,6,5,0,0
1319,1,1,8,1,3,3,4,1,1,1,0,0,3,0,0,3,0,0,1,0,1,3,3,1,0,3,0,1,3,1,1,1,1,0,0,1,1,0,1,0,1,1,4,2,1,4,1,1,4,1,1,0,0,0,0,0,0,2,1,1,3,4,2,2,2,7,5,7,3,3,-.24923232,1.0303559,1,6,1,6,3,1
1320,1,1,8,0,1,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,12,0,0,,-.3123751,0,0,9,6,0,0
1321,1,1,8,0,2,1,4,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,9,0,0,,-.3123751,3,6,3,6,0,0
1322,1,1,8,1,2,2,0,2,3,1,1,1,2,1,1,3,1,0,3,3,2,1,1,2,0,0,2,1,4,1,3,2,3,3,3,3,2,1,0,0,0,0,0,0,0,1,4,8,4,4,0,1,0,0,0,0,0,4,4,4,4,4,4,2,8,8,11,3,8,7,1.8744464,1.3225431,4,5,4,1,6,1
1324,0,1,8,0,0,1,4,2,3,3,2,0,3,0,0,3,2,2,0,0,2,1,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,10,5,10,0,0,,-.3123751,6,6,7,6,0,0
1326,0,1,8,0,2,0,4,2,0,0,3,0,2,0,0,3,0,3,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,17,12,0,0,,-.3123751,5,5,9,6,0,0
1327,0,1,8,0,0,3,4,3,0,0,3,0,3,0,0,3,0,2,2,3,3,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,11,11,0,0,,-.3123751,6,6,5,6,0,0
1328,0,1,8,0,1,2,4,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,3,12,0,0,,-.3123751,6,6,9,6,0,0
1329,0,1,8,0,0,3,4,2,0,0,3,0,3,1,0,3,1,2,0,0,3,0,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11,3,11,0,0,,-.3123751,6,6,7,6,0,0
1330,0,3,8,1,2,0,0,0,3,3,0,3,2,3,0,3,3,2,1,1,0,1,2,1,0,2,3,1,2,3,2,5,1,2,2,0,2,3,2,2,3,1,3,3,5,2,3,4,4,4,0,0,0,1,0,0,0,2,2,3,3,3,2,4,15,5,7,6,11,7,.22273415,1.8200302,3,5,5,4,2,6
1331,1,3,8,0,0,0,4,2,0,0,2,0,3,0,0,3,0,3,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,9,0,0,,-.3123751,4,6,4,6,0,0
1332,0,3,8,1,3,2,0,0,1,0,0,0,3,0,1,3,1,2,2,2,2,2,3,2,2,3,3,1,3,1,1,1,0,1,0,0,0,0,0,1,0,1,2,3,2,4,3,2,4,3,1,0,0,0,0,0,0,1,1,1,3,1,3,3,3,6,13,10,3,0,-.81208146,1.0303559,1,6,7,6,1,0
1333,0,1,8,1,2,1,0,1,2,0,0,0,2,1,0,3,2,2,2,3,3,2,2,2,0,2,1,1,4,1,2,3,1,2,0,1,1,0,1,0,0,2,2,3,3,2,3,4,3,4,0,0,0,1,0,0,0,2,2,3,2,3,3,3,5,6,10,9,6,2,.070587166,1.3963416,3,5,6,4,4,0
