Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
421,390,s,True,404,18,True,190,False,214,False,2,False,16,6,1.952323914,0.451113939,0.501209021,muchos,8,over,2_o3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
422,453,n,False,404,19,False,190,False,214,False,2,True,17,1,1.651547909,0.150363207,0.401132822,muchos,8,under,2_u3,senal,azul,3 BS,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
423,435,s,True,405,19,True,191,False,214,False,2,False,17,6,1.747110844,0.246015787,0.401817083,muchos,7,under,2_u2,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
424,515,n,True,406,19,False,191,True,215,False,2,False,17,1,1.651622057,0.150547981,1.002479076,muchos,8,under,3,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
425,48,s,True,407,19,True,192,False,215,False,2,False,17,5,2.353810072,0.852571964,0.702577829,pocos,3,over,2_o3,senal,purpura,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
426,419,s,True,408,19,True,193,False,215,False,2,False,17,5,1.937916994,0.436818838,0.60194397,muchos,7,under,2_u2,senal,guinda,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
427,451,s,True,409,19,True,194,False,215,False,2,False,17,5,1.639917135,0.138805151,2.105467081,muchos,8,under,2_u3,senal,naranja,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
428,126,s,True,410,19,True,195,False,215,False,2,False,17,5,1.652060986,0.15089488,0.501170158,pocos,3,under,2_u3,senal,verde,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
429,165,n,True,411,19,False,195,True,216,False,2,False,17,1,2.55496192,1.053887129,0.601701021,pocos,2,over,3,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
430,377,s,True,412,19,True,196,False,216,False,2,False,17,6,1.652997971,0.151868105,0.100398064,muchos,8,over,2_o3,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
431,343,s,True,413,19,True,197,False,216,False,2,False,17,6,1.651858091,0.150777102,1.102843046,muchos,7,over,2_o2,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
432,507,n,True,414,19,False,197,True,217,False,2,False,17,1,1.653740168,0.153017044,0.300783157,muchos,7,under,3,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
433,225,n,True,415,19,False,197,True,218,False,2,False,17,1,1.651015997,0.150027037,0.300891876,pocos,2,under,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
434,516,n,True,416,19,False,197,True,219,False,2,False,17,1,1.651015043,0.149812937,0.300719023,muchos,8,under,3,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
435,494,n,True,417,19,False,197,True,220,False,2,False,17,1,1.651726007,0.150682926,0.300885916,muchos,8,over,3,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
